task,dataset,view,ranker,budget,source,work,recall,lift,precision,groups,inspected_operations
agentnet_incorrect_step,agentnet,operation_stack,case_query_aware,top_5_groups,R305,0.0014,0.0034,2.4057,0.1429,5,21
agentnet_incorrect_step,agentnet,operation_stack,query_aware,top_10_groups,R302,0.0026,0.0057,2.159,0.1282,10,39
agentnet_incorrect_step,agentnet,fixed_session,case_query_aware,top_5_groups,R305,0.0056,0.0126,2.259,0.1341,5,82
agentnet_incorrect_step,agentnet,fixed_session,query_aware,top_10_groups,R302,0.0107,0.0195,1.8119,0.1076,10,158
agentnet_incorrect_step,agentnet,fixed_session,visible_risk,top_10_groups,R302,0.0116,0.0229,1.9696,0.117,10,171
agentnet_incorrect_step,agentnet,fixed_session,width,top_10_groups,R302,0.0291,0.0263,0.9049,0.0537,10,428
agentnet_incorrect_step,agentnet,fixed_session,query_aware,budget_10pct_operations,R302,0.0998,0.1636,1.6393,0.0973,117,1469
agentnet_incorrect_step,agentnet,fixed_session,visible_risk,budget_10pct_operations,R302,0.0999,0.1648,1.6496,0.098,115,1470
agentnet_incorrect_step,agentnet,operation_stack,visible_risk,budget_10pct_operations,R302,0.0999,0.1865,1.866,0.1108,90,1471
agentnet_incorrect_step,agentnet,operation_stack,query_aware,budget_10pct_operations,R302,0.0999,0.1659,1.6599,0.0986,81,1471
agentnet_incorrect_step,agentnet,operation_stack,width,budget_10pct_operations,R302,0.0999,0.1419,1.4195,0.0843,3,1471
agentnet_incorrect_step,agentnet,fixed_session,query_aware,budget_20pct_operations,R302,0.1998,0.2803,1.4033,0.0833,186,2940
agentnet_incorrect_step,agentnet,fixed_session,visible_risk,budget_20pct_operations,R302,0.1999,0.2838,1.4195,0.0843,186,2942
agentnet_incorrect_step,agentnet,operation_stack,query_aware,budget_20pct_operations,R302,0.2,0.2895,1.4477,0.086,127,2943
agentnet_incorrect_step,agentnet,operation_stack,width,budget_20pct_operations,R302,0.2,0.254,1.2703,0.0754,5,2943
agentnet_incorrect_step,agentnet,fixed_session,visible_risk,budget_30pct_operations,R302,0.2999,0.405,1.3505,0.0802,252,4414
agentnet_incorrect_step,agentnet,operation_stack,query_aware,budget_30pct_operations,R302,0.3,0.4382,1.4608,0.0867,133,4415
agentnet_incorrect_step,agentnet,operation_stack,width,budget_30pct_operations,R302,0.3,0.3364,1.1214,0.0666,6,4415
agentnet_incorrect_step,agentnet,operation_stack,width,top_10_groups,R302,0.4588,0.5137,1.1198,0.0665,10,6752
agentnet_incorrect_step,agentnet,flat,case_query_aware,top_5_groups,R305,1.0,1.0,1.0,0.0594,1,14718
agentnet_redundant_step,agentnet,operation_stack,visible_risk,top_10_groups,R302,0.005,0.0055,1.0987,0.08,10,50
agentnet_redundant_step,agentnet,fixed_session,case_query_aware,top_5_groups,R305,0.0086,0.0123,1.4208,0.1034,5,87
agentnet_redundant_step,agentnet,operation_stack,case_query_aware,top_5_groups,R305,0.0089,0.0177,1.9838,0.1444,5,90
agentnet_redundant_step,agentnet,operation_stack,query_aware,top_10_groups,R302,0.0107,0.0205,1.9075,0.1389,10,108
agentnet_redundant_step,agentnet,fixed_session,visible_risk,top_10_groups,R302,0.017,0.0259,1.526,0.1111,10,171
agentnet_redundant_step,agentnet,fixed_session,width,top_10_groups,R302,0.039,0.0355,0.9086,0.0662,10,393
agentnet_redundant_step,agentnet,fixed_session,visible_risk,budget_10pct_operations,R302,0.0997,0.1105,1.108,0.0807,90,1004
agentnet_redundant_step,agentnet,operation_stack,width,budget_10pct_operations,R302,0.0999,0.1364,1.3652,0.0994,2,1006
agentnet_redundant_step,agentnet,fixed_session,visible_risk,budget_20pct_operations,R302,0.1998,0.2115,1.0586,0.0771,141,2011
agentnet_redundant_step,agentnet,operation_stack,query_aware,budget_20pct_operations,R302,0.2,0.266,1.3304,0.0969,36,2013
agentnet_redundant_step,agentnet,operation_stack,width,budget_20pct_operations,R302,0.2,0.2538,1.269,0.0924,4,2013
agentnet_redundant_step,agentnet,operation_stack,query_aware,budget_30pct_operations,R302,0.3,0.3533,1.1778,0.0858,61,3020
agentnet_redundant_step,agentnet,operation_stack,width,budget_30pct_operations,R302,0.3,0.3438,1.146,0.0834,5,3020
agentnet_redundant_step,agentnet,operation_stack,width,top_10_groups,R302,0.4859,0.5866,1.2072,0.0879,10,4892
agentnet_redundant_step,agentnet,flat,case_query_aware,top_5_groups,R305,1.0,1.0,1.0,0.0728,1,10067
agentreward_looping,agent-reward-bench,operation_stack,query_aware,budget_10pct_operations,R302,0.0988,0.1429,1.4464,1.0,5,72
agentreward_looping,agent-reward-bench,fixed_session,visible_risk,budget_10pct_operations,R302,0.0988,0.125,1.2656,0.875,4,72
agentreward_looping,agent-reward-bench,fixed_session,width,budget_10pct_operations,R302,0.0988,0.119,1.2054,0.8333,3,72
agentreward_looping,agent-reward-bench,operation_stack,query_aware,budget_20pct_operations,R302,0.1989,0.252,1.2669,0.8759,6,145
agentreward_looping,agent-reward-bench,fixed_session,width,budget_20pct_operations,R302,0.1989,0.1786,0.8978,0.6207,4,145
agentreward_looping,agent-reward-bench,fixed_session,case_query_aware,top_5_groups,R305,0.2058,0.2381,1.1571,0.8,5,150
agentreward_looping,agent-reward-bench,operation_stack,query_aware,budget_30pct_operations,R302,0.299,0.3988,1.3336,0.922,6,218
agentreward_looping,agent-reward-bench,operation_stack,width,budget_30pct_operations,R302,0.299,0.3552,1.1877,0.8211,4,218
agentreward_looping,agent-reward-bench,fixed_session,visible_risk,top_10_groups,R302,0.3621,0.4643,1.2821,0.8864,10,264
agentreward_looping,agent-reward-bench,fixed_session,query_aware,top_10_groups,R302,0.3992,0.5179,1.2973,0.8969,10,291
agentreward_looping,agent-reward-bench,operation_stack,case_query_aware,top_5_groups,R305,0.4938,0.6508,1.3179,0.9111,5,360
agentreward_looping,agent-reward-bench,operation_stack,query_aware,top_10_groups,R302,0.6187,0.7718,1.2476,0.8625,10,451
agentreward_looping,agent-reward-bench,operation_stack,width,top_10_groups,R302,0.8134,0.8948,1.1001,0.7605,10,593
agentreward_looping,agent-reward-bench,flat,case_query_aware,top_5_groups,R305,1.0,1.0,1.0,0.6914,1,729
agentreward_side_effect,agent-reward-bench,fixed_session,query_aware,budget_10pct_operations,R302,0.0974,0.0,0.0,0.0,7,71
agentreward_side_effect,agent-reward-bench,operation_stack,width,budget_10pct_operations,R302,0.0988,0.1139,1.1528,0.3194,3,72
agentreward_side_effect,agent-reward-bench,operation_stack,case_query_aware,top_5_groups,R305,0.1454,0.1139,0.7831,0.217,5,106
agentreward_side_effect,agent-reward-bench,operation_stack,query_aware,top_10_groups,R302,0.1838,0.2327,1.2658,0.3507,10,134
agentreward_side_effect,agent-reward-bench,operation_stack,width,budget_20pct_operations,R302,0.1989,0.5941,2.9867,0.8276,3,145
agentreward_side_effect,agent-reward-bench,fixed_session,width,budget_30pct_operations,R302,0.299,1.0,3.344,0.9266,4,218
agentreward_side_effect,agent-reward-bench,flat,case_query_aware,top_5_groups,R305,1.0,1.0,1.0,0.2771,1,729
osworld_group_start,osworld-human,fixed_session,case_query_aware,top_5_groups,R305,0.0172,0.0327,1.9022,0.3623,5,69
osworld_group_start,osworld-human,fixed_session,query_aware,top_10_groups,R302,0.0274,0.055,2.0045,0.3818,10,110
osworld_group_start,osworld-human,fixed_session,visible_risk,top_10_groups,R302,0.0274,0.055,2.0045,0.3818,10,110
osworld_group_start,osworld-human,fixed_session,query_aware,budget_10pct_operations,R302,0.1,0.1505,1.5056,0.2868,60,401
osworld_group_start,osworld-human,fixed_session,width,budget_10pct_operations,R302,0.1,0.1466,1.4663,0.2793,3,401
osworld_group_start,osworld-human,operation_stack,query_aware,budget_20pct_operations,R302,0.2,0.288,1.4401,0.2743,13,802
osworld_group_start,osworld-human,operation_stack,width,budget_20pct_operations,R302,0.2,0.2291,1.1456,0.2182,4,802
osworld_group_start,osworld-human,operation_stack,width,budget_30pct_operations,R302,0.2999,0.4241,1.414,0.2693,4,1203
osworld_group_start,osworld-human,operation_stack,width,top_10_groups,R302,0.6894,0.7094,1.0291,0.196,10,2765
osworld_group_start,osworld-human,flat,case_query_aware,top_5_groups,R305,1.0,1.0,1.0,0.1905,1,4011
satraj_unsafe,satraj-os-safety,fixed_session,case_query_aware,top_5_groups,R305,0.0154,0.0579,3.7577,0.5455,5,66
satraj_unsafe,satraj-os-safety,fixed_session,query_aware,top_10_groups,R302,0.0177,0.074,4.1697,0.6053,10,76
satraj_unsafe,satraj-os-safety,operation_stack,case_query_aware,top_5_groups,R305,0.042,0.2621,6.2384,0.9056,5,180
satraj_unsafe,satraj-os-safety,operation_stack,query_aware,budget_10pct_operations,R302,0.0999,0.3794,3.7986,0.5514,14,428
satraj_unsafe,satraj-os-safety,operation_stack,width,budget_10pct_operations,R302,0.0999,0.0,0.0,0.0,2,428
satraj_unsafe,satraj-os-safety,fixed_session,query_aware,budget_20pct_operations,R302,0.2,0.619,3.0949,0.4492,69,857
satraj_unsafe,satraj-os-safety,operation_stack,query_aware,budget_20pct_operations,R302,0.2,0.4486,2.2428,0.3256,39,857
satraj_unsafe,satraj-os-safety,fixed_session,query_aware,budget_30pct_operations,R302,0.2999,0.865,2.8843,0.4187,111,1285
satraj_unsafe,satraj-os-safety,operation_stack,query_aware,budget_30pct_operations,R302,0.2999,0.8376,2.7932,0.4054,60,1285
satraj_unsafe,satraj-os-safety,flat,case_query_aware,top_5_groups,R305,1.0,1.0,1.0,0.1452,1,4285
