task,dataset,query_family,policy,view,ranker,on_frontier,frontier_policies,average_precision,budget30_recall,top5_f1,top5_work,groups_to_50pct_recall,groups
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack:visible_risk,raw_action_stack,visible_risk,True,,0.0673,0.2838,0.0422,0.0372,19.0,25.0
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack:query_aware,raw_action_stack,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.066,0.2838,0.0188,0.013,21.0,25.0
agentnet_incorrect_step,agentnet,step-quality,operation_stack:width,operation_stack,width,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.0687,0.3307,0.1096,0.2965,10.0,289.0
agentnet_incorrect_step,agentnet,step-quality,operation_stack:visible_risk,operation_stack,visible_risk,True,,0.0884,0.4005,0.0088,0.0022,162.0,289.0
agentnet_incorrect_step,agentnet,step-quality,operation_stack:query_aware,operation_stack,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.0886,0.4382,0.0067,0.0014,186.0,289.0
agentnet_redundant_step,agentnet,step-quality,flat:width,flat,width,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.0728,0.0,0.1357,1.0,1.0,1.0
agentnet_redundant_step,agentnet,step-quality,flat:visible_risk,flat,visible_risk,True,,0.0728,0.0,0.1357,1.0,1.0,1.0
agentnet_redundant_step,agentnet,step-quality,flat:query_aware,flat,query_aware,True,,0.0728,0.0,0.1357,1.0,1.0,1.0
agentnet_redundant_step,agentnet,step-quality,fixed_session:width,fixed_session,width,True,,0.0704,0.2742,0.0319,0.0205,211.0,549.0
agentnet_redundant_step,agentnet,step-quality,fixed_session:visible_risk,fixed_session,visible_risk,True,,0.0804,0.3302,0.027,0.0081,265.0,549.0
agentnet_redundant_step,agentnet,step-quality,fixed_session:query_aware,fixed_session,query_aware,False,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.0788,0.3302,0.022,0.0086,272.0,549.0
agentnet_redundant_step,agentnet,step-quality,dataset_native:width,dataset_native,width,True,,0.07,0.2851,0.1135,0.3456,9.0,57.0
agentnet_redundant_step,agentnet,step-quality,dataset_native:visible_risk,dataset_native,visible_risk,True,,0.0768,0.3342,0.0518,0.0422,29.0,57.0
agentnet_redundant_step,agentnet,step-quality,dataset_native:query_aware,dataset_native,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.0772,0.3302,0.0564,0.0364,21.0,57.0
agentnet_redundant_step,agentnet,step-quality,raw_action_stack:width,raw_action_stack,width,True,,0.0846,0.2442,0.1419,0.8188,1.0,25.0
agentnet_redundant_step,agentnet,step-quality,raw_action_stack:visible_risk,raw_action_stack,visible_risk,True,,0.0772,0.2647,0.0443,0.0484,19.0,25.0
agentnet_redundant_step,agentnet,step-quality,raw_action_stack:query_aware,raw_action_stack,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.0817,0.2619,0.0806,0.0824,12.0,25.0
agentnet_redundant_step,agentnet,step-quality,operation_stack:width,operation_stack,width,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.0863,0.3438,0.1325,0.3215,8.0,260.0
agentnet_redundant_step,agentnet,step-quality,operation_stack:visible_risk,operation_stack,visible_risk,True,,0.0854,0.322,0.0105,0.0032,153.0,260.0
agentnet_redundant_step,agentnet,step-quality,operation_stack:query_aware,operation_stack,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.0875,0.3533,0.0316,0.0089,157.0,260.0
agentreward_looping,agent-reward-bench,failure-looping,flat:width,flat,width,True,dataset_native:query_aware; dataset_native:visible_risk; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.6914,0.0,0.8175,1.0,1.0,1.0
agentreward_looping,agent-reward-bench,failure-looping,flat:visible_risk,flat,visible_risk,True,,0.6914,0.0,0.8175,1.0,1.0,1.0
agentreward_looping,agent-reward-bench,failure-looping,flat:query_aware,flat,query_aware,True,,0.6914,0.0,0.8175,1.0,1.0,1.0
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:width,fixed_session,width,True,,0.6683,0.1786,0.4506,0.4047,8.0,29.0
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:visible_risk,fixed_session,visible_risk,True,,0.8389,0.3631,0.3467,0.1948,11.0,29.0
agentreward_looping,agent-reward-bench,failure-looping,fixed_session:query_aware,fixed_session,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.8672,0.3611,0.367,0.2058,10.0,29.0
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:width,dataset_native,width,False,,0.6402,0.2599,0.8175,1.0,2.0,4.0
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:visible_risk,dataset_native,visible_risk,True,,0.7823,0.3452,0.8175,1.0,2.0,4.0
agentreward_looping,agent-reward-bench,failure-looping,dataset_native:query_aware,dataset_native,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.7989,0.3452,0.8175,1.0,3.0,4.0
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:width,raw_action_stack,width,True,,0.7183,0.2956,0.816,0.8889,1.0,14.0
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:visible_risk,raw_action_stack,visible_risk,True,,0.7224,0.3194,0.4217,0.2716,10.0,14.0
agentreward_looping,agent-reward-bench,failure-looping,raw_action_stack:query_aware,raw_action_stack,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.7512,0.2024,0.1862,0.1043,8.0,14.0
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:width,operation_stack,width,False,dataset_native:query_aware; dataset_native:visible_risk; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.7653,0.3532,0.6819,0.6283,4.0,40.0
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:visible_risk,operation_stack,visible_risk,True,,0.8408,0.3651,0.2437,0.1193,13.0,40.0
agentreward_looping,agent-reward-bench,failure-looping,operation_stack:query_aware,operation_stack,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.8808,0.3988,0.7593,0.4938,3.0,40.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat:width,flat,width,True,dataset_native:query_aware; dataset_native:width; fixed_session:query_aware; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; raw_action_stack:query_aware; raw_action_stack:width,0.2771,0.0,0.4339,1.0,1.0,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat:visible_risk,flat,visible_risk,True,,0.2771,0.0,0.4339,1.0,1.0,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,flat:query_aware,flat,query_aware,True,,0.2771,0.0,0.4339,1.0,1.0,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:width,fixed_session,width,True,,1.0,1.0,0.8129,0.4047,1.0,29.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:visible_risk,fixed_session,visible_risk,False,,0.2509,0.0,0.0,0.1948,16.0,29.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,fixed_session:query_aware,fixed_session,query_aware,True,dataset_native:query_aware; dataset_native:width; fixed_session:query_aware; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; raw_action_stack:query_aware; raw_action_stack:width,0.4606,0.0,0.0,0.1948,7.0,29.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:width,dataset_native,width,True,,0.5166,0.0,0.4339,1.0,1.0,4.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:visible_risk,dataset_native,visible_risk,False,,0.3855,0.0,0.4339,1.0,2.0,4.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,dataset_native:query_aware,dataset_native,query_aware,True,dataset_native:query_aware; dataset_native:width; fixed_session:query_aware; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; raw_action_stack:query_aware; raw_action_stack:width,0.5166,0.0,0.4339,1.0,1.0,4.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:width,raw_action_stack,width,True,,0.2752,0.3812,0.4659,0.8889,1.0,14.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:visible_risk,raw_action_stack,visible_risk,False,,0.3067,0.3812,0.385,0.2716,10.0,14.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,raw_action_stack:query_aware,raw_action_stack,query_aware,True,dataset_native:query_aware; dataset_native:width; fixed_session:query_aware; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; raw_action_stack:query_aware; raw_action_stack:width,0.3273,0.3812,0.4085,0.2401,6.0,14.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:width,operation_stack,width,False,dataset_native:query_aware; dataset_native:width; fixed_session:query_aware; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; raw_action_stack:query_aware; raw_action_stack:width,0.3661,0.3069,0.4061,0.6283,2.0,40.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:visible_risk,operation_stack,visible_risk,True,,0.3107,0.302,0.09,0.1193,26.0,40.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,operation_stack:query_aware,operation_stack,query_aware,True,dataset_native:query_aware; dataset_native:width; fixed_session:query_aware; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; raw_action_stack:query_aware; raw_action_stack:width,0.3979,0.3812,0.1494,0.1454,17.0,40.0
osworld_group_start,osworld-human,human-boundary,flat:width,flat,width,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:width,0.1905,0.0,0.32,1.0,1.0,1.0
osworld_group_start,osworld-human,human-boundary,flat:visible_risk,flat,visible_risk,True,,0.1905,0.0,0.32,1.0,1.0,1.0
osworld_group_start,osworld-human,human-boundary,flat:query_aware,flat,query_aware,True,,0.1905,0.0,0.32,1.0,1.0,1.0
osworld_group_start,osworld-human,human-boundary,fixed_session:width,fixed_session,width,True,,0.1956,0.2906,0.2106,0.2476,33.0,320.0
osworld_group_start,osworld-human,human-boundary,fixed_session:visible_risk,fixed_session,visible_risk,True,,0.2196,0.3246,0.0624,0.0172,58.0,320.0
osworld_group_start,osworld-human,human-boundary,fixed_session:query_aware,fixed_session,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:width,0.2345,0.3508,0.0624,0.0172,107.0,320.0
osworld_group_start,osworld-human,human-boundary,dataset_native:width,dataset_native,width,True,,0.1955,0.2683,0.3126,0.9023,1.0,10.0
osworld_group_start,osworld-human,human-boundary,dataset_native:visible_risk,dataset_native,visible_risk,True,,0.1957,0.2618,0.3104,0.8023,1.0,10.0
osworld_group_start,osworld-human,human-boundary,dataset_native:query_aware,dataset_native,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:width,0.1977,0.2618,0.3109,0.7078,2.0,10.0
osworld_group_start,osworld-human,human-boundary,raw_action_stack:width,raw_action_stack,width,True,,0.2198,0.4005,0.305,0.8886,2.0,27.0
osworld_group_start,osworld-human,human-boundary,raw_action_stack:visible_risk,raw_action_stack,visible_risk,False,,0.178,0.2775,0.2527,0.5218,17.0,27.0
osworld_group_start,osworld-human,human-boundary,raw_action_stack:query_aware,raw_action_stack,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:width,0.2214,0.4149,0.2527,0.5218,7.0,27.0
osworld_group_start,osworld-human,human-boundary,operation_stack:width,operation_stack,width,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:width,0.2217,0.4241,0.297,0.5667,4.0,173.0
osworld_group_start,osworld-human,human-boundary,operation_stack:visible_risk,operation_stack,visible_risk,True,,0.222,0.2971,0.2343,0.265,70.0,173.0
osworld_group_start,osworld-human,human-boundary,operation_stack:query_aware,operation_stack,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:width,0.2254,0.2971,0.2469,0.4074,62.0,173.0
satraj_unsafe,satraj-os-safety,safety,flat:width,flat,width,True,dataset_native:query_aware; fixed_session:query_aware; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.1452,0.0,0.2535,1.0,1.0,1.0
satraj_unsafe,satraj-os-safety,safety,flat:visible_risk,flat,visible_risk,True,,0.1452,0.0,0.2535,1.0,1.0,1.0
satraj_unsafe,satraj-os-safety,safety,flat:query_aware,flat,query_aware,True,,0.1452,0.0,0.2535,1.0,1.0,1.0
satraj_unsafe,satraj-os-safety,safety,fixed_session:width,fixed_session,width,False,,0.0797,0.0,0.0,0.035,170.0,250.0
satraj_unsafe,satraj-os-safety,safety,fixed_session:visible_risk,fixed_session,visible_risk,False,,0.086,0.0193,0.0,0.0341,190.0,250.0
satraj_unsafe,satraj-os-safety,safety,fixed_session:query_aware,fixed_session,query_aware,True,dataset_native:query_aware; fixed_session:query_aware; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.5059,0.865,0.1047,0.0154,56.0,250.0
satraj_unsafe,satraj-os-safety,safety,dataset_native:width,dataset_native,width,False,,0.1125,0.0,0.2535,1.0,4.0,5.0
satraj_unsafe,satraj-os-safety,safety,dataset_native:visible_risk,dataset_native,visible_risk,False,,0.1125,0.0,0.2535,1.0,4.0,5.0
satraj_unsafe,satraj-os-safety,safety,dataset_native:query_aware,dataset_native,query_aware,True,dataset_native:query_aware; fixed_session:query_aware; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.7598,1.0,0.2535,1.0,1.0,5.0
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:width,raw_action_stack,width,True,,0.1181,0.783,0.2195,0.8607,5.0,24.0
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:visible_risk,raw_action_stack,visible_risk,True,,0.1013,0.4871,0.0141,0.1529,19.0,24.0
satraj_unsafe,satraj-os-safety,safety,raw_action_stack:query_aware,raw_action_stack,query_aware,True,dataset_native:query_aware; fixed_session:query_aware; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.5988,0.5209,0.3804,0.1972,8.0,24.0
satraj_unsafe,satraj-os-safety,safety,operation_stack:width,operation_stack,width,False,dataset_native:query_aware; fixed_session:query_aware; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.1003,0.1125,0.0,0.5181,16.0,142.0
satraj_unsafe,satraj-os-safety,safety,operation_stack:visible_risk,operation_stack,visible_risk,False,,0.0909,0.0804,0.0,0.0793,103.0,142.0
satraj_unsafe,satraj-os-safety,safety,operation_stack:query_aware,operation_stack,query_aware,True,dataset_native:query_aware; fixed_session:query_aware; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.4875,0.8376,0.4065,0.042,38.0,142.0
