task,dataset,query_family,policy,view,ranker,on_frontier,frontier_policies,average_precision,budget30_recall,top5_f1,top5_work,groups_to_50pct_recall,groups
agentnet_incorrect_step,agentnet,step-quality,flat:width,flat,width,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.0594,0.0,0.1121,1.0,1.0,1.0
agentnet_incorrect_step,agentnet,step-quality,flat:visible_risk,flat,visible_risk,True,,0.0594,0.0,0.1121,1.0,1.0,1.0
agentnet_incorrect_step,agentnet,step-quality,flat:query_aware,flat,query_aware,True,,0.0594,0.0,0.1121,1.0,1.0,1.0
agentnet_incorrect_step,agentnet,step-quality,fixed_session:width,fixed_session,width,True,,0.0598,0.2929,0.0254,0.0154,290.0,835.0
agentnet_incorrect_step,agentnet,step-quality,fixed_session:visible_risk,fixed_session,visible_risk,True,,0.0834,0.405,0.023,0.0056,326.0,835.0
agentnet_incorrect_step,agentnet,step-quality,fixed_session:query_aware,fixed_session,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.0799,0.4062,0.023,0.0056,326.0,835.0
agentnet_incorrect_step,agentnet,step-quality,dataset_native:width,dataset_native,width,True,,0.0533,0.2208,0.0697,0.2915,12.0,65.0
agentnet_incorrect_step,agentnet,step-quality,dataset_native:visible_risk,dataset_native,visible_risk,True,,0.0812,0.4119,0.0662,0.0289,30.0,65.0
agentnet_incorrect_step,agentnet,step-quality,dataset_native:query_aware,dataset_native,query_aware,True,dataset_native:query_aware; dataset_native:visible_risk; dataset_native:width; fixed_session:query_aware; fixed_session:visible_risk; fixed_session:width; flat:query_aware; flat:visible_risk; flat:width; operation_stack:query_aware; operation_stack:visible_risk; operation_stack:width; raw_action_stack:query_aware; raw_action_stack:visible_risk; raw_action_stack:width,0.0797,0.4199,0.004,0.0091,34.0,65.0
agentnet_incorrect_step,agentnet,step-quality,raw_action_stack:width,raw_action_stack,width,True,,0.0655,0.2437,0.1123,0.8565,1.0,25.0
