corpus,stratum,cluster_id,row_id,tool_calls,path_resolved_calls,mutation_calls,explore_calls,validation_attempts,recognized_successful_validations,has_mutation,prior_explore_calls,prior_path_explore_calls,any_prior_explore,eligible_transitions,same_path,same_module,cross_module,same_path_share,same_module_share,cross_module_share,observed_module_returns,return_gap_median_calls,return_gap_p90_calls,unique_target_paths,top_target_share,target_hhi,mutated_paths,mutated_path_read_before_share,mutated_path_mutated_again_share,resolved
ideatrail,default/train,domain-specific-multimodal-reasoning-gaps,b4_747_2511_22645,112,66,7,105,0,0,True,74,38,True,65,8,48,9,0.12307692307692308,0.7384615384615385,0.13846153846153847,8,2.5,6.499999999999999,45,0.10606060606060606,0.03948576675849404,4,0.0,0.5,A
ideatrail,default/train,edge-deployment-physiological-signal-models,b4_497_2510_16677,93,60,12,81,0,0,True,25,8,True,59,11,27,21,0.1864406779661017,0.4576271186440678,0.3559322033898305,20,2.0,3.1000000000000014,29,0.21666666666666667,0.0938888888888889,4,0.0,0.75,A
ideatrail,default/train,efficient-deep-learning-training,b3_188_2510_15020,50,30,4,46,0,0,True,26,11,True,29,8,14,7,0.27586206896551724,0.4827586206896552,0.2413793103448276,6,1.0,3.0,20,0.2,0.08666666666666667,3,0.0,0.3333333333333333,
ideatrail,default/train,efficient-large-model-training,070_top1_l1_005_02_07,143,78,20,123,0,0,True,101,36,True,77,29,39,9,0.37662337662337664,0.5064935064935064,0.11688311688311688,8,2.0,7.799999999999997,38,0.2692307692307692,0.11472715318869164,3,0.0,0.6666666666666666,B
ideatrail,default/train,efficient-llm-alignment-training,b4_524_2510_19178,65,40,3,62,0,0,True,29,11,True,39,5,19,15,0.1282051282051282,0.48717948717948717,0.38461538461538464,14,1.0,2.0,22,0.175,0.08625,3,0.0,0.0,A
ideatrail,default/train,efficient-long-context-attention,b4_598_2510_26692,101,61,2,99,0,0,True,63,34,True,60,1,54,5,0.016666666666666666,0.9,0.08333333333333333,4,6.0,12.4,45,0.08196721311475409,0.03144316044074174,2,0.0,0.0,A
ideatrail,default/train,efficient-real-time-video-generation,018_top1_l1_003_01_04_07,88,52,6,82,0,0,True,68,32,True,51,7,35,9,0.13725490196078433,0.6862745098039216,0.17647058823529413,8,1.5,3.5999999999999996,28,0.11538461538461539,0.06360946745562131,3,0.0,0.6666666666666666,A
ideatrail,default/train,explainable-time-series-models,b4_533_2510_20084,152,89,9,143,0,0,True,74,27,True,88,13,56,19,0.14772727272727273,0.6363636363636364,0.2159090909090909,18,2.0,10.600000000000001,54,0.12359550561797752,0.03699027900517611,5,0.0,0.4,A
ideatrail,default/train,fast-diffusion-language-model-generation,139_top1_l1_016_01_06,91,51,8,83,0,0,True,45,18,True,50,6,30,14,0.12,0.6,0.28,13,2,5.400000000000002,31,0.1568627450980392,0.05497885428681277,4,0.0,0.5,A
ideatrail,default/train,fine-grained-reward-signal-rlhf,b3_307_2601_08521,69,40,7,62,0,0,True,42,16,True,39,10,20,9,0.2564102564102564,0.5128205128205128,0.23076923076923078,8,1.0,2.3,19,0.2,0.09375000000000001,3,0.0,1.0,
