corpus,stratum,sampled_units,parsed_units,units_with_tool_calls,units_with_paths,units_with_mutations,units_with_transitions,units_with_returns,validation_success_status_available
ideatrail,default/train,64,64,64,64,64,64,63,False
openswe,openhands/minimax_m25,64,64,64,64,64,64,63,False
openswe,openhands/qwen35_122b,64,64,64,64,64,64,64,False
openswe,sweagent/minimax_m25,64,64,64,64,64,64,63,False
openswe,sweagent/qwen35_122b,64,64,64,64,64,64,64,False
