corpus,stratum,metric,statistic,eligible_units,estimate,ci95_low,ci95_high,status
ideatrail,default/train,any_prior_explore,mean,64,1.0,1.0,1.0,reported
ideatrail,default/train,prior_explore_calls,median,64,55.5,45.0,63.0,reported
ideatrail,default/train,same_path_share,mean,64,0.2352844301592726,0.2117935643211587,0.2585535244273625,reported
ideatrail,default/train,same_module_share,mean,64,0.5734668009843346,0.5502042557901361,0.5970151537223586,reported
ideatrail,default/train,cross_module_share,mean,64,0.1912487688563928,0.17199700436968818,0.21131055354640563,reported
ideatrail,default/train,observed_module_returns,median,64,8.0,8.0,11.0,reported
ideatrail,default/train,return_gap_median_calls,median,63,2.0,1.5,2.0,reported
ideatrail,default/train,top_target_share,median,64,0.16666666666666666,0.1565563725490196,0.19134199134199134,reported
ideatrail,default/train,target_hhi,median,64,0.06981899854670366,0.06478930721354964,0.07747933884297521,reported
ideatrail,default/train,mutated_path_read_before_share,median,64,0.0,0.0,0.0,reported
ideatrail,default/train,mutated_path_mutated_again_share,median,64,0.6666666666666666,0.5,0.6666666666666666,reported
openswe,openhands/minimax_m25,any_prior_explore,mean,64,1.0,1.0,1.0,reported
openswe,openhands/minimax_m25,prior_explore_calls,median,64,10.0,8.0,12.5,reported
openswe,openhands/minimax_m25,same_path_share,mean,64,0.33896116778533353,0.3061886885577736,0.3746793416850211,reported
openswe,openhands/minimax_m25,same_module_share,mean,64,0.3367221938151159,0.2919408820685151,0.38042845391958896,reported
openswe,openhands/minimax_m25,cross_module_share,mean,64,0.32431663839955055,0.28809373202823435,0.3639864201976371,reported
openswe,openhands/minimax_m25,observed_module_returns,median,64,14.0,10.0,16.0,reported
openswe,openhands/minimax_m25,return_gap_median_calls,median,63,2.0,2.0,3.0,reported
openswe,openhands/minimax_m25,top_target_share,median,64,0.23305555555555557,0.19811320754716982,0.2845977011494253,reported
openswe,openhands/minimax_m25,target_hhi,median,64,0.1217687074829932,0.10203889229146434,0.1556029347610549,reported
openswe,openhands/minimax_m25,mutated_path_read_before_share,median,64,0.2857142857142857,0.25,0.3333333333333333,reported
openswe,openhands/minimax_m25,mutated_path_mutated_again_share,median,64,0.5,0.4852941176470588,0.6,reported
openswe,openhands/qwen35_122b,any_prior_explore,mean,64,1.0,1.0,1.0,reported
openswe,openhands/qwen35_122b,prior_explore_calls,median,64,11.0,10.0,12.0,reported
openswe,openhands/qwen35_122b,same_path_share,mean,64,0.388706292922059,0.36161709643917994,0.4189893778817718,reported
