scope,project,baseline_path_calls,baseline_transitions,baseline_local,baseline_cross_module,baseline_locality,risk_path_calls_current_or_possible,max_transitions_after_admission,unchanged_local_transitions,unchanged_cross_transitions,uncertain_adjacent_transitions_at_max_admission,locality_lower,locality_upper,current_projection_relabel_lower,current_projection_relabel_upper,current_projection_relabel_max_shift_pp,max_absolute_shift_pp,material_ge_1pp
broad,ActPlane,22962,22960,20425,2535,0.8895905923344948,15125,30265,10974,741,18550,0.3625970593094333,0.9755162729225177,0.5368031358885017,0.9600609756097561,35.278745644599304,52.69935330250615,True
broad,academic-writing-skills,450,449,416,33,0.9265033407572383,148,559,339,22,198,0.6064400715563506,0.960644007155635,0.8106904231625836,0.9354120267260579,11.581291759465472,32.00632692008877,True
broad,agentsight,31679,31676,27624,4052,0.8720798080565728,35018,47928,8330,567,39031,0.17380237022199965,0.9881697546319479,0.29034600328324284,0.9758176537441596,58.173380477333005,69.82774378345732,True
broad,agentskill-observability-paper,438,437,437,0,1.0,106,529,376,0,153,0.7107750472589792,1.0,0.954233409610984,1.0,4.576659038901598,28.92249527410208,True
broad,bpf-developer-tutorial,783,782,732,50,0.9360613810741688,200,915,622,34,259,0.6797814207650273,0.9628415300546448,0.8260869565217391,0.9475703324808185,10.997442455242968,25.627996030914147,True
broad,eunomia.dev,2942,2940,2261,679,0.7690476190476191,2462,4100,1024,186,2890,0.2497560975609756,0.9546341463414634,0.3693877551020408,0.9193877551020408,39.96598639455783,51.92915214866435,True
heldout_trigger,ActPlane,22962,22960,20425,2535,0.8895905923344948,3366,25154,17957,1996,5201,0.7138824838991811,0.9206488033712332,0.8162020905923345,0.9053135888501742,7.338850174216027,17.57081084353137,True
heldout_trigger,academic-writing-skills,450,449,416,33,0.9265033407572383,46,492,399,26,67,0.8109756097560976,0.9471544715447154,0.9153674832962138,0.9287305122494433,1.1135857461024523,11.552773100114067,True
heldout_trigger,agentsight,31679,31676,27624,4052,0.8720798080565728,4463,34305,24216,3214,6875,0.7059029296020988,0.9063110333770588,0.7861788104558657,0.8876436418739739,8.590099760070713,16.617687845447403,True
heldout_trigger,agentskill-observability-paper,438,437,437,0,1.0,31,468,420,0,48,0.8974358974358975,1.0,1.0,1.0,0.0,10.256410256410254,True
heldout_trigger,bpf-developer-tutorial,783,782,732,50,0.9360613810741688,61,833,704,41,88,0.8451380552220888,0.9507803121248499,0.9143222506393862,0.9398976982097187,2.1739130434782594,9.092332585207997,True
heldout_trigger,eunomia.dev,2942,2940,2261,679,0.7690476190476191,427,3274,2065,559,650,0.6307269395235187,0.8292608430054978,0.7272108843537415,0.7840136054421769,4.183673469387761,13.832067952410043,True
