scope,project,metric,baseline_numerator,baseline_denominator,baseline_rate,origin_affected_numerator,origin_affected_denominator,endpoint_sensitive_rows,endpoint_observed_rows,missing_outcome_capacity,new_denominator_capacity,numerator_min,numerator_max,denominator_min,denominator_max,rate_lower,rate_upper,current_projection_ablation_lower,current_projection_ablation_upper,current_projection_ablation_numerator_min,current_projection_ablation_numerator_max,current_projection_ablation_denominator,current_projection_ablation_max_shift_pp,max_absolute_shift_pp,material_ge_1pp
broad,ALL,reuse,12331,13135,0.9387894937190712,4616,5193,181,179,72864,20425,20,28367,7942,28367,0.000705044594070575,1.0,0.9488793754721733,0.9716696046335935,7536,7717,7942,3.2880110914522365,93.80844491250005,True
broad,ALL,validation,3890,13135,0.2961553102398173,2576,5193,345,337,72864,20425,0,28334,7942,28367,0.0,0.9988366764197836,0.12301687232435154,0.16645681188617475,977,1322,7942,17.313843791546574,70.26813661799662,True
heldout_trigger,agentsight,persistence,973,1042,0.9337811900191939,32,33,6,6,8522,2508,0,3517,1009,3517,0.0,1.0,0.9266600594648167,0.9326065411298315,935,941,1009,0.7121130554377242,93.37811900191939,True
heldout_trigger,agentsight,reuse,5573,6112,0.9118128272251309,195,225,198,198,8522,2869,0,8756,5887,8756,0.0,1.0,0.8799048751486326,0.913538304739256,5180,5378,5887,3.1907952076498325,91.18128272251309,True
heldout_trigger,agentsight,validation,2450,6112,0.40085078534031415,125,225,43,5,8522,2869,0,8756,5887,8756,0.0,1.0,0.39408866995073893,0.40139289960930863,2320,2363,5887,0.6762115389575218,59.91492146596858,True
heldout_trigger,ActPlane,persistence,28,239,0.11715481171548117,0,26,9,4,6290,2500,0,2713,213,2713,0.0,1.0,0.11267605633802817,0.15492957746478872,24,33,213,3.7774765749307546,88.28451882845188,True
heldout_trigger,ActPlane,reuse,5442,5604,0.9710920770877944,60,76,49,49,6290,2624,0,8152,5528,8152,0.0,1.0,0.96472503617945,0.973589001447178,5333,5382,5528,0.636704090834439,97.10920770877945,True
heldout_trigger,ActPlane,validation,1210,5604,0.21591720199857245,51,76,37,23,6290,2624,0,8152,5528,8152,0.0,1.0,0.20549927641099855,0.21219247467438496,1136,1173,5528,1.0417925587573902,78.40827980014275,True
heldout_trigger,bpf-developer-tutorial,persistence,8,18,0.4444444444444444,0,0,0,0,119,50,0,68,18,68,0.0,1.0,0.4444444444444444,0.4444444444444444,8,8,18,0.0,55.55555555555556,True
heldout_trigger,bpf-developer-tutorial,reuse,257,282,0.9113475177304965,0,0,0,0,119,50,138,332,282,332,0.41566265060240964,1.0,0.9113475177304965,0.9113475177304965,257,257,282,0.0,49.568486712808685,True
heldout_trigger,bpf-developer-tutorial,validation,47,282,0.16666666666666666,0,0,0,0,119,50,0,216,282,332,0.0,0.6506024096385542,0.16666666666666666,0.16666666666666666,47,47,282,0.0,48.393574297188756,True
heldout_trigger,eunomia.dev,persistence,18,30,0.6,1,4,2,1,1309,364,0,390,26,390,0.0,1.0,0.6153846153846154,0.6923076923076923,16,18,26,9.230769230769232,60.0,True
heldout_trigger,eunomia.dev,reuse,650,694,0.9365994236311239,14,19,10,9,1309,420,0,1095,675,1095,0.0,1.0,0.9288888888888889,0.9437037037037037,627,637,675,0.7710534742235042,93.65994236311239,True
heldout_trigger,eunomia.dev,validation,141,694,0.20317002881844382,10,19,6,5,1309,420,0,1095,675,1095,0.0,1.0,0.18666666666666668,0.19555555555555557,126,132,675,1.6503362151777141,79.68299711815561,True
heldout_trigger,agentskill-observability-paper,persistence,18,18,1.0,0,0,0,0,85,31,0,49,18,49,0.0,1.0,1.0,1.0,18,18,18,0.0,100.0,True
heldout_trigger,agentskill-observability-paper,reuse,175,196,0.8928571428571429,0,0,0,0,85,31,90,227,196,227,0.3964757709251101,1.0,0.8928571428571429,0.8928571428571429,175,175,196,0.0,49.63813719320328,True
heldout_trigger,agentskill-observability-paper,validation,9,196,0.04591836734693878,0,0,0,0,85,31,0,125,196,227,0.0,0.5506607929515418,0.04591836734693878,0.04591836734693878,9,9,196,0.0,50.474242560460304,True
heldout_trigger,academic-writing-skills,persistence,1,1,1.0,0,0,0,0,191,57,0,58,1,58,0.0,1.0,1.0,1.0,1,1,1,0.0,100.0,True
heldout_trigger,academic-writing-skills,reuse,234,247,0.9473684210526315,0,0,0,0,191,57,43,304,247,304,0.14144736842105263,1.0,0.9473684210526315,0.9473684210526315,234,234,247,0.0,80.59210526315789,True
heldout_trigger,academic-writing-skills,validation,33,247,0.13360323886639677,0,0,0,0,191,57,0,281,247,304,0.0,0.9243421052631579,0.13360323886639677,0.13360323886639677,33,33,247,0.0,79.0738866396761,True
heldout_trigger,ALL,persistence,1046,1348,0.7759643916913946,33,63,17,11,16516,5510,0,6795,1285,6795,0.0,1.0,0.7797665369649806,0.7929961089494163,1002,1019,1285,1.7031717258021661,77.59643916913946,True
heldout_trigger,ALL,reuse,12331,13135,0.9387894937190712,269,320,257,256,16516,6051,271,18866,12815,18866,0.014364465175447896,1.0,0.9212641435817401,0.9413187670698401,11806,12063,12815,1.752535013733103,92.44250285436233,True
heldout_trigger,ALL,validation,3890,13135,0.2961553102398173,186,320,86,33,16516,6051,0,18625,12815,18866,0.0,0.9872256970210962,0.2864611783066719,0.2931720639875146,3671,3757,12815,0.9694131933145389,69.10703867812788,True
