protocol,task,dataset,query_family,objective,metric,direction,selected_policy,selected_view,selected_ranker,best_visible_policy,best_view,best_ranker,selected_exact_best,selected_within_tolerance,default_within_tolerance,selected_target_rank,selected_delta_vs_best,selected_delta_vs_width,selected_delta_vs_fixed,selected_delta_vs_flat,outcome_class,view_changed,ranker_changed,high_regret_miss
leave_task,agentreward_looping,agent-reward-bench,failure-looping,ranking_fidelity_ap,average_precision,higher,dataset_native:query_aware,dataset_native,query_aware,operation_stack:query_aware,operation_stack,query_aware,False,False,True,5,-0.0819,0.0336,-0.0683,0.1075,selector_missed_good_default,True,False,True
leave_task,agentreward_looping,agent-reward-bench,failure-looping,top5_localization_f1,top5_f1,higher,flat:query_aware,flat,query_aware,dataset_native:query_aware,dataset_native,query_aware,False,True,False,4,0.0,0.1356,0.4505,0.0,near_best_transfer,True,False,False
leave_task,agentreward_looping,agent-reward-bench,failure-looping,budget30_operation_recall,budget30_recall,higher,operation_stack:query_aware,operation_stack,query_aware,operation_stack:query_aware,operation_stack,query_aware,True,True,True,1,0.0,0.0456,0.0377,0.3988,exact_transfer,False,False,False
leave_task,agentreward_looping,agent-reward-bench,failure-looping,first_positive_work,work_to_first_positive,lower,operation_stack:visible_risk,operation_stack,visible_risk,raw_action_stack:visible_risk,raw_action_stack,visible_risk,False,False,False,5,-0.0631,0.1413,-0.0233,0.9355,operation_stack_overselected,True,False,True
leave_task,agentreward_looping,agent-reward-bench,failure-looping,groups_to_50pct,groups_to_50pct_recall,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,True,1,0.0,3.0,9.0,0.0,exact_transfer,False,False,False
leave_task,agentreward_looping,agent-reward-bench,failure-looping,sequence_top5_session_recall,top5_positive_session_recall,higher,flat:query_aware,flat,query_aware,dataset_native:query_aware,dataset_native,query_aware,False,True,False,4,0.0,0.1176,0.7647,0.0,near_best_transfer,True,False,False
leave_task,agentreward_looping,agent-reward-bench,failure-looping,sequence_budget30_session_recall,budget30_positive_session_recall,higher,raw_action_stack:query_aware,raw_action_stack,query_aware,operation_stack:visible_risk,operation_stack,visible_risk,False,False,False,5,-0.353,0.1176,0.1176,0.5294,view_mismatch_operation_stack_best,True,True,True
leave_task,agentreward_looping,agent-reward-bench,failure-looping,sequence_budget30_session_work,budget30_session_work,lower,flat:query_aware,flat,query_aware,flat:query_aware,flat,query_aware,True,True,False,1,0.0,0.3448,0.3448,0.0,exact_transfer,False,False,False
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,ranking_fidelity_ap,average_precision,higher,dataset_native:query_aware,dataset_native,query_aware,fixed_session:width,fixed_session,width,False,False,False,2,-0.4834,0.1505,0.056,0.2395,fixed_session_counterpoint,True,True,True
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,top5_localization_f1,top5_f1,higher,flat:query_aware,flat,query_aware,fixed_session:width,fixed_session,width,False,False,False,6,-0.379,0.0278,0.4339,0.0,fixed_session_counterpoint,True,True,True
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,budget30_operation_recall,budget30_recall,higher,dataset_native:query_aware,dataset_native,query_aware,fixed_session:width,fixed_session,width,False,False,False,8,-1.0,-0.3069,0.0,0.0,fixed_session_counterpoint,True,True,True
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,first_positive_work,work_to_first_positive,lower,fixed_session:query_aware,fixed_session,query_aware,operation_stack:query_aware,operation_stack,query_aware,False,False,True,7,-0.2826,-0.1413,0.0,0.6529,selector_missed_good_default,True,False,True
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,groups_to_50pct,groups_to_50pct_recall,lower,flat:query_aware,flat,query_aware,dataset_native:query_aware,dataset_native,query_aware,False,True,False,4,0.0,1.0,6.0,0.0,near_best_transfer,True,False,False
