source,path,status,sha256
generator script,script/paper_visualization_portfolio.py,tracked_clean,098fdc80fe38040dd66b1769485cc74f298086248d129e28d166055e2ba123b6
R320 profile accuracy,docs/visexp/out/operation-profile-accuracy-r320/profile-accuracy-report.json,tracked_clean,4baf9e91f444ec47a4d8d843ffc210e11fabf51b18dbc6113c7a2b2532a35786
R320 policy scores,docs/visexp/out/operation-profile-accuracy-r320/policy-scores.csv,tracked_clean,459cfa19fde3144fa6d51a4bbc8e643d78b81e19f6caf4c478bd52ca2217e111
R345 diagnostic lens,docs/visexp/out/operation-diagnostic-lens-portfolio-r345/diagnostic-lens-report.json,tracked_clean,36c3f83661b6ca190aeb28cfb6f3ac47572df0220c3c1a2d24cf18160cc380d8
R348 action counterfactual,docs/visexp/out/operation-action-counterfactual-r348/action-counterfactual-report.json,tracked_clean,4eeb9beb6acc17a711cff394a5f4e365dc9df610ef0396261572a742d1449c7f
R354 executable profile patch,docs/visexp/out/operation-profile-patch-r354/profile-patch-report.json,tracked_clean,6585af0a77956fa56b8aadec29f822714789b5bfcdf1769fcd61ba3d0c1994ad
R355 oracle depth,docs/visexp/out/operation-oracle-depth-adequacy-r355/oracle-depth-adequacy-report.json,tracked_clean,59b32c9cb9f00000984ae19376ac9aa411ad7b1c9a679ef3d0306017e5def00a
R358 boundary profile patch,docs/visexp/out/operation-boundary-profile-patch-r358/boundary-profile-patch-report.json,tracked_clean,3a73b69d7e4be423506edf9350b3c0c9db393520d79c3698b85d9024463597a7
R361 claim evidence,docs/visexp/out/paper-core-claim-evidence-r361/core-claim-evidence.json,tracked_clean,704d320768b8e8685d4469dcaf4ab568f559eee16b8fe4fa34cb71206c574103
R362 section readiness,docs/visexp/out/paper-core-section-readiness-r362/section-readiness.json,tracked_clean,bab9f3888c406365c1ee204aa772d1e3dfb37a445003d04bf8e02bdec369d21a
