policy,label,metric,raw_value,score,hidden
flat:width,Flat,AP,0.1678,0.1678,False
flat:width,Flat,R@30%,0.0,0.0,False
flat:width,Flat,P@5 recall,1.0,1.0,False
flat:width,Flat,1-Work@5,1.0,0.0,False
flat:width,Flat,1-WTFP,1.0,0.0,False
flat:width,Flat,1-logGroups,1.0,0.8774490480636903,False
fixed_session:query_aware,Fixed-session,AP,0.3476,0.3476,False
fixed_session:query_aware,Fixed-session,R@30%,0.3559,0.3559,False
fixed_session:query_aware,Fixed-session,P@5 recall,0.0233,0.0233,False
fixed_session:query_aware,Fixed-session,1-Work@5,0.0163,0.9837,False
fixed_session:query_aware,Fixed-session,1-WTFP,0.0044,0.9956,False
fixed_session:query_aware,Fixed-session,1-logGroups,285.0,0.0,False
dataset_native:query_aware,Dataset-native,AP,0.3572,0.3572,False
dataset_native:query_aware,Dataset-native,R@30%,0.3377,0.3377,False
dataset_native:query_aware,Dataset-native,P@5 recall,0.8665,0.8665,False
dataset_native:query_aware,Dataset-native,1-Work@5,0.8539,0.1461,False
dataset_native:query_aware,Dataset-native,1-WTFP,0.0582,0.9418,False
dataset_native:query_aware,Dataset-native,1-logGroups,7.5,0.6216284897367873,False
raw_action_stack:query_aware,Raw-action,AP,0.2744,0.2744,False
raw_action_stack:query_aware,Raw-action,R@30%,0.3325,0.3325,False
raw_action_stack:query_aware,Raw-action,P@5 recall,0.2442,0.2442,False
raw_action_stack:query_aware,Raw-action,1-Work@5,0.1507,0.8492999999999999,False
raw_action_stack:query_aware,Raw-action,1-WTFP,0.0374,0.9626,False
raw_action_stack:query_aware,Raw-action,1-logGroups,24.5,0.42738982649005564,False
operation_stack:width,Op-stack width,AP,0.161,0.161,False
operation_stack:width,Op-stack width,R@30%,0.3372,0.3372,False
operation_stack:width,Op-stack width,P@5 recall,0.4746,0.4746,False
operation_stack:width,Op-stack width,1-Work@5,0.5424,0.4576,False
operation_stack:width,Op-stack width,1-WTFP,0.1694,0.8306,False
operation_stack:width,Op-stack width,1-logGroups,157.5,0.1043560947831289,False
operation_stack:query_aware,Op-stack query,AP,0.3117,0.3117,False
operation_stack:query_aware,Op-stack query,R@30%,0.39,0.39,False
operation_stack:query_aware,Op-stack query,P@5 recall,0.188,0.188,False
operation_stack:query_aware,Op-stack query,1-Work@5,0.0937,0.9063,False
operation_stack:query_aware,Op-stack query,1-WTFP,0.0378,0.9621999999999999,False
operation_stack:query_aware,Op-stack query,1-logGroups,157.5,0.1043560947831289,False
operation_stack:oracle_upper_bound,Op-stack oracle,AP,0.5993,0.5993,True
operation_stack:oracle_upper_bound,Op-stack oracle,R@30%,0.564,0.564,True
operation_stack:oracle_upper_bound,Op-stack oracle,P@5 recall,0.3004,0.3004,True
operation_stack:oracle_upper_bound,Op-stack oracle,1-Work@5,0.0441,0.9559,True
operation_stack:oracle_upper_bound,Op-stack oracle,1-WTFP,0.0122,0.9878,True
operation_stack:oracle_upper_bound,Op-stack oracle,1-logGroups,157.5,0.1043560947831289,True
label_drilldown:oracle_upper_bound,Label drilldown,AP,1.0,1.0,True
label_drilldown:oracle_upper_bound,Label drilldown,R@30%,1.0,1.0,True
label_drilldown:oracle_upper_bound,Label drilldown,P@5 recall,0.6703,0.6703,True
label_drilldown:oracle_upper_bound,Label drilldown,1-Work@5,0.115,0.885,True
label_drilldown:oracle_upper_bound,Label drilldown,1-WTFP,0.0377,0.9623,True
label_drilldown:oracle_upper_bound,Label drilldown,1-logGroups,86.5,0.20939793710284882,True
