action_class,objective_rows,tasks,median_gain_over_default,max_gain_over_default,source
drill_down_fixed_session,7,3,0.6021,16.0,R348
keep_default_operation_stack,9,5,0.0,0.0,R348
retune_operation_stack_ranker,2,2,0.0655,0.127,R348
use_dataset_native_hierarchy,5,3,0.2723,61.0,R348
use_flat_full_recall_counterpoint,7,6,141.0,288.0,R348
use_raw_action_mapping_counterpoint,6,3,1.1022,185.0,R348
executable_profile_spec_patch,5,6,0.0376,0.575,R354
boundary_derived_fields,1,1,0.0181,0.3148,R358
