policy,label,view,ranker,hidden,ap,top5_work,top5_recall,budget30_recall,work_to_first_positive,groups
flat:width,Flat,flat,width,False,0.1678,1.0,1.0,0.0,1.0,1.0
fixed_session:query_aware,Fixed-session,fixed_session,query_aware,False,0.3476,0.0163,0.0233,0.3559,0.0044,285.0
dataset_native:query_aware,Dataset-native,dataset_native,query_aware,False,0.3572,0.8539,0.8665,0.3377,0.0582,7.5
raw_action_stack:query_aware,Raw-action,raw_action_stack,query_aware,False,0.2744,0.1507,0.2442,0.3325,0.0374,24.5
operation_stack:width,Op-stack width,operation_stack,width,False,0.161,0.5424,0.4746,0.3372,0.1694,157.5
operation_stack:query_aware,Op-stack query,operation_stack,query_aware,False,0.3117,0.0937,0.188,0.39,0.0378,157.5
operation_stack:oracle_upper_bound,Op-stack oracle,operation_stack,oracle_upper_bound,True,0.5993,0.0441,0.3004,0.564,0.0122,157.5
label_drilldown:oracle_upper_bound,Label drilldown,label_drilldown,oracle_upper_bound,True,1.0,0.115,0.6703,1.0,0.0377,86.5
