pooling,config,entity_type,lag_windows,projects,origin_hot_memberships,endpoint_hot_memberships,continuous_hot_memberships,endpoint_retention_fraction,continuous_retention_fraction
membership_weighted_micro,main_100_50,artifact,1,6,15907,9061,9061,0.5696234362230465,0.5696234362230465
project_median,main_100_50,artifact,1,6,15907,9061,9061,0.576189917887753,0.576189917887753
membership_weighted_micro,main_100_50,artifact,2,6,15886,5323,4666,0.3350749087246632,0.2937177388895883
project_median,main_100_50,artifact,2,6,15886,5323,4666,0.34377760252923056,0.30195972904554713
membership_weighted_micro,main_100_50,artifact,4,6,15841,4189,2120,0.2644403762388738,0.13382993497885234
project_median,main_100_50,artifact,4,6,15841,4189,2120,0.27483410709090245,0.14252353075276997
membership_weighted_micro,main_100_50,artifact,8,6,15755,3217,712,0.20418914630276103,0.04519200253887655
project_median,main_100_50,artifact,8,6,15755,3217,712,0.21542169387272297,0.04974633966827011
membership_weighted_micro,main_100_50,module,1,6,7951,6747,6747,0.848572506602943,0.848572506602943
project_median,main_100_50,module,1,6,7951,6747,6747,0.8295658381227807,0.8295658381227807
membership_weighted_micro,main_100_50,module,2,6,7942,5835,5580,0.7347015865021406,0.7025938050868799
project_median,main_100_50,module,2,6,7942,5835,5580,0.7294328457241613,0.6874170601487517
membership_weighted_micro,main_100_50,module,4,6,7920,5353,4395,0.6758838383838384,0.5549242424242424
project_median,main_100_50,module,4,6,7920,5353,4395,0.6531171638564635,0.5326977950713359
membership_weighted_micro,main_100_50,module,8,6,7875,4940,3235,0.6273015873015872,0.41079365079365077
project_median,main_100_50,module,8,6,7875,4940,3235,0.6036603855317306,0.39212228101116986
membership_weighted_micro,sensitivity_100_100,artifact,1,6,7933,2672,2672,0.3368208748266734,0.3368208748266734
project_median,sensitivity_100_100,artifact,1,6,7933,2672,2672,0.34517778270461164,0.34517778270461164
membership_weighted_micro,sensitivity_100_100,artifact,2,6,7910,2097,1331,0.26510745891276866,0.16826801517067003
project_median,sensitivity_100_100,artifact,2,6,7910,2097,1331,0.2595403439153439,0.16982473544973545
membership_weighted_micro,sensitivity_100_100,artifact,4,6,7868,1608,497,0.20437214031520082,0.06316725978647687
project_median,sensitivity_100_100,artifact,4,6,7868,1608,497,0.21363636363636362,0.05603368864324253
membership_weighted_micro,sensitivity_100_100,artifact,8,6,7789,1331,151,0.17088201309539094,0.01938631403261009
project_median,sensitivity_100_100,artifact,8,6,7789,1331,151,0.17858744394618836,0.007174887892376682
membership_weighted_micro,sensitivity_100_100,module,1,6,3961,2908,2908,0.7341580408987629,0.7341580408987629
project_median,sensitivity_100_100,module,1,6,3961,2908,2908,0.7418809049665354,0.7418809049665354
membership_weighted_micro,sensitivity_100_100,module,2,6,3949,2652,2357,0.671562420866042,0.5968599645479868
project_median,sensitivity_100_100,module,2,6,3949,2652,2357,0.6384180790960452,0.5617122990004346
membership_weighted_micro,sensitivity_100_100,module,4,6,3926,2440,1767,0.6214977075904228,0.4500764136525726
project_median,sensitivity_100_100,module,4,6,3926,2440,1767,0.5769938056523423,0.40133037694013307
membership_weighted_micro,sensitivity_100_100,module,8,6,3888,2274,1248,0.5848765432098766,0.32098765432098764
project_median,sensitivity_100_100,module,8,6,3888,2274,1248,0.5436199621708133,0.28654153935690385
