pooling,config,entity_type,projects,valid_adjacent_pairs,top1_changes,top1_change_fraction,top5_membership_changes,top5_any_change_fraction,mean_top5_replacement_fraction
transition_weighted_micro,main_100_50,artifact,6,3372,1673,0.4961447212336892,3086,0.9151838671411625,0.4347222222222222
project_median,main_100_50,artifact,6,3372,1673,0.5082902871131026,3086,0.8870192307692308,0.4294700215058225
transition_weighted_micro,main_100_50,module,6,3372,458,0.13582443653618032,1415,0.419632265717675,0.1739966389877422
project_median,main_100_50,module,6,3372,458,0.12471382783882784,1415,0.4077321919476633,0.20635432253424735
transition_weighted_micro,sensitivity_100_100,artifact,6,1666,1202,0.7214885954381752,1624,0.9747899159663865,0.6646758703481394
project_median,sensitivity_100_100,artifact,6,1666,1202,0.7690859630032644,1624,0.9956474428726877,0.6582667038770391
transition_weighted_micro,sensitivity_100_100,module,6,1666,318,0.1908763505402161,1006,0.6038415366146459,0.28811524609843936
project_median,sensitivity_100_100,module,6,1666,318,0.1529126213592233,1006,0.5734987023322804,0.2999758191270705
