project,artifact_id,worktree_id,birth_state,lineage_state,first_path,final_path,first_event_index,last_event_index,first_ts_ms,last_ts_ms,first_session,last_session,session_count,reads,mutations,renames,deletes,closed_reason,final_exists,final_tracked,final_state_known,introduced_eligible,content_durability
agentsight,agentsight:a00000001,e58fce112c6e,left_censored_existing,known,LICENSE,LICENSE,3,23,1772761756092,1772761996675,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019cc0d4-edae-7e81-92e2-239691fed904,1,3,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000002,e58fce112c6e,left_censored_existing,known,bpf/sslsniff.c,bpf/sslsniff.c,5,84708,1772761756264,1784255258583,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019f49ca-54e7-7a91-82e7-a52b53cfd456,12,92,11,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000003,e58fce112c6e,left_censored_existing,known,collector/src/main.rs,collector/src/main.rs,5,88337,1772761756264,1784507803765,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019f7cf2-28f8-78f2-bde8-d939b58252e2,62,629,75,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000004,e58fce112c6e,left_censored_existing,known,frontend/src/app/page.tsx,frontend/src/app/page.tsx,5,77295,1772761756264,1784121427728,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019f49ca-54e7-7a91-82e7-a52b53cfd456,19,87,2,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000005,e58fce112c6e,left_censored_existing,known,script/opentelemetry_example.py,script/opentelemetry_example.py,5,5,1772761756264,1772761756264,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019cc0d4-edae-7e81-92e2-239691fed904,1,1,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000006,e58fce112c6e,left_censored_existing,known,bpf/test_process_filter.c,bpf/test_process_filter.c,7,34697,1772761794853,1781853886775,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019ec23a-9d01-7981-aaa4-1be1af89ba69,2,7,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000007,e58fce112c6e,left_censored_existing,known,bpf/test_process_utils.c,bpf/test_process_utils.c,8,6690,1772761794856,1780471018362,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,2,2,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000008,e58fce112c6e,left_censored_existing,known,docs/case-study/reasoning-loop-detection/latest_ai_development/src/latest_ai_development/main.py,docs/case-study/reasoning-loop-detection/latest_ai_development/src/latest_ai_development/main.py,9,20,1772761795038,1772761960599,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019cc0d4-edae-7e81-92e2-239691fed904,1,3,0,0,0,,false,false,true,false,unknown
agentsight,agentsight:a00000009,e58fce112c6e,left_censored_existing,known,frontend/next-env.d.ts,frontend/next-env.d.ts,9,9,1772761795038,1772761795038,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019cc0d4-edae-7e81-92e2-239691fed904,1,1,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000010,e58fce112c6e,left_censored_existing,known,frontend/next.config.js,frontend/next.config.js,9,76926,1772761795038,1784120231422,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019f49ca-54e7-7a91-82e7-a52b53cfd456,9,13,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000011,e58fce112c6e,left_censored_existing,known,script/run_ssl_analysis.sh,script/run_ssl_analysis.sh,12,49499,1772761858106,1783751371754,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019f49ca-54e7-7a91-82e7-a52b53cfd456,2,3,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000012,e58fce112c6e,left_censored_existing,known,collector/Cargo.toml,collector/Cargo.toml,16,82019,1772761931070,1784186526252,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019f49ca-54e7-7a91-82e7-a52b53cfd456,25,58,3,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000013,e58fce112c6e,left_censored_existing,known,frontend/package.json,frontend/package.json,16,89541,1772761931070,1784526779300,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019f7e15-4172-7991-a03c-9c36dd5000bf,11,28,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000014,e58fce112c6e,left_censored_existing,known,Makefile,Makefile,26,83838,1772762024126,1784248828323,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019f49ca-54e7-7a91-82e7-a52b53cfd456,8,14,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000015,e58fce112c6e,left_censored_existing,known,collector/README.md,collector/README.md,26,13064,1772762024126,1780563193074,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019e91ad-cc38-7c23-a47a-f5e71fb1d14a,5,9,0,0,0,,false,false,true,false,unknown
agentsight,agentsight:a00000016,e58fce112c6e,left_censored_existing,known,collector/src/framework/runners/system.rs,collector/src/framework/runners/system.rs,60,13712,1772762274918,1780568319811,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019e91ad-cc38-7c23-a47a-f5e71fb1d14a,7,23,0,0,0,,false,false,true,false,unknown
agentsight,agentsight:a00000017,e58fce112c6e,left_censored_existing,known,collector/src/server/web.rs,collector/src/server/web.rs,62,81280,1772762283271,1784177324324,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019f49ca-54e7-7a91-82e7-a52b53cfd456,27,139,7,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000018,e58fce112c6e,left_censored_existing,known,collector/src/server/assets.rs,collector/src/server/assets.rs,66,22077,1772762312413,1781431701461,codex:019cc0d4-edae-7e81-92e2-239691fed904,codex:019ec23a-9d01-7981-aaa4-1be1af89ba69,11,17,1,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000019,e58fce112c6e,left_censored_existing,known,frontend/src/types/event.ts,frontend/src/types/event.ts,80,22034,1779831138894,1781431435406,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,codex:019ec23a-9d01-7981-aaa4-1be1af89ba69,12,31,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000020,e58fce112c6e,left_censored_existing,known,README.md,README.md,81,89541,1779831138895,1784526779300,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,codex:019f7e15-4172-7991-a03c-9c36dd5000bf,30,158,26,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000021,e58fce112c6e,left_censored_existing,known,collector/src/framework/analyzers/otel_exporter.rs,collector/src/sinks/otel.rs,86,31162,1779831153853,1781594633837,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,codex:019ec23a-9d01-7981-aaa4-1be1af89ba69,16,43,2,1,0,,false,false,true,false,unknown
agentsight,agentsight:a00000022,e58fce112c6e,left_censored_existing,known,frontend/src/utils/eventParsers.ts,frontend/src/utils/eventParsers.ts,88,19285,1779831153893,1781082591896,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,claude:aa27b1bd-8e29-4074-a1a7-7b7d4b444620,12,52,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000023,e58fce112c6e,left_censored_existing,known,frontend/src/components/ResourceMetricsView.tsx,frontend/src/components/ResourceMetricsView.tsx,89,21992,1779831153895,1781431090606,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,codex:019ec23a-9d01-7981-aaa4-1be1af89ba69,7,19,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000024,e58fce112c6e,left_censored_existing,known,collector/src/framework/analyzers/file_logger.rs,collector/src/sinks/file_logger.rs,92,11322,1779831159614,1780546413532,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,codex:019e9014-8640-79d3-a482-8cf585a5c3db,10,52,1,1,0,,false,false,true,false,unknown
agentsight,agentsight:a00000025,e58fce112c6e,left_censored_existing,known,collector/src/framework/core/events.rs,collector/src/event.rs,93,84375,1779831159614,1784252732261,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,codex:019f49ca-54e7-7a91-82e7-a52b53cfd456,21,45,1,1,0,,false,false,true,false,unknown
agentsight,agentsight:a00000026,e58fce112c6e,left_censored_existing,known,docs/openclaw.md,docs/openclaw.md,103,811,1779831185386,1779843960269,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,1,2,0,0,0,,false,false,true,false,unknown
agentsight,agentsight:a00000027,e58fce112c6e,left_censored_existing,known,collector/mcp/DESIGN.md,collector/mcp/DESIGN.md,104,104,1779831185423,1779831185423,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,1,1,0,0,0,,false,false,true,false,unknown
agentsight,agentsight:a00000028,e58fce112c6e,left_censored_existing,known,frontend/src/i18n/locales/zh.ts,frontend/src/i18n/locales/zh.ts,106,21986,1779831192240,1781431065546,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,codex:019ec23a-9d01-7981-aaa4-1be1af89ba69,4,8,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000029,e58fce112c6e,left_censored_existing,known,frontend/src/i18n/locales/en.ts,frontend/src/i18n/locales/en.ts,107,21986,1779831192241,1781431065546,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,codex:019ec23a-9d01-7981-aaa4-1be1af89ba69,4,10,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000030,e58fce112c6e,left_censored_existing,known,frontend/src/components/ProcessTreeView.tsx,frontend/src/components/ProcessTreeView.tsx,108,17858,1779831192284,1780981295449,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,codex:019eaaa2-bac4-7502-a803-46f93a3de4f9,10,19,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000031,e58fce112c6e,left_censored_existing,known,frontend/src/components/log/LogView.tsx,frontend/src/components/log/LogView.tsx,109,21993,1779831192284,1781431090606,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,codex:019ec23a-9d01-7981-aaa4-1be1af89ba69,7,12,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000032,e58fce112c6e,left_censored_existing,known,docs/design/frontend/README.md,docs/design/frontend/README.md,111,111,1779831802763,1779831802763,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,1,1,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000033,e58fce112c6e,left_censored_existing,known,collector/DESIGN.md,collector/DESIGN.md,112,6406,1779831802764,1780467898208,codex:019e6632-cfcb-7dd3-878d-3ce797b571f4,codex:019e8aa7-edc0-7671-9a7e-d3c47990d3c5,3,7,0,0,0,,false,false,true,false,unknown
