project,revision,candidate_sessions,parsed_sessions,included_sessions,attributed_sessions,worktrees,observation_span_ms,cutoff_ms,source_events,tool_actions,attributed_tool_actions,file_actions,confirmed_mutations,recognized_successful_validations,introduced_eligible,introduced_persisted,introduced_unknown_final,reuse_eligible,reuse_observed,reuse_competing,reuse_censored,validation_eligible,validation_observed,validation_competing,validation_censored,conjunction_eligible,conjunction_observed,qualified_longitudinal,qualified_validation
agentsight,ee362db53e29f82506b55070ed7694a5be17190f,1387,1383,301,301,5,11946823526,1784708569241,856659,97586,93557,39087,6587,3230,1043,974,0,6111,5570,39,502,6111,2424,3637,50,1043,472,true,true
ActPlane,50a1619fae1c13553c13ea032f1dba67e7046879,604,602,139,139,2,4851935026,1784708569241,195535,66238,65333,25498,5849,2576,245,28,0,5604,5437,19,148,5604,1212,4388,4,245,8,true,true
bpf-developer-tutorial,21e9d9996bf3097e888a764ef0d0b924a11d041a,61,60,35,35,2,16570476564,1784708569241,4054,1664,1661,880,283,22,18,8,0,282,257,0,25,282,47,225,10,18,4,true,true
eunomia.dev,62410ec4537956af0fd46fb71696e4c859a33bc1,148,148,51,51,2,11879929015,1784708569241,27523,13876,13393,3496,739,52,30,18,0,694,650,6,38,694,141,548,5,30,3,true,true
agentskill-observability-paper,f89a689bf3629abe60833357a5ad8493e03ddbe0,38,38,8,8,1,12316767,1784708569241,2984,991,990,464,196,1,18,18,0,196,175,0,21,196,9,173,14,18,0,true,true
academic-writing-skills,9680183237d3c3f3fa1b1cc3efb0c9919b1e1039,26,25,17,16,1,2803630081,1784708569241,2803,948,685,478,251,9,1,1,0,247,234,1,12,247,33,209,5,1,0,true,true
