mode,bucket_count,total_support,candidate_overlay_rows,review_required_rows,review_required_support,active_merge_rows,hidden_other_rows,top_bucket,top_bucket_support
raw,1811,482398,0,0,0,0,0,session:refactor,89914
display,1748,482398,0,0,0,63,0,session:refactor,89914
pending,1748,482398,209,323,9293,63,0,session:refactor,89914
