check,expected,observed,passed,reason
click_raw,raw,raw,True,mode button updates rendered DOM mode
click_display,display,display,True,mode button updates rendered DOM mode
click_pending,pending,pending,True,mode button updates rendered DOM mode
membership_matches_display_map,true,true,True,drilldown raw membership matches active display rows
pending_membership_equals_display,true,true,True,pending overlays do not change active membership
wrong_drilldown_rejected,true,true,True,corrupted raw membership is rejected
candidate_promotion_rejected,true,true,True,candidate display tags cannot become active membership without review
