source,path,status,sha256
R361 core claim evidence,docs/visexp/out/paper-core-claim-evidence-r361/core-claim-evidence.json,tracked_clean,689589b5ad34c1bdc8059a84d94a21fd45e5a55122e68b01d326806faaf09edb
Chinese paper,docs/visexp/paper/main.tex,tracked_clean,edb802dfaa944a10d8b73e0652ae0c2666cd41ecbce8233ee6ea46cc0a9c95ec
English paper,docs/agentpprof-paper/main.tex,tracked_clean,624bbf1b542ad14b9c9951d1d67155a2fcf09265af7a9c2f8a81640f061e0767
Evaluation ledger,docs/evaluation.md,tracked_clean,cc1ab4c7c2a58298cbb8699d15fcdb38be7c573e9345fb5c0362712e9504d4f9
