view,ranker,tasks,uses_hidden_fields,median_average_precision,median_ndcg,median_top5_precision,median_top5_recall,median_top5_f1,median_top5_work,median_budget30_recall,median_budget30_f1,median_work_to_first_positive,median_groups
dataset_native,query_aware,6,False,0.3571,0.7445,0.1713,0.8665,0.2822,0.8539,0.3377,0.1719,0.0582,7.5
fixed_session,query_aware,6,False,0.3476,0.7642,0.2555,0.0233,0.0427,0.0163,0.3559,0.2034,0.0043,285.0
flat,width,6,False,0.1678,1.0,0.1678,1.0,0.2868,1.0,0.0,0.0,1.0,1.0
induced_task_stack,oracle_upper_bound,6,True,0.4559,0.9783,0.3937,0.8464,0.507,0.4529,0.3961,0.4347,0.1884,15.0
induced_task_stack,query_aware,6,False,0.3034,0.5834,0.2206,0.3798,0.2755,0.2819,0.276,0.1496,0.0341,15.0
induced_task_stack,visible_risk,6,False,0.1459,0.5416,0.1282,0.3798,0.182,0.3869,0.276,0.1496,0.043,15.0
induced_task_stack,width,6,False,0.1377,0.9486,0.1495,0.7982,0.2361,0.744,0.3241,0.2187,0.2222,15.0
operation_stack,oracle_upper_bound,6,True,0.5992,0.6371,0.8984,0.3004,0.403,0.044,0.564,0.5205,0.0122,157.5
operation_stack,query_aware,6,False,0.3116,0.5488,0.1991,0.188,0.1981,0.0937,0.39,0.2988,0.0379,157.5
operation_stack,width,6,False,0.161,0.9364,0.1398,0.4746,0.2147,0.5424,0.3372,0.2147,0.1694,157.5
raw_action_stack,query_aware,6,False,0.2743,0.5012,0.2513,0.2441,0.2194,0.1507,0.3325,0.3127,0.0373,24.5
