task,dataset,query_family,view,ranker,uses_hidden_fields,operations,positives,prevalence,groups,positive_groups,average_precision,ndcg,top5_precision,top5_recall,top5_f1,top5_work,budget30_recall,budget30_f1,budget30_work,work_to_first_positive,groups_to_50pct_recall,work_to_50pct_recall
agentreward_looping,agent-reward-bench,failure-looping,induced_task_stack,width,False,729,504,0.691358024691358,15,14,0.7314624831202676,0.9679111459047969,0.5790598290598291,0.5376984126984127,0.5576131687242799,0.6419753086419753,0.35714285714285715,0.502092050209205,0.29218106995884774,0.2222222222222222,5,0.6419753086419753
agentreward_looping,agent-reward-bench,failure-looping,induced_task_stack,visible_risk,False,729,504,0.691358024691358,15,14,0.8818717439022727,0.6742863465210022,0.8832684824902723,0.4503968253968254,0.5965834428383706,0.35253772290809327,0.38095238095238093,0.5348189415041782,0.2935528120713306,0.03566529492455418,6,0.3936899862825789
agentreward_looping,agent-reward-bench,failure-looping,induced_task_stack,query_aware,False,729,504,0.691358024691358,15,14,0.9085422401444418,0.6415897611147818,1.0,0.2638888888888889,0.4175824175824176,0.18244170096021947,0.38095238095238093,0.5348189415041782,0.2935528120713306,0.0411522633744856,9,0.49382716049382713
agentreward_looping,agent-reward-bench,failure-looping,induced_task_stack,oracle_upper_bound,True,729,504,0.691358024691358,15,14,0.9281675882848494,0.9544647193230555,0.9568345323741008,0.5277777777777778,0.6803069053708439,0.3813443072702332,0.4087301587301587,0.5706371191135734,0.299039780521262,0.2222222222222222,5,0.3813443072702332
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_task_stack,width,False,729,202,0.27709190672153633,15,2,0.6036213210362132,0.8779772706664527,0.43162393162393164,1.0,0.6029850746268657,0.6419753086419753,0.3564356435643564,0.3469879518072289,0.29218106995884774,0.2222222222222222,2,0.40054869684499317
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_task_stack,visible_risk,False,729,202,0.27709190672153633,15,2,0.2913809518766637,0.36202370835485315,0.2801556420233463,0.3564356435643564,0.3137254901960784,0.35253772290809327,0.0,0.0,0.2935528120713306,0.3113854595336077,15,1.0
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_task_stack,query_aware,False,729,202,0.27709190672153633,15,2,0.41094171837835497,0.4227420001211896,0.2589928057553957,0.3564356435643564,0.29999999999999993,0.3813443072702332,0.0,0.0,0.28669410150891633,0.3813443072702332,6,0.5596707818930041
agentreward_side_effect,agent-reward-bench,failure-side-effect,induced_task_stack,oracle_upper_bound,True,729,202,0.27709190672153633,15,2,0.890139698901397,1.0,0.5444743935309974,1.0,0.7050610820244329,0.5089163237311386,0.6435643564356436,0.6326034063260341,0.28669410150891633,0.17832647462277093,1,0.17832647462277093
satraj_unsafe,satraj-os-safety,safety,induced_task_stack,width,False,4285,622,0.14515752625437572,12,7,0.10408796414166445,0.532269483881899,0.11989730423620025,0.7508038585209004,0.20677440779278283,0.9089848308051341,0.409967845659164,0.2695560253699789,0.29638273045507585,0.5183197199533256,4,0.8798133022170361
satraj_unsafe,satraj-os-safety,safety,induced_task_stack,visible_risk,False,4285,622,0.14515752625437572,12,7,0.10015302953303235,0.4088318064648947,0.03580562659846547,0.13504823151125403,0.056603773584905655,0.5474912485414236,0.41639871382636656,0.2762666666666667,0.29241540256709453,0.5239206534422404,9,0.9498249708284714
satraj_unsafe,satraj-os-safety,safety,induced_task_stack,query_aware,False,4285,622,0.14515752625437572,12,7,0.4268018402882712,0.5251726894389452,0.7707182320441989,0.44855305466237944,0.5670731707317074,0.08448074679113185,0.9453376205787781,0.6215644820295982,0.29638273045507585,0.02263710618436406,7,0.5829638273045508
satraj_unsafe,satraj-os-safety,safety,induced_task_stack,oracle_upper_bound,True,4285,622,0.14515752625437572,12,7,0.6768691505766308,0.7377359121606072,0.5404411764705882,0.9453376205787781,0.687719298245614,0.25390898483080515,0.9453376205787781,0.6353322528363047,0.2868144690781797,0.029171528588098017,4,0.23033838973162193
agentnet_incorrect_step,agentnet,step-quality,induced_task_stack,width,False,14718,874,0.05938306835167822,8,8,0.06068478023417007,1.0,0.05934313016943708,0.8455377574370709,0.11090267877241691,0.8461068079902161,0.2917620137299771,0.10298869143780293,0.27707568963174345,0.2035602663405354,3,0.590365538796032
agentnet_incorrect_step,agentnet,step-quality,induced_task_stack,visible_risk,False,14718,874,0.05938306835167822,8,8,0.06308185202903209,0.781724565727518,0.0614,0.7025171624713958,0.11292992459076696,0.6794401413235494,0.30778032036613273,0.1053456040728412,0.28760701182225845,0.027041717624677265,5,0.6794401413235494
