induced_policy,baseline_policy,tasks,average_precision_wins,average_precision_median_delta,ndcg_wins,ndcg_median_delta,top5_precision_wins,top5_precision_median_delta,top5_recall_wins,top5_recall_median_delta,top5_f1_wins,top5_f1_median_delta,top5_work_wins,top5_work_median_delta,budget30_recall_wins,budget30_recall_median_delta,budget30_f1_wins,budget30_f1_median_delta,work_to_first_positive_wins,work_to_first_positive_median_delta,groups_wins,groups_median_delta
induced_task_stack:query_aware,dataset_native:query_aware,6,1,-0.0168,2,-0.0852,4,0.0387,2,0.0,4,0.0233,4,-0.239,1,-0.0376,1,-0.0196,2,0.0128,2,4.5
induced_task_stack:query_aware,fixed_session:query_aware,6,2,-0.0132,3,0.0376,2,-0.0508,6,0.2823,6,0.1259,1,0.296,2,-0.0232,2,-0.0082,1,0.0318,6,-273.0
induced_task_stack:query_aware,flat:width,6,4,0.0665,0,-0.284,4,0.0164,0,-0.6785,2,-0.0439,6,-0.6857,5,0.2941,5,0.1475,6,-0.9501,0,14.5
induced_task_stack:query_aware,operation_stack:oracle_upper_bound,6,0,-0.147,2,-0.0976,1,-0.3837,4,0.2573,2,-0.0675,1,0.2805,0,-0.2464,1,-0.087,1,0.0453,6,-145.5
induced_task_stack:query_aware,operation_stack:query_aware,6,3,-0.0013,4,0.0135,2,-0.0389,4,0.1377,3,0.0089,2,0.1358,2,-0.0668,2,-0.0343,3,0.0135,6,-145.5
induced_task_stack:query_aware,operation_stack:width,6,3,0.0171,1,-0.2405,3,0.0858,2,-0.1538,2,-0.0347,5,-0.1184,2,-0.0432,2,-0.0147,5,-0.081,6,-145.5
induced_task_stack:query_aware,raw_action_stack:query_aware,6,2,-0.0077,5,0.1203,4,0.0068,4,0.2026,3,0.0329,2,0.153,4,0.0212,4,0.0075,2,0.0128,4,-9.0
