task,view,operations,positives,groups,selected_source_fields,oracle_source_field_overlap,split_decisions,stop_reasons,depth_histogram,min_depth,max_depth,variable_depth,rust_stack_weight_match
agentreward_looping,induced_task_stack,729,504,15,"['action', 'repeat_run', 'repeat_signal', 'repeat_state']",[],14,"{'max_depth': 14, 'no_material_split': 1}","{2: 1, 3: 3, 4: 11}",2,4,True,True
agentreward_side_effect,induced_task_stack,729,202,15,"['action', 'repeat_run', 'repeat_signal', 'repeat_state']",[],14,"{'max_depth': 14, 'no_material_split': 1}","{2: 1, 3: 2, 4: 12}",2,4,True,True
satraj_unsafe,induced_task_stack,4285,622,8,['repeat_signal'],[],11,"{'max_depth': 10, 'no_material_split': 2}","{1: 2, 2: 2, 3: 2, 4: 2}",1,4,True,True
agentnet_incorrect_step,induced_task_stack,14718,874,16,"['domain', 'efficiency_score', 'task_difficulty']",[],15,{'max_depth': 16},"{2: 3, 3: 5, 4: 8}",2,4,True,True
agentnet_redundant_step,induced_task_stack,10067,733,16,"['domain', 'phase', 'repeat_signal']",[],15,{'max_depth': 16},"{2: 2, 3: 10, 4: 4}",2,4,True,True
osworld_group_start,induced_task_stack,4011,764,16,"['action', 'app', 'phase', 'repeat_signal', 'repeat_state']",[],15,{'max_depth': 16},"{2: 1, 3: 7, 4: 8}",2,4,True,True
