corpus,config,split,rows,independent_units,selected_units
openswe,openhands,minimax_m25,49948,20098,1
openswe,openhands,qwen35_122b,55488,20362,1
openswe,sweagent,minimax_m25,57268,20791,1
openswe,sweagent,qwen35_122b,44785,18211,1
ideatrail,default,train,1170,963,4
