action,rows,support,support_pct,default_display_effect,promotion_gate
active_alias_display,63,2947,0.611,active,deterministic alias only; raw drilldown required
pending_profile_merge_candidate,168,5697,1.181,pending,requires paired merge-risk review and display-map diff
pending_llm_regenerated_or_split_candidate,41,3036,0.629,candidate_only,requires R202 grammar check plus R203 promotion review
review_required_total,323,9293,1.926,candidate_only,any reviewed map update must be paired/adjudicated
keep_rare_distinct,1241,6025,1.249,raw_preserved,none; rare distinct tags are not hidden in other
keep_head,184,464133,96.214,active_raw_or_canonical,preserve unless sensitivity or human labels show risk
