dimension,raw_unique_tags,canonical_unique_tags,canonical_unique_reduction_pct,long_tail_support_pct,review_required_support_pct,governance_priority,recommended_mode,reason
overall,1546,1364,11.772,1.746,1.926,monitor_pending_load,display+pending,overall map is usable but pending load should remain visible
llm,1423,1254,11.876,1.903,1.376,stable_default,display,tail and review support are below current budgets
prompt,328,279,14.939,2.996,3.258,prioritize_review,pending,review-required support is above the per-dimension review budget
session,60,49,18.333,0.397,0.938,stable_default,display,tail and review support are below current budgets
