trigger,actual,threshold,comparator,passed,response
overall_long_tail_budget,1.746,3.0,<=,True,default display can stay alias-only with raw drilldown
overall_review_budget,1.926,2.0,<=,True,pending overlay is acceptable as a default warning surface
prompt_review_budget,3.258,3.0,<=,False,prioritize prompt-level review before promoting candidates
head_stability_under_high_tail_threshold,65.217,80.0,>=,False,do not raise tail thresholds automatically; require review
hidden_other_bucket,0.0,0.0,<=,True,no hidden other bucket is present
display_drilldown_membership,1.0,1.0,>=,True,display drilldown matches active map membership
