project,requirement,status,detail
agentsight,normalized_action_spine,present,preregistered SHA-256 ebbf3dd94459
agentsight,normalized_source_linkage,present,126476/126476 events carry all linkage fields
agentsight,native_prefix_manifest,N/A,missing exact contract native-prefix-manifest.json
agentsight,native_prefix_archive,N/A,missing exact contract native-prefixes.tar.zst
agentsight,worktree_revision_manifest,N/A,missing exact contract worktree-revisions.json
agentsight,cutoff_untracked_disposition,N/A,missing exact contract cutoff-untracked-state.json
ActPlane,normalized_action_spine,present,preregistered SHA-256 4ee9fc1aebee
ActPlane,normalized_source_linkage,present,65699/65699 events carry all linkage fields
ActPlane,native_prefix_manifest,N/A,missing exact contract native-prefix-manifest.json
ActPlane,native_prefix_archive,N/A,missing exact contract native-prefixes.tar.zst
ActPlane,worktree_revision_manifest,N/A,missing exact contract worktree-revisions.json
ActPlane,cutoff_untracked_disposition,N/A,missing exact contract cutoff-untracked-state.json
bpf-developer-tutorial,normalized_action_spine,present,preregistered SHA-256 88dec6db8a13
bpf-developer-tutorial,normalized_source_linkage,present,1865/1865 events carry all linkage fields
bpf-developer-tutorial,native_prefix_manifest,N/A,missing exact contract native-prefix-manifest.json
bpf-developer-tutorial,native_prefix_archive,N/A,missing exact contract native-prefixes.tar.zst
bpf-developer-tutorial,worktree_revision_manifest,N/A,missing exact contract worktree-revisions.json
bpf-developer-tutorial,cutoff_untracked_disposition,N/A,missing exact contract cutoff-untracked-state.json
eunomia.dev,normalized_action_spine,present,preregistered SHA-256 cf7dfea58a44
eunomia.dev,normalized_source_linkage,present,10560/10560 events carry all linkage fields
eunomia.dev,native_prefix_manifest,N/A,missing exact contract native-prefix-manifest.json
eunomia.dev,native_prefix_archive,N/A,missing exact contract native-prefixes.tar.zst
eunomia.dev,worktree_revision_manifest,N/A,missing exact contract worktree-revisions.json
eunomia.dev,cutoff_untracked_disposition,N/A,missing exact contract cutoff-untracked-state.json
agentskill-observability-paper,normalized_action_spine,present,preregistered SHA-256 33b6b1b17202
agentskill-observability-paper,normalized_source_linkage,present,991/991 events carry all linkage fields
agentskill-observability-paper,native_prefix_manifest,N/A,missing exact contract native-prefix-manifest.json
agentskill-observability-paper,native_prefix_archive,N/A,missing exact contract native-prefixes.tar.zst
agentskill-observability-paper,worktree_revision_manifest,N/A,missing exact contract worktree-revisions.json
agentskill-observability-paper,cutoff_untracked_disposition,N/A,missing exact contract cutoff-untracked-state.json
academic-writing-skills,normalized_action_spine,present,preregistered SHA-256 f8536f1ab6d7
academic-writing-skills,normalized_source_linkage,present,658/658 events carry all linkage fields
academic-writing-skills,native_prefix_manifest,N/A,missing exact contract native-prefix-manifest.json
academic-writing-skills,native_prefix_archive,N/A,missing exact contract native-prefixes.tar.zst
academic-writing-skills,worktree_revision_manifest,N/A,missing exact contract worktree-revisions.json
academic-writing-skills,cutoff_untracked_disposition,N/A,missing exact contract cutoff-untracked-state.json
