project,vendor,operation,calls,share_all_calls,raw_matched_calls,duration_coverage,tool_runtime_sum_ms,tool_runtime_median_ms,tool_runtime_p95_ms,tool_runtime_p99_ms,tool_runtime_max_ms,model_gap_sum_ms,model_gap_median_ms,model_gap_p95_ms,model_gap_p99_ms,model_gap_max_ms,result_bytes,failed_calls,failure_rate,no_progress_calls
ActPlane,all,control,1095,0.006058,1095,1.000000,342715,16.000000,53.300000,554.480000,137359,87053953,8253.000000,55887.500000,122125.050000,62192444,39174,0,0.000000,0
ActPlane,all,delegate,459,0.002539,459,0.980392,28536340,64.000000,263151.650000,727856.530000,8046206,4157565,9257.000000,33481.250000,62430.980000,83316,881893,8,0.017429,131
ActPlane,all,mutate,10852,0.060034,10852,0.999816,3197825,42.000000,1225.000000,6042.010000,60175,179479633,8061.000000,46301.400000,111657.240000,29507629,3742995,269,0.024788,108
ActPlane,all,navigate,1415,0.007828,1415,1.000000,655621,65.000000,721.000000,8109.440000,60055,5335418,0.000000,17544.400000,52322.000000,109063,3730477,39,0.027562,35
ActPlane,all,other,38,0.000210,38,1.000000,17275,541.500000,930.000000,1028.230000,1036,227289,4726.000000,18552.800000,29884.080000,34318,11876,7,0.184211,0
ActPlane,all,read,19095,0.105635,19095,1.000000,17273294,61.000000,931.500000,30043.000000,424652,91660756,458.000000,16134.000000,38148.200000,7850800,106604857,216,0.011312,2012
ActPlane,all,search,6868,0.037994,6868,1.000000,2963235,70.000000,881.300000,6753.300000,55014,54184474,4112.500000,25409.900000,63898.440000,5941405,33678883,405,0.058969,862
ActPlane,all,shell,10775,0.059608,10775,0.999629,40227772,126.000000,30167.000000,30187.000000,2703425,67153754,4903.500000,19623.400000,35726.390000,1075534,21754021,536,0.049745,786
ActPlane,all,validate,2170,0.012005,2170,1.000000,6736930,1189.500000,12021.400000,30190.310000,58650,38399570,4079.000000,18172.850000,34257.880000,22384621,7510634,192,0.088479,54
ActPlane,all,vcs,3279,0.018140,3279,1.000000,4099311,101.000000,1062.600000,7900.900000,2675516,28146656,0.000000,18891.650000,80818.110000,3344037,11925515,37,0.011284,177
ActPlane,all,wait,8270,0.045750,8270,0.999274,285685118,30005.000000,60042.750000,265315.710000,1787834,49648617,4255.500000,11218.800000,24505.380000,3936140,13066347,212,0.025635,670
ActPlane,all,web,1922,0.010633,1922,0.993236,12713861,6501.000000,11488.600000,24669.280000,47901,3935708,0.000000,6621.000000,8724.760000,23147,4503431,31,0.016129,17
academic-writing-skills,all,control,5,0.000028,5,1.000000,114056,4.000000,91228.400000,109471.280000,114032,40984,13097.000000,15712.400000,15944.880000,16003,472,1,0.200000,0
academic-writing-skills,all,delegate,8,0.000044,8,1.000000,706725,128642.500000,151305.950000,152936.390000,153344,102355,8588.500000,34225.800000,36709.960000,37331,28324,1,0.125000,5
academic-writing-skills,all,mutate,423,0.002340,423,1.000000,378564,131.000000,3541.300000,8891.080000,21264,2991266,2885.000000,33180.000000,67675.320000,164357,87935,22,0.052009,1
academic-writing-skills,all,navigate,31,0.000171,31,1.000000,14118,41.000000,3406.000000,5423.300000,5441,98501,2836.000000,15669.800000,19305.360000,19722,63486,2,0.064516,2
academic-writing-skills,all,other,3,0.000017,3,1.000000,12,5.000000,5.000000,5.000000,5,14022,7011.000000,10853.100000,11194.620000,11280,126,0,0.000000,0
academic-writing-skills,all,read,290,0.001604,290,1.000000,96289,18.000000,1721.150000,5597.090000,12000,1363226,1236.000000,17702.000000,56304.480000,135995,2236472,9,0.031034,23
academic-writing-skills,all,search,92,0.000509,92,1.000000,40958,101.500000,1962.800000,4574.180000,4576,996190,7326.000000,52344.200000,64474.920000,78543,268779,4,0.043478,1
academic-writing-skills,all,shell,31,0.000171,31,1.000000,35843,1199.000000,4324.000000,5163.100000,5341,366215,5752.000000,47704.400000,98418.240000,114768,59638,16,0.516129,1
academic-writing-skills,all,vcs,58,0.000321,58,1.000000,15911,65.500000,1541.800000,3740.430000,5622,342077,5408.000000,23292.900000,63438.320000,88013,218944,0,0.000000,2
academic-writing-skills,all,web,7,0.000039,7,1.000000,85893,9509.000000,20801.400000,21776.280000,22020,23546,221.000000,9395.800000,9888.760000,10012,25291,2,0.285714,2
agentsight,all,control,935,0.005172,935,1.000000,28195020,17.000000,58.000000,4383.100000,26347546,18427017,6445.000000,43694.800000,111875.460000,4324859,48617,2,0.002139,0
agentsight,all,delegate,3186,0.017625,3186,0.999686,10568261,46.000000,4809.400000,107496.040000,593984,99837733,6933.000000,35223.500000,98187.900000,21678359,7114638,1,0.000314,141
agentsight,all,mutate,13278,0.073455,13278,1.000000,5265980,58.000000,1408.000000,10042.230000,60070,497736702,12136.500000,67672.850000,145299.770000,86242128,7138002,241,0.018150,202
agentsight,all,navigate,2051,0.011346,2051,1.000000,917344,93.000000,1229.000000,10037.000000,30234,23185446,4207.500000,21716.200000,75180.120000,4502699,9030861,69,0.033642,55
agentsight,all,other,35,0.000194,34,0.971429,34153,715.500000,2610.700000,3772.190000,3857,272009,6437.000000,19443.400000,23199.400000,24385,68872,1,0.028571,1
agentsight,all,read,28494,0.157631,28483,0.999614,10207020,95.000000,545.900000,5102.600000,300116,421892235,4073.000000,20011.350000,75050.210000,41067451,269515008,290,0.010178,2968
agentsight,all,search,12642,0.069936,12628,0.998893,8447372,108.000000,1486.950000,9978.840000,300319,138332474,5924.500000,30345.000000,82315.320000,6734688,116075482,576,0.045562,1241
agentsight,all,shell,16015,0.088596,16014,0.999625,58888149,533.000000,10385.800000,30192.000000,612504,213525755,5876.500000,25444.850000,61667.370000,48885059,299114732,700,0.043709,3140
agentsight,all,validate,3279,0.018140,3279,0.999695,13228066,1731.000000,13495.900000,30192.000000,433381,18072421,4270.500000,14985.250000,34536.550000,709564,12216904,377,0.114974,553
agentsight,all,vcs,8178,0.045241,8178,1.000000,5924930,94.000000,1400.150000,9660.230000,1978729,58781664,0.000000,19105.600000,82726.600000,2028788,31721755,123,0.015040,273
agentsight,all,wait,8517,0.047117,8517,0.999061,214088397,17917.000000,60020.000000,180002.920000,403437,64450996,3927.000000,15056.000000,29284.800000,13771826,9333318,143,0.016790,3142
agentsight,all,web,437,0.002418,437,0.997712,3958953,7385.000000,14987.750000,60007.000000,60008,1385651,0.000000,14120.250000,28028.000000,44503,1010130,127,0.290618,3
