project,wait_tool,calls,share_all_calls,no_progress_results,no_progress_rate,runtime_sum_ms,result_bytes,raw_consecutive_wait_family_bursts,raw_burst_length_median,raw_burst_length_p95,raw_structural_calls_saved_upper,qualified_same_handle_empty_poll_bursts,qualified_empty_poll_calls,qualified_burst_length_median,qualified_burst_length_p95,event_driven_calls_saved_upper,transparent_roundtrips_eliminated,note
ActPlane,__ALL_WAIT_TOOLS__,8270,0.045750,670,0.081016,285685118,13066347,1187,2.000000,12.000000,3915,39,92,2.000000,3.000000,53,53,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
ActPlane,send_input,23,0.000127,0,0.000000,785,1288,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
ActPlane,wait,349,0.001931,63,0.180516,12166196,2171527,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
ActPlane,wait_agent,162,0.000896,91,0.561728,10147165,117818,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
ActPlane,write_stdin,7736,0.042796,516,0.066701,263370972,10775714,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
agentsight,Monitor,2,0.000011,2,1.000000,87,424,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
agentsight,__ALL_WAIT_TOOLS__,8517,0.047117,3142,0.368909,214088397,9333318,1372,2.000000,5.000000,2485,725,1890,2.000000,4.000000,1165,1165,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
agentsight,read_thread_terminal,1,0.000006,0,0.000000,104,55,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
agentsight,send_input,39,0.000216,0,0.000000,11806,2188,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
agentsight,wait,3075,0.017011,219,0.071220,42920710,4244000,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
agentsight,wait_agent,3751,0.020751,2881,0.768062,127931291,698277,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
agentsight,write_stdin,1649,0.009122,40,0.024257,43224399,4388374,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
all,Monitor,9,0.000050,9,1.000000,8334,3424,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
all,__ALL_WAIT_TOOLS__,19920,0.110199,4291,0.215412,536078524,29073713,2943,2.000000,10.000000,8354,863,2319,2.000000,4.000000,1456,1456,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
all,read_thread_terminal,1,0.000006,0,0.000000,104,55,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
all,send_input,63,0.000349,0,0.000000,12638,3532,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
all,wait,4403,0.024358,661,0.150125,68768630,9145018,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
all,wait_agent,4012,0.022195,3058,0.762213,140469537,823428,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
all,write_stdin,11432,0.063243,563,0.049248,326819281,19098256,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
bpf-developer-tutorial,Monitor,1,0.000006,1,1.000000,3,1726,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
bpf-developer-tutorial,__ALL_WAIT_TOOLS__,57,0.000315,8,0.140351,362283,189023,4,2.000000,2.850000,5,1,2,2.000000,2.000000,1,1,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
bpf-developer-tutorial,wait,42,0.000232,4,0.095238,315453,144871,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
bpf-developer-tutorial,wait_agent,3,0.000017,3,1.000000,20030,125,0,0.000000,0.000000,0,0,0,0.000000,0.000000,0,0,"qualified upper retains one blocking await per consecutive same-tool, same-handle, passive, no-progress burst; raw structural upper is not actionable"
