project,pattern,occurrences,unique_calls_covered,share_all_calls,calls_per_occurrence_mean,calls_per_occurrence_median,calls_per_occurrence_p95,observed_serial_depth_mean,observed_serial_depth_median,observed_serial_depth_p95,work_over_depth_mean,strong_dependency_edges,parallel_candidate_edges,observed_read_content_in_edit_context_edges,same_exact_artifact_read_edit_proxy_edges,already_concurrent_edges,already_batched_disjoint_local_read_edges,sequential_disjoint_local_read_edges,unknown_dependency_edges,tool_runtime_sum_ms,model_gap_sum_ms
agentsight,edit_to_validation_cycle,1542,39182,0.216758,25.409857,7.000000,96.950000,4.354734,3.000000,11.950000,3.969559,9736,7830,417,671,7203,7,620,19403,169506751,618767505
agentsight,validation_retry_no_edit,1518,4098,0.022670,3.198946,2.000000,8.000000,1.152833,1.000000,2.000000,2.642863,284,1249,0,0,1212,0,37,1805,17282911,30653911
agentsight,poll_wait_burst,1372,3857,0.021337,2.811224,2.000000,5.000000,2.698251,2.000000,5.000000,1.081511,2338,147,0,0,147,0,0,0,117910715,13257352
ActPlane,exploratory_directory_roam,1200,11123,0.061533,9.269167,7.000000,23.000000,1.852500,2.000000,3.000000,5.238694,788,6297,0,0,4775,475,1047,2838,2567991,47943566
ActPlane,poll_wait_burst,1187,5102,0.028225,4.298231,2.000000,12.000000,4.206403,2.000000,12.000000,1.064641,3826,89,0,0,89,0,0,0,166215499,23427924
ActPlane,edit_to_validation_cycle,1045,11997,0.066368,11.480383,5.000000,44.000000,3.616268,2.000000,9.000000,2.600089,3141,2646,188,268,2518,10,118,4897,35673324,110360136
ActPlane,validation_retry_no_edit,1004,2885,0.015960,3.406375,2.000000,8.850000,1.191235,1.000000,2.000000,2.774443,275,714,0,0,686,1,27,1427,13652471,49772661
eunomia.dev,same_artifact_read_to_edit,817,1207,0.006677,2.000000,2.000000,2.000000,1.277846,1.000000,2.000000,1.722154,227,0,203,590,0,0,0,0,500493,14985154
eunomia.dev,repeat_read_same_target,725,1074,0.005941,2.000000,2.000000,2.000000,1.085517,1.000000,2.000000,1.914483,60,59,0,0,59,0,0,606,1446824,8544839
eunomia.dev,read_discovery_burst,722,3546,0.019617,4.911357,3.000000,15.000000,1.530471,1.000000,3.000000,3.152355,373,1505,0,0,1026,154,325,946,3716788,27673423
