project,previous_operation,next_operation,dependency_class,adjacent_edges,share_all_adjacent_edges
all,read,read,no_dynamic_result_dependency_concurrent,13235,0.076793
all,wait,wait,strong_control_dependency,8054,0.046732
all,mutate,mutate,strong_same_artifact_state_dependency,6930,0.040210
all,shell,shell,unknown_semantic_dependency,6596,0.038272
all,shell,wait,strong_control_dependency,6458,0.037471
all,read,read,likely_independent_sequential_local_reads,5132,0.029777
all,mutate,mutate,unknown_semantic_dependency,5062,0.029371
all,wait,shell,unknown_semantic_dependency,4687,0.027195
all,read,read,unknown_semantic_dependency,4554,0.026424
all,shell,shell,no_dynamic_result_dependency_concurrent,4017,0.023308
all,search,search,unknown_semantic_dependency,3716,0.021561
all,read,search,unknown_semantic_dependency,3604,0.020911
all,vcs,vcs,no_dynamic_result_dependency_concurrent,3107,0.018028
all,read,mutate,same_exact_artifact_read_edit_proxy,3086,0.017906
all,search,read,unknown_semantic_dependency,2920,0.016943
all,read,shell,unknown_semantic_dependency,2596,0.015063
all,wait,read,unknown_semantic_dependency,2562,0.014865
all,shell,read,unknown_semantic_dependency,2297,0.013328
all,search,read,no_dynamic_result_dependency_concurrent,2191,0.012713
all,read,search,no_dynamic_result_dependency_concurrent,2122,0.012312
all,mutate,shell,unknown_semantic_dependency,2025,0.011750
all,mutate,read,strong_same_artifact_state_dependency,1970,0.011430
all,read,mutate,unknown_semantic_dependency,1919,0.011135
all,search,read,strong_result_path_dependency,1896,0.011001
all,read,wait,unknown_semantic_dependency,1851,0.010740
all,read,read,strong_result_path_dependency,1806,0.010479
all,read,read,already_batched_disjoint_local_reads,1801,0.010450
all,shell,mutate,unknown_semantic_dependency,1732,0.010050
all,web,web,no_dynamic_result_dependency_concurrent,1665,0.009661
all,vcs,vcs,unknown_semantic_dependency,1531,0.008883
all,read,shell,no_dynamic_result_dependency_concurrent,1506,0.008738
all,mutate,search,unknown_semantic_dependency,1454,0.008437
all,search,mutate,unknown_semantic_dependency,1445,0.008384
all,shell,search,unknown_semantic_dependency,1413,0.008199
all,vcs,mutate,unknown_semantic_dependency,1368,0.007938
all,mutate,read,unknown_semantic_dependency,1361,0.007897
all,shell,read,no_dynamic_result_dependency_concurrent,1318,0.007647
all,search,search,no_dynamic_result_dependency_concurrent,1252,0.007264
all,mutate,validate,strong_workspace_state_dependency,1163,0.006748
all,wait,delegate,unknown_semantic_dependency,1153,0.006690
all,delegate,wait,strong_control_dependency,1152,0.006684
all,search,shell,unknown_semantic_dependency,1111,0.006446
all,vcs,read,unknown_semantic_dependency,1064,0.006174
all,web,web,unknown_semantic_dependency,1035,0.006005
all,read,mutate,observed_read_content_in_edit_context,987,0.005727
all,mutate,shell,strong_same_artifact_state_dependency,977,0.005669
all,shell,vcs,no_dynamic_result_dependency_concurrent,905,0.005251
all,mutate,search,strong_same_artifact_state_dependency,880,0.005106
all,validate,validate,no_dynamic_result_dependency_concurrent,857,0.004973
all,wait,search,unknown_semantic_dependency,852,0.004944
all,mutate,vcs,unknown_semantic_dependency,844,0.004897
all,validate,validate,unknown_semantic_dependency,819,0.004752
all,vcs,shell,unknown_semantic_dependency,809,0.004694
all,read,vcs,no_dynamic_result_dependency_concurrent,808,0.004688
all,search,search,strong_result_path_dependency,782,0.004537
all,vcs,search,unknown_semantic_dependency,737,0.004276
all,search,vcs,no_dynamic_result_dependency_concurrent,719,0.004172
all,wait,mutate,unknown_semantic_dependency,715,0.004149
all,search,shell,no_dynamic_result_dependency_concurrent,711,0.004125
all,read,navigate,unknown_semantic_dependency,679,0.003940
all,validate,shell,unknown_semantic_dependency,654,0.003795
all,vcs,read,no_dynamic_result_dependency_concurrent,652,0.003783
all,read,vcs,unknown_semantic_dependency,652,0.003783
all,shell,search,no_dynamic_result_dependency_concurrent,647,0.003754
all,vcs,search,no_dynamic_result_dependency_concurrent,628,0.003644
all,search,wait,unknown_semantic_dependency,624,0.003621
all,shell,vcs,unknown_semantic_dependency,620,0.003597
all,delegate,delegate,unknown_semantic_dependency,618,0.003586
all,navigate,read,unknown_semantic_dependency,611,0.003545
all,shell,validate,no_dynamic_result_dependency_concurrent,571,0.003313
all,vcs,shell,no_dynamic_result_dependency_concurrent,545,0.003162
all,search,mutate,strong_result_path_dependency,537,0.003116
all,mutate,delegate,unknown_semantic_dependency,518,0.003006
all,validate,mutate,unknown_semantic_dependency,512,0.002971
all,shell,validate,unknown_semantic_dependency,507,0.002942
all,control,read,unknown_semantic_dependency,477,0.002768
all,mutate,wait,unknown_semantic_dependency,468,0.002715
all,read,search,strong_result_path_dependency,456,0.002646
all,delegate,read,unknown_semantic_dependency,440,0.002553
all,validate,read,unknown_semantic_dependency,436,0.002530
all,validate,wait,unknown_semantic_dependency,425,0.002466
all,navigate,read,no_dynamic_result_dependency_concurrent,418,0.002425
all,search,vcs,unknown_semantic_dependency,398,0.002309
all,shell,shell,strong_retry_feedback_dependency,393,0.002280
all,read,shell,strong_result_path_dependency,393,0.002280
all,wait,vcs,unknown_semantic_dependency,392,0.002274
all,wait,read,no_dynamic_result_dependency_concurrent,376,0.002182
all,navigate,read,strong_result_path_dependency,361,0.002095
all,read,navigate,no_dynamic_result_dependency_concurrent,361,0.002095
all,delegate,shell,unknown_semantic_dependency,356,0.002066
all,validate,search,unknown_semantic_dependency,348,0.002019
all,delegate,search,unknown_semantic_dependency,333,0.001932
all,read,delegate,unknown_semantic_dependency,329,0.001909
all,shell,delegate,unknown_semantic_dependency,324,0.001880
all,validate,vcs,no_dynamic_result_dependency_concurrent,321,0.001863
all,read,control,unknown_semantic_dependency,308,0.001787
all,search,navigate,no_dynamic_result_dependency_concurrent,307,0.001781
all,wait,wait,no_dynamic_result_dependency_concurrent,300,0.001741
all,mutate,vcs,strong_same_artifact_state_dependency,300,0.001741
all,vcs,validate,unknown_semantic_dependency,299,0.001735
all,read,validate,unknown_semantic_dependency,297,0.001723
all,vcs,wait,unknown_semantic_dependency,282,0.001636
all,vcs,navigate,no_dynamic_result_dependency_concurrent,277,0.001607
all,validate,vcs,unknown_semantic_dependency,275,0.001596
all,shell,navigate,unknown_semantic_dependency,271,0.001572
all,navigate,shell,unknown_semantic_dependency,264,0.001532
all,control,shell,unknown_semantic_dependency,256,0.001485
all,search,validate,unknown_semantic_dependency,249,0.001445
all,navigate,navigate,no_dynamic_result_dependency_concurrent,248,0.001439
all,validate,shell,no_dynamic_result_dependency_concurrent,242,0.001404
all,control,web,unknown_semantic_dependency,242,0.001404
all,delegate,vcs,unknown_semantic_dependency,239,0.001387
all,navigate,vcs,no_dynamic_result_dependency_concurrent,230,0.001335
all,search,navigate,unknown_semantic_dependency,225,0.001306
all,control,control,unknown_semantic_dependency,224,0.001300
all,vcs,control,unknown_semantic_dependency,221,0.001282
all,read,read,strong_retry_feedback_dependency,220,0.001277
all,search,shell,strong_result_path_dependency,219,0.001271
all,navigate,search,no_dynamic_result_dependency_concurrent,210,0.001218
all,search,delegate,unknown_semantic_dependency,207,0.001201
all,read,mutate,strong_result_path_dependency,201,0.001166
all,vcs,delegate,unknown_semantic_dependency,200,0.001160
all,wait,validate,unknown_semantic_dependency,198,0.001149
all,control,vcs,unknown_semantic_dependency,193,0.001120
all,shell,navigate,no_dynamic_result_dependency_concurrent,193,0.001120
all,navigate,search,unknown_semantic_dependency,193,0.001120
all,mutate,control,unknown_semantic_dependency,189,0.001097
all,navigate,shell,no_dynamic_result_dependency_concurrent,188,0.001091
all,shell,control,unknown_semantic_dependency,186,0.001079
all,navigate,mutate,unknown_semantic_dependency,179,0.001039
all,control,mutate,unknown_semantic_dependency,174,0.001010
all,navigate,navigate,unknown_semantic_dependency,171,0.000992
all,delegate,mutate,unknown_semantic_dependency,170,0.000986
all,wait,navigate,unknown_semantic_dependency,154,0.000894
all,control,search,unknown_semantic_dependency,151,0.000876
all,wait,shell,no_dynamic_result_dependency_concurrent,145,0.000841
all,search,control,unknown_semantic_dependency,142,0.000824
all,search,search,strong_retry_feedback_dependency,133,0.000772
all,search,vcs,strong_result_path_dependency,131,0.000760
all,mutate,navigate,unknown_semantic_dependency,127,0.000737
all,validate,validate,strong_retry_feedback_dependency,125,0.000725
all,vcs,validate,no_dynamic_result_dependency_concurrent,124,0.000719
all,mutate,validate,strong_same_artifact_state_dependency,121,0.000702
all,wait,control,unknown_semantic_dependency,117,0.000679
all,validate,search,no_dynamic_result_dependency_concurrent,116,0.000673
all,mutate,mutate,no_dynamic_result_dependency_concurrent,110,0.000638
all,navigate,wait,unknown_semantic_dependency,108,0.000627
all,vcs,navigate,unknown_semantic_dependency,108,0.000627
all,web,web,strong_retry_feedback_dependency,107,0.000621
all,mutate,vcs,no_dynamic_result_dependency_concurrent,106,0.000615
