n,pattern,occurrences,unique_calls_covered,share_all_calls,occurrence_call_slots,observed_serial_depth_mean,strong_dependency_edge_share,parallel_candidate_edge_share,already_concurrent_edge_share,already_batched_disjoint_local_read_edge_share,sequential_disjoint_local_read_edge_share,unknown_dependency_edge_share
4,explore→explore→read→read,1113,4452,0.024629,4452,1.742138,0.161426,0.471099,0.369572,0.023061,0.078467,0.367475
4,read→read→edit→edit,1037,4148,0.022947,4148,1.822565,0.225008,0.221794,0.152041,0.026037,0.043716,0.553198
4,read→read→explore→explore,1017,4068,0.022504,4068,1.294002,0.100295,0.438873,0.331695,0.026876,0.080302,0.460833
4,vcs→vcs→vcs→vcs,919,2296,0.012702,3676,1.033732,0.011607,0.561843,0.561843,0.000000,0.000000,0.426551
4,read→explore→explore→read,800,3172,0.017548,3200,1.717500,0.186667,0.257500,0.257500,0.000000,0.000000,0.555833
4,read→read→read→shell,784,3136,0.017349,3136,1.334184,0.097364,0.534439,0.386905,0.002976,0.144558,0.368197
4,explore→explore→explore→read,761,3044,0.016840,3044,1.641261,0.169514,0.225142,0.225142,0.000000,0.000000,0.605344
4,read→explore→explore→explore,724,2896,0.016021,2896,1.366022,0.124309,0.190608,0.190608,0.000000,0.000000,0.685083
4,explore→read→read→explore,718,2835,0.015683,2872,1.629526,0.144847,0.428969,0.327298,0.013928,0.087744,0.426184
4,explore→read→explore→read,691,2590,0.014328,2764,1.803184,0.247950,0.203570,0.203570,0.000000,0.000000,0.548480
4,read→shell→shell→shell,684,2736,0.015136,2736,1.171053,0.058480,0.304581,0.304581,0.000000,0.000000,0.636940
