project,episodes,calls,observed_strong_dependency_depth_sum,work_over_depth_aggregate,episode_parallelism_median,episode_parallelism_p95,parallel_candidate_adjacent_edges,parallel_candidate_edge_share,already_concurrent_adjacent_edges,already_concurrent_edge_share,already_batched_disjoint_adjacent_edges,already_batched_disjoint_edge_share,remaining_sequential_disjoint_adjacent_edges,remaining_sequential_disjoint_edge_share,strong_dependency_adjacent_edges,strong_dependency_edge_share,interpretation
ActPlane,4109,66238,10775,6.147378,2.000000,13.750000,20501,0.329975,18449,0.296947,678,0.010913,1374,0.022115,13824,0.222505,logical optimistic bound under observed/strong dependency proxies; already-concurrent edges are not remaining scheduling opportunity and unknown semantic edges are omitted
academic-writing-skills,135,948,346,2.739884,2.000000,7.650000,177,0.217712,36,0.044280,107,0.131611,34,0.041820,266,0.327183,logical optimistic bound under observed/strong dependency proxies; already-concurrent edges are not remaining scheduling opportunity and unknown semantic edges are omitted
agentsight,3144,97047,11730,8.273402,3.666667,17.489286,25445,0.270971,21534,0.229322,601,0.006400,3310,0.035249,18660,0.198716,logical optimistic bound under observed/strong dependency proxies; already-concurrent edges are not remaining scheduling opportunity and unknown semantic edges are omitted
agentskill-observability-paper,174,991,396,2.502525,1.666667,7.675000,122,0.149327,51,0.062424,49,0.059976,22,0.026928,236,0.288862,logical optimistic bound under observed/strong dependency proxies; already-concurrent edges are not remaining scheduling opportunity and unknown semantic edges are omitted
all,8418,180764,26089,6.928744,2.522727,15.333333,49612,0.287863,42679,0.247636,1801,0.010450,5132,0.029777,37466,0.217388,logical optimistic bound under observed/strong dependency proxies; already-concurrent edges are not remaining scheduling opportunity and unknown semantic edges are omitted
bpf-developer-tutorial,152,1664,331,5.027190,3.000000,13.000000,514,0.339947,235,0.155423,212,0.140212,67,0.044312,312,0.206349,logical optimistic bound under observed/strong dependency proxies; already-concurrent edges are not remaining scheduling opportunity and unknown semantic edges are omitted
eunomia.dev,704,13876,2511,5.526085,3.000000,16.000000,2853,0.216596,2374,0.180231,154,0.011691,325,0.024674,4168,0.316429,logical optimistic bound under observed/strong dependency proxies; already-concurrent edges are not remaining scheduling opportunity and unknown semantic edges are omitted
