project,reuse_class,opportunities,external_executions_avoidable_upper,external_execution_avoid_rate_upper,transparent_model_roundtrips_eliminated,fused_model_roundtrips_eliminated_upper,result_bytes_avoidable,identical_output_repeats,observed_identical_output_reuse_lower,incremental_bytes_upper_saved,full_result_bytes,changed_payload_proxy_bytes,note
ActPlane,exact_navigate_invocation_after_observed_mutation,64,0,0.000000,0,0,0,1,1,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
ActPlane,exact_navigate_invocation_no_observed_mutation,15,15,1.000000,0,15,14726,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
ActPlane,exact_other_invocation_after_observed_mutation,8,0,0.000000,0,0,0,1,1,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
ActPlane,exact_read_invocation_after_observed_mutation,1215,0,0.000000,0,0,0,88,88,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
ActPlane,exact_read_invocation_no_observed_mutation,1602,1602,1.000000,0,1602,2958593,30,30,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
ActPlane,exact_search_invocation_after_observed_mutation,172,0,0.000000,0,0,0,10,10,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
ActPlane,exact_search_invocation_no_observed_mutation,292,292,1.000000,0,292,246494,9,9,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
ActPlane,exact_shell_invocation_after_observed_mutation,1578,0,0.000000,0,0,0,11,11,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
ActPlane,exact_shell_invocation_no_observed_mutation,1951,1951,1.000000,0,1951,1355284,31,31,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
ActPlane,exact_validate_invocation_after_observed_mutation,815,0,0.000000,0,0,0,6,6,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
ActPlane,exact_validate_invocation_no_observed_mutation,17,17,1.000000,0,17,48787,0,0,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
ActPlane,exact_vcs_invocation_after_observed_mutation,896,0,0.000000,0,0,0,1,1,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
ActPlane,exact_vcs_invocation_no_observed_mutation,168,168,1.000000,0,168,79664,2,2,0,0,0,execution/byte savings are conditional upper bounds requiring a versioned provider; identical-output repeats are the observed reuse lower bound
