project,vendor,shell_calls,compound_shell_calls,compound_share,estimated_shell_primitives,primitives_per_call_mean,primitives_per_call_median,primitives_per_call_p95,runtime_sum_ms,result_bytes,note
ActPlane,claude,5828,2147,0.368394,36439,6.252402,1.000000,28.000000,11520219,7290715,lexical separator count; quoted separators may overcount and pipelines are not split
ActPlane,codex,35166,10253,0.291560,124852,3.550361,1.000000,13.000000,62072816,139725099,lexical separator count; quoted separators may overcount and pipelines are not split
academic-writing-skills,claude,300,212,0.706667,1568,5.226667,3.000000,16.000000,221497,822128,lexical separator count; quoted separators may overcount and pipelines are not split
agentsight,claude,5948,1702,0.286147,16912,2.843309,1.000000,8.000000,15953797,6686457,lexical separator count; quoted separators may overcount and pipelines are not split
agentsight,codex,67551,32227,0.477077,288319,4.268168,1.000000,14.000000,86188101,706395506,lexical separator count; quoted separators may overcount and pipelines are not split
agentsight,gemini,2,0,0.000000,2,1.000000,1.000000,1.000000,0,0,lexical separator count; quoted separators may overcount and pipelines are not split
agentskill-observability-paper,claude,242,59,0.243802,396,1.636364,1.000000,5.000000,511853,164615,lexical separator count; quoted separators may overcount and pipelines are not split
all,claude,13970,4822,0.345168,61339,4.390766,1.000000,15.000000,42282721,16905045,lexical separator count; quoted separators may overcount and pipelines are not split
all,codex,110037,46242,0.420240,446577,4.058426,1.000000,14.000000,160667099,883888882,lexical separator count; quoted separators may overcount and pipelines are not split
all,gemini,2,0,0.000000,2,1.000000,1.000000,1.000000,0,0,lexical separator count; quoted separators may overcount and pipelines are not split
bpf-developer-tutorial,claude,349,50,0.143266,477,1.366762,1.000000,3.000000,8136939,391773,lexical separator count; quoted separators may overcount and pipelines are not split
bpf-developer-tutorial,codex,506,150,0.296443,1605,3.171937,1.000000,8.750000,621744,2127460,lexical separator count; quoted separators may overcount and pipelines are not split
eunomia.dev,claude,1303,652,0.500384,5547,4.257099,2.000000,16.000000,5938416,1549357,lexical separator count; quoted separators may overcount and pipelines are not split
eunomia.dev,codex,6814,3612,0.530085,31801,4.667009,2.000000,16.000000,11784438,35640817,lexical separator count; quoted separators may overcount and pipelines are not split
