project,mutation_validation_cycles,tests_failed,test_failure_rate,tests_with_timing,test_runtime_sum_ms,intervening_calls_after_last_edit_sum,cycles_with_overlap_opportunity,perfect_command_runtime_hidden_ms,last_test_command_predictor_hits,last_test_command_predictor_hit_rate,predictor_weighted_runtime_hidden_ms,eager_after_every_edit_executions,eager_after_every_edit_wasted_executions,eager_waste_rate,eager_wasted_runtime_estimate_ms,transparent_roundtrips_eliminated,fused_roundtrips_eliminated_upper
all,2738,320,0.116874,2738,8795370,5143,2730,6875855,718,0.262235,1564511,13944,11206,0.803643,27227345,0,718
ActPlane,1045,112,0.107177,1045,2517892,1651,1041,1946144,307,0.293780,589705,3950,2905,0.735443,6442023,0,307
agentsight,1542,199,0.129053,1542,5644401,3206,1538,4378006,374,0.242542,881966,9300,7758,0.834194,18420191,0,374
agentskill-observability-paper,35,0,0.000000,35,141457,1,35,138636,18,0.514286,71701,151,116,0.768212,471374,0,18
eunomia.dev,116,9,0.077586,116,491620,285,116,413069,19,0.163793,21139,543,427,0.786372,1893757,0,19
