project,projected_calls,native_sessions,candidate_sessions,parsed_sessions,source_events,file_actions,start_ms,end_ms,projected_json,share_all_calls,native_raw_matched_calls,native_duration_calls,native_result_bytes,prompt_episodes
ActPlane,66238,139,604,602,195535,25499,1779512196435,1784364131461,docs/tmp/build-and-evaluate/rq1-rq4-recompute-final/rq1-raw/events/ActPlane.json,0.366434,66238,66204,207450103,4109
academic-writing-skills,948,17,27,26,2920,478,1781367137782,1784170767863,docs/tmp/build-and-evaluate/rq1-rq4-recompute-final/rq1-raw/events/academic-writing-skills.json,0.005244,948,948,2989467,135
agentsight,97047,301,1401,1397,859187,39105,1772761744423,1784708567949,docs/tmp/build-and-evaluate/rq1-rq4-recompute-final/rq1-raw/events/agentsight.json,0.536871,97020,97004,762388319,3144
agentskill-observability-paper,991,8,62,62,4871,464,1783829815232,1783842131999,docs/tmp/build-and-evaluate/rq1-rq4-recompute-final/rq1-raw/events/agentskill-observability-paper.json,0.005482,991,991,3095772,174
bpf-developer-tutorial,1664,35,61,60,4054,880,1768125090460,1784695567024,docs/tmp/build-and-evaluate/rq1-rq4-recompute-final/rq1-raw/events/bpf-developer-tutorial.json,0.009205,1647,1647,6880437,152
eunomia.dev,13876,51,148,148,27523,3496,1772828580824,1784708509839,docs/tmp/build-and-evaluate/rq1-rq4-recompute-final/rq1-raw/events/eunomia-dev.json,0.076763,13876,13871,55310067,704
all,180764,551,2303,2295,1094090,69922,1768125090460,1784708567949,six uncompressed .json files; .json.gz copies excluded,1.000000,180720,180665,1038114165,8418
