project,revision,candidate_sessions,parsed_sessions,included_sessions,attributed_sessions,worktrees,observation_span_ms,cutoff_ms,source_events,tool_actions,attributed_tool_actions,file_actions,confirmed_mutations,recognized_successful_validations,introduced_eligible,introduced_persisted,introduced_unknown_final,reuse_eligible,reuse_observed,reuse_competing,reuse_censored,validation_eligible,validation_observed,validation_competing,validation_censored,conjunction_eligible,conjunction_observed,qualified_longitudinal,qualified_validation
agentsight,6fb9b059846a1816a78670dd6a56735ab5315db9,1444,1397,1363,1139,3,11946823526,1784708569241,1450267,126476,96670,65658,6482,2065,983,939,0,6118,5558,11,549,6118,2077,3980,61,983,336,true,true
ActPlane,50a1619fae1c13553c13ea032f1dba67e7046879,603,539,524,524,2,4851935026,1784708569241,194132,65699,65473,36194,5770,1493,50,3,0,5630,5476,13,141,5630,873,4754,3,50,1,true,true
bpf-developer-tutorial,b396ede70048133077b6e5a905dd4e47f3ea5f5d,68,61,58,58,4,16581587648,1784708569241,4308,1865,1865,1206,283,0,0,0,0,282,264,0,18,282,0,251,31,0,0,true,false
eunomia.dev,62410ec4537956af0fd46fb71696e4c859a33bc1,49,49,48,48,2,11879929015,1784708569241,17679,10560,10193,3420,170,6,10,4,0,157,141,4,12,157,32,110,15,10,0,true,true
agentskill-observability-paper,f89a689bf3629abe60833357a5ad8493e03ddbe0,36,36,36,36,1,12316767,1784708569241,2849,991,991,470,196,0,0,0,0,196,176,0,20,196,0,175,21,0,0,true,false
academic-writing-skills,33a969596acbf74e0ca7e8c0f4589257c14c9a7a,21,20,20,20,1,2803630081,1784708569241,1975,658,658,606,251,0,0,0,0,248,239,1,8,248,0,229,19,0,0,true,false
