project,artifact_id,worktree_id,birth_state,lineage_state,first_path,final_path,first_event_index,last_event_index,first_ts_ms,last_ts_ms,first_session,last_session,session_count,reads,mutations,renames,deletes,closed_reason,final_exists,final_tracked,final_state_known,introduced_eligible,content_durability
agentsight,agentsight:a00000001,e58fce112c6e,left_censored_existing,known,Cargo.toml,Cargo.toml,0,110909,1772761744423,1784186526252,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904,codex:rollout-2026-07-09T19-10-24-019f49ca-54e7-7a91-82e7-a52b53cfd456,13,22,0,0,0,,false,false,true,false,unknown
agentsight,agentsight:a00000002,e58fce112c6e,left_censored_existing,known,package.json,package.json,0,109930,1772761744423,1784175412714,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904,codex:rollout-2026-07-09T19-10-24-019f49ca-54e7-7a91-82e7-a52b53cfd456,7,7,0,0,0,,false,false,true,false,unknown
agentsight,agentsight:a00000003,e58fce112c6e,left_censored_existing,known,pyproject.toml,pyproject.toml,0,105042,1772761744423,1784117720245,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904,codex:rollout-2026-07-15T05-14-29-019f65b3-2d8f-7b93-91ac-f56321772708,4,4,0,0,0,,false,false,true,false,unknown
agentsight,agentsight:a00000004,e58fce112c6e,left_censored_existing,known,docs/proxy,docs/proxy,4,4,1772761756095,1772761756095,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904,1,1,0,0,0,,false,false,true,false,unknown
agentsight,agentsight:a00000005,e58fce112c6e,left_censored_existing,known,bpf/sslsniff.c,bpf/sslsniff.c,5,113598,1772761756264,1784255258583,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904,codex:rollout-2026-07-16T19-23-08-019f6de2-7f99-7431-bea2-dea5d964ee49,21,125,11,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000006,e58fce112c6e,left_censored_existing,known,collector/src/main.rs,collector/src/main.rs,5,117227,1772761756264,1784507803765,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904,codex:rollout-2026-07-19T17-34-32-019f7cf2-28f8-78f2-bde8-d939b58252e2,132,885,39,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000007,e58fce112c6e,left_censored_existing,known,frontend/src/app/page.tsx,frontend/src/app/page.tsx,5,106185,1772761756264,1784121427728,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904,codex:rollout-2026-07-15T06-15-32-019f65eb-130b-7661-83aa-ef63fe374405,29,137,2,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000008,e58fce112c6e,left_censored_existing,known,script/opentelemetry_example.py,script/opentelemetry_example.py,5,5,1772761756264,1772761756264,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904,1,1,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000009,e58fce112c6e,left_censored_existing,known,bpf/test_process_filter.c,bpf/test_process_filter.c,7,35883,1772761794853,1781853886833,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904,codex:rollout-2026-06-19T00-21-41-019edec1-c429-7713-965d-1adcb6149ccf,4,8,0,0,0,,true,true,true,false,unknown
agentsight,agentsight:a00000010,e58fce112c6e,left_censored_existing,known,bpf/test_process_utils.c,bpf/test_process_utils.c,8,5978,1772761794856,1780471108153,codex:rollout-2026-03-05T17-48-25-019cc0d4-edae-7e81-92e2-239691fed904,codex:rollout-2026-06-02T16-25-21-019e8aa7-edc0-7671-9a7e-d3c47990d3c5,2,3,0,0,0,,true,true,true,false,unknown
