dimension,raw_tag,active_display_tag,active_source,canonical_tag,governance_action,governance_reasons,requires_review,is_long_tail,support,candidate_display_tag,candidate_source,candidate_state,promotion_label,promotion_final_source,label_state,raw_drilldown_required,map_update_allowed
llm,abi,abi,raw_preserved,abi,keep_rare_distinct,rare_distinct_by_current_profile,False,True,3,,,none,,,,True,False
llm,ablate,ablate,raw_preserved,ablate,keep_rare_distinct,rare_distinct_by_current_profile,False,True,1,,,none,,,,True,False
llm,ablation,ablation,raw_preserved,ablation,keep_rare_distinct,rare_distinct_by_current_profile,False,True,1,,,none,,,,True,False
llm,abstract,abstract,raw_preserved,abstract,keep_rare_distinct,rare_distinct_by_current_profile,False,True,5,,,none,,,,True,False
llm,abstraction,abstraction,raw_preserved,abstraction,keep_rare_distinct,rare_distinct_by_current_profile,False,True,1,,,none,,,,True,False
llm,activate,activate,raw_preserved,activate,keep_rare_distinct,rare_distinct_by_current_profile,False,True,1,,,none,,,,True,False
llm,actplaned,actplaned,raw_preserved,actplaned,keep_rare_distinct,rare_distinct_by_current_profile,False,True,1,,,none,,,,True,False
llm,adapter,adapter,raw_preserved,adapter,keep_rare_distinct,rare_distinct_by_current_profile,False,True,1,,,none,,,,True,False
llm,add,add,raw_preserved,add,keep_rare_distinct,rare_distinct_by_current_profile,False,True,3,,,none,,,,True,False
llm,addcwd,addcwd,raw_preserved,addcwd,keep_rare_distinct,rare_distinct_by_current_profile,False,True,1,,,none,,,,True,False
llm,addendpoint,addendpoint,raw_preserved,addendpoint,keep_rare_distinct,rare_distinct_by_current_profile,False,True,1,,,none,,,,True,False
llm,addfilter,addfilter,raw_preserved,addfilter,keep_rare_distinct,rare_distinct_by_current_profile,False,True,1,,,none,,,,True,False
llm,addsynthetic,addsynthetic,raw_preserved,addsynthetic,keep_rare_distinct,rare_distinct_by_current_profile,False,True,1,,,none,,,,True,False
llm,adjudicate,adjudicate,raw_preserved,adjudicate,keep_rare_distinct,rare_distinct_by_current_profile,False,True,3,,,none,,,,True,False
