project,observed_artifacts,mutated_artifacts,zero_episode_artifacts,mutation_episodes,raw_mutation_rows,repeat_episodes,cross_session_repeat_episodes,repeat_rename_episodes,repeat_delete_episodes,repeat_episode_fraction,top_10pct_episode_share,max_episode_load,observation_span_days,birth_confirmed_create,birth_left_censored_existing,birth_unknown_create_status,birth_unknown_rename_source,qualified_curve
agentsight,4255,1625,2630,6482,6482,4857,386,4,18,0.7493057698241283,0.6850509102128972,1085,49.573784386574076,983,2862,404,6,True
ActPlane,2149,471,1678,5768,5770,5297,507,14,18,0.9183425797503467,0.7592059639389737,558,55.46730609953703,50,1760,332,7,True
bpf-developer-tutorial,232,32,200,283,283,251,36,0,0,0.8869257950530035,0.4204946996466431,39,191.78686385416665,0,216,16,0,True
eunomia.dev,362,48,314,170,170,122,1,0,6,0.7176470588235294,0.4188235294117647,20,61.067930902777775,10,310,38,4,True
agentskill-observability-paper,25,21,4,196,196,175,23,0,0,0.8928571428571429,0.8668367346938776,151,0.13987699074074075,0,25,0,0,True
academic-writing-skills,131,22,109,251,251,229,17,0,1,0.9123505976095617,0.5593625498007968,68,32.44783724537037,0,131,0,0,True
