source,path,status,sha256
generator script,script/operation_field_suitability_eval.py,tracked_dirty_allowed,656f7348e837806df3f206ef79065db56770438dcb8490688627a1516f57fe97
R366 mechanism report,docs/visexp/out/operation-field-derivation-mechanism-r366/field-derivation-mechanism-report.json,tracked_clean,c29010e8f008498962dccf5c5494ed739a19020935739eb66db358e76afeb870
R366 mechanism rows,docs/visexp/out/operation-field-derivation-mechanism-r366/mechanism-rows.csv,tracked_clean,29e1549340686ad9d159045fc22ef80aeff7d3fee6a94abdb537988c7cbcf5e9
R366 boundary family summary,docs/visexp/out/operation-field-derivation-mechanism-r366/boundary-family-summary.csv,tracked_clean,78e15a5001f7e5c6c2e5c0028381f167d1c645f3ec4aba6722037b4598fb8483
R325 rank feature findings,docs/visexp/out/operation-rank-feature-ablation-r325/rank-feature-findings.csv,tracked_clean,e00b81affdb4cc23f03d891947c9169188feb031b7437004c87068b476eecb3d
R358 boundary profile patch metrics,docs/visexp/out/operation-boundary-profile-patch-r358/policy-metrics.csv,tracked_clean,18bb032c0e0a9f2900b229d767e516eaad3f98189d65c98ae24a1178e176356d
evaluation ledger,docs/evaluation.md,tracked_dirty_allowed,a6ed27e5e78b10186d257369d94af453e9299623ecfc76b98e750c8f25f97f73
design doc,docs/design.md,tracked_dirty_allowed,2e432b3f7b50c9a8baee9f62a91ce78ca8aa4396ca4fa67c3d1066d149292720
implementation doc,docs/implementation.md,tracked_dirty_allowed,1bca796c9b25ec7ad2478800efcc8df3852fc4541ea6431d8c20551b5aca0dbb
Chinese paper,docs/visexp/paper/main.tex,tracked_dirty_allowed,7e13cb8a4d012ae970e8f67f6baa89b4415de3f44bd4ad0bd03d69115f4b438e
English paper,docs/agentpprof-paper/main.tex,tracked_clean,5d287888e2f724b4e2b82fdb1d3c26655658f3fcfb16f4aeb836097afbaabd6b
