project,source_stream_id,source_call_id,source_kind,files
agentsight,1b3419320d900b6a,call_KgfU6fK63F1AdKu1aBJk7Twm,read,SKILL.md
agentsight,1b3419320d900b6a,call_XIqwElk0F8MeIuiu9PQvh4Nt,read,SKILL.md
agentsight,1b3419320d900b6a,call_GENZ6OZI3LjlA72GfQn6JCrO,read,SKILL.md
agentsight,1b3419320d900b6a,call_4ViGgUQInEnzKZiyxnICvOLv,read,SKILL.md
agentsight,1b3419320d900b6a,call_6hin6Xef43z65k5vHv7NHhNj,read,SKILL.md
agentsight,1b3419320d900b6a,call_qlIW0dfSp1a1CGHcaJND8CHr,read,SKILL.md
agentsight,1b3419320d900b6a,call_ikgng7APZlIK6217LcHP5AqF,read,SKILL.md
agentsight,1b3419320d900b6a,call_AX5aiFdU2q4fp2t7iVEMQ81i,mutation,SKILL.md
agentsight,1b3419320d900b6a,call_XRQPLKlOY02vuloRGcRB8hlh,mutation,SKILL.md
agentsight,1b3419320d900b6a,call_KjhcVVn5DBivrDQQRK49reX0,mutation,SKILL.md
agentsight,1b3419320d900b6a,call_tAPuv7oDUnf1w5A49GoFYqjT,mutation,SKILL.md
agentsight,1b3419320d900b6a,call_HDaj4GUbUZfgI1PLRA4HpWQV,read,SKILL.md
agentsight,1b3419320d900b6a,call_Tb0pNrMgLdVFnqTAUHBL3akD,read,SKILL.md
agentsight,1b3419320d900b6a,call_5OSGK4y1Fxpw55GgElMOZpck,read,SKILL.md
agentsight,1b3419320d900b6a,call_J0hDxhkjutj6IgqlFuei930y,mutation,SKILL.md
agentsight,1b3419320d900b6a,call_ene2rNQMcFsX09TIeRHHrrSc,mutation,SKILL.md
agentsight,1b3419320d900b6a,call_EgRbJa46jptsoblbZP5joXVZ,read,SKILL.md
agentsight,1b3419320d900b6a,call_iwouef07aO1LEcqYd64kaVjh,read,SKILL.md
agentsight,1b3419320d900b6a,call_gZtmiETQzN9hkswhE4W9L9XW,read,SKILL.md
agentsight,1b3419320d900b6a,call_gyZTUyYYMYUw7mkdlQ9CELfF,mutation,SKILL.md
agentsight,1b3419320d900b6a,call_USips6DyMhQdWhffVY6ol076,mutation,SKILL.md
agentsight,1b3419320d900b6a,call_NFxeoKIpvLgeutwHwL5QOHuh,mutation,SKILL.md
ActPlane,8bac12f6a1ae90c6,toolu_01BMj8ZZ85k3Cf6dGowQMhPd,read,CLAUDE.md
ActPlane,8bac12f6a1ae90c6,toolu_01AWmUJv6MZrPyxpgCD12i7X,read,CLAUDE.md
ActPlane,8bac12f6a1ae90c6,toolu_01YWNYdsx3Tr84hefUQ8GUtF,read,CLAUDE.md
agentsight,53f9e28a61793310,call_XgrfxE4iiOQgbudsQzXeOgTY,read,SKILL.md
agentsight,21bef6a8051cc05e,call_Y0XUczeALCrf2UVKfuh246zr,read,SKILL.md
agentsight,aec2e876ba123cc9,call_kaOF6TbDSJc2UCdUDgxND68g,read,SKILL.md
ActPlane,1256e651261c5733,toolu_01J3FarzijDD949ge7z77yu2,read,AGENTS.md
ActPlane,1256e651261c5733,toolu_012ZB3iQxMXzwwuPWxT6NXk8,read,AGENTS.md
agentsight,23a433d7b5c5ad5f,call_ErsWKFwejyfisdjcXs9Bust0,read,SKILL.md
ActPlane,9cdea1c5569713d0,toolu_01Lyw7tQq14iCcUq6SXiJ34t,read,AGENTS.md
ActPlane,9cdea1c5569713d0,toolu_015gdfpkzVRwtciuspTdNeBU,read,AGENTS.md
ActPlane,9cdea1c5569713d0,toolu_01WXcfLhVqawmTd7qzomdPCa,read,AGENTS.md
ActPlane,9cdea1c5569713d0,toolu_017KRPr2gK2qWTv1kH2tNmWN,read,AGENTS.md
agentsight,dec7226c8bb6612f,call_yJp7fQF4HttqoLOrl5VA0Bxw,read,SKILL.md
agentsight,dec7226c8bb6612f,call_80S1SWFH96jS7q07MNcALfg4,read,SKILL.md
agentsight,dec7226c8bb6612f,call_zsufLDHIkVlM1DoFixN5XHPf,read,SKILL.md
agentsight,dec7226c8bb6612f,call_E08iAk17G35xdW9L1SWlrVzL,read,SKILL.md
bpf-developer-tutorial,750869f13aebfc18,toolu_016oFKagEyaijHoyUvRsbh24,read,SKILL.md
bpf-developer-tutorial,750869f13aebfc18,toolu_01S7ZYHNzayCJdTqv9UjH4ro,read,SKILL.md
agentsight,168dccd1529a899b,call_rfTofES5QJA4m5aUT12WW3tC,read,SKILL.md
agentsight,ee58b88d3446af28,toolu_011PBdnKGo4HyK7E1jSSynr8,read,SKILL.md
agentsight,ee58b88d3446af28,toolu_01TYW1coUHNWQ9wm1s3y1mgq,read,SKILL.md
agentsight,ee58b88d3446af28,toolu_015ZoJHeFawaU8YY1PCHfYaV,read,SKILL.md
agentsight,ee58b88d3446af28,toolu_01EyHqas6bgX2ztgFrg9yLnh,read,SKILL.md
agentsight,08537296de6abda0,call_dRev2uAcz6HU0ZC5OnQUZiL8,read,SKILL.md
agentsight,08537296de6abda0,call_9s1PACq2IFp2Vt5AU1o9nIKu,read,SKILL.md
ActPlane,795d40d6acff3133,toolu_01G53cVLqLtX5baVpBeUkg5H,read,CLAUDE.md
agentsight,e99c1c6c38a48f15,call_B8Ck5YRv7oGWXNS8TrDchn6q,read,SKILL.md
agentsight,e99c1c6c38a48f15,call_T6ZrdUBTWYVSyZK5J3bmAmHf,read,SKILL.md
academic-writing-skills,f63e82c3f255f8cd,toolu_01VSH2Zf73EQspmWcHaSzw4r,read,SKILL.md
academic-writing-skills,f63e82c3f255f8cd,toolu_01HMc1VHunuwdVrYSA7kEvrG,read,SKILL.md
academic-writing-skills,f63e82c3f255f8cd,toolu_01DhaBLWyzhS4KV2zJUnDZTD,read,SKILL.md
