project,vendor,native_root_session_id,source_stream_id,source_call_id,event_id,status,kind,files,following_actions,next_event_id,following_effect,following_status,high_confidence,source_kind
ActPlane,codex,codex:019e5368-8831-7241-a4e7-0bd2214170fe,a75c1afabb532e8b,call_8dlWACQX3Rr7MBE7uI8AUfXU,codex:rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe:415,ok,read,AGENTS.md;CLAUDE.md,1,codex:rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe:416,read,ok,False,
ActPlane,codex,codex:019e5368-8831-7241-a4e7-0bd2214170fe,a75c1afabb532e8b,call_PFEEOxk4ROE8LRqubvVB0od4,codex:rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe:836,ok,read,SKILL.md,1,codex:rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe:837,read,ok,True,read
ActPlane,codex,codex:019e5368-8831-7241-a4e7-0bd2214170fe,a75c1afabb532e8b,call_f0iMpreFlpeEaNGnVBxQWG6e,codex:rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe:929,ok,read,SKILL.md,1,codex:rollout-2026-05-22T22-57-00-019e5368-8831-7241-a4e7-0bd2214170fe:930,process,observed,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01PtAWk7BgGMkqQQ2DE9SUS9,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:386,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:387,process,ok,False,
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01BJewAejyNAmKUCKAg8WeCz,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:404,ok,read,CLAUDE.md,0,,,,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_019ygUbsDGBfbXPX9iwfjSgZ,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:406,ok,read,CLAUDE.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:407,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01BMDJB1YgfHvd9RQ4V4e8Vs,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:408,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:409,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01ApFZpErsicu5eMwbqXFfXC,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:411,ok,read,AGENTS.md,0,,,,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01L59nik9eUqcCEBvVMZe248,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:419,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:420,process,ok,True,read
ActPlane,claude,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893,eb1d1fe368c4ff45,toolu_01HC5BtjKZUeKayEfmLjwNjC,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:421,ok,read,AGENTS.md,1,claude:a98c7ab6-816c-4e9a-ae37-4244d2c27893:422,process,ok,True,read
