project,tool_events,native_root_sessions,source_streams,skill_invocations,invocation_roots,attributed_actions,attribution_roots,contiguous_preceded_actions,contiguous_preceded_roots,not_contiguous_preceded_actions,long_argument_invocations
ActPlane,65699,176,524,23,11,157,8,102,8,55,9
academic-writing-skills,658,15,20,0,0,0,0,0,0,0,0
agentsight,127957,397,1371,28,9,900,12,241,9,659,5
agentskill-observability-paper,991,8,36,13,4,596,8,133,3,463,1
bpf-developer-tutorial,1911,45,63,3,3,22,2,0,0,22,0
eunomia-dev,10683,29,49,0,0,0,0,0,0,0,0
