project,worktree_id,previous_component,next_component,previous_sessions,next_sessions,gap_ms,next_action_count,no_observed_mutation,first_mutation_action_step,first_mutation_delay_ms,prefix_actions,predecessor_artifact_count,predecessor_module_count,next_mutated_artifact_count,next_mutated_module_count,artifact_overlap,module_overlap,prefix_predecessor_artifact,prefix_predecessor_module,prefix_other_resolved_artifact,prefix_other_resolved_scope,prefix_no_resolved_path,first_predecessor_mutated,first_predecessor_accessed,first_earlier_history,first_confirmed_create,first_first_observed_existing,first_unknown_lineage
ActPlane,3dae89cd06ae,11,12,2,1,97052853,527,False,13,461645,12,199,10,18,3,0.4444444444444444,0.6666666666666666,7,0,0,0,5,0,0,0,1,0,0
ActPlane,3dae89cd06ae,12,13,1,2,603291,150,False,19,173136,18,21,3,6,3,0.8333333333333334,1.0,1,0,0,0,17,1,0,0,0,0,0
ActPlane,3dae89cd06ae,13,14,2,1,65393846,11,False,5,437595,4,10,3,1,1,1.0,1.0,2,0,0,0,2,1,0,0,0,0,0
ActPlane,3dae89cd06ae,14,15,1,2,106378,227,False,4,155390,3,1,1,5,1,0.2,1.0,2,0,0,0,1,1,0,0,0,0,0
ActPlane,3dae89cd06ae,15,16,2,12,2468764,2724,False,17,273129,16,5,1,16,4,0.3125,0.25,1,0,0,0,15,1,0,0,0,0,0
ActPlane,3dae89cd06ae,16,17,12,2,7994987,74,True,,,0,81,9,0,0,,,0,0,0,0,0,0,0,0,0,0,0
ActPlane,3dae89cd06ae,17,18,2,7,173484768,979,False,111,1618130,110,14,7,1,1,0.0,1.0,16,56,1,0,37,0,0,0,0,1,0
ActPlane,3dae89cd06ae,18,19,7,5,314091340,1400,True,,,0,32,8,0,0,,,0,0,0,0,0,0,0,0,0,0,0
ActPlane,3dae89cd06ae,19,20,5,1,172108949,24,True,,,0,29,4,0,0,,,0,0,0,0,0,0,0,0,0,0,0
ActPlane,3dae89cd06ae,20,21,1,8,69022951,1804,True,,,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0
ActPlane,3dae89cd06ae,21,22,8,18,779227885,4106,False,40,796260,39,24,4,44,6,0.2727272727272727,0.6666666666666666,10,0,1,0,28,0,5,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,0,1,1,2,4733198964,385,True,,,0,11,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,1,2,2,1,11490888554,11,False,9,79043,8,71,3,2,1,0.0,1.0,1,6,0,0,1,0,0,0,1,0,0
bpf-developer-tutorial,a192f642f3ee,2,3,1,1,207861,11,False,6,21179,5,9,1,2,1,1.0,1.0,2,0,0,0,3,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,3,4,1,1,337572,35,True,,,0,2,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,4,5,1,1,208536,13,True,,,0,11,2,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,5,6,1,1,632541,24,False,5,58724,4,0,0,2,1,,,0,0,4,0,0,0,0,1,0,0,0
bpf-developer-tutorial,a192f642f3ee,6,7,1,1,40149390,42,True,,,0,4,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,7,8,1,1,40535,4,False,3,8999,2,10,2,2,1,1.0,1.0,2,0,0,0,0,0,1,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,8,9,1,1,169389,4,True,,,0,2,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,9,10,1,1,1149823,10,False,9,76653,8,0,0,2,1,,,0,0,7,0,1,0,0,0,1,0,0
bpf-developer-tutorial,a192f642f3ee,10,11,1,2,437720,86,False,84,618617,83,9,1,2,1,1.0,1.0,18,3,3,0,59,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,11,12,2,1,82433,6,False,3,17906,2,11,2,2,1,1.0,1.0,2,0,0,0,0,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,12,13,1,1,209889,8,False,5,50943,4,2,1,2,1,1.0,1.0,2,2,0,0,0,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,13,14,1,1,55261,2,False,2,6057,1,4,1,1,1,1.0,1.0,1,0,0,0,0,1,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,14,15,1,1,168579,28,True,,,0,1,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,15,16,1,1,31918,18,True,,,0,2,1,0,0,,,0,0,0,0,0,0,0,0,0,0,0
bpf-developer-tutorial,a192f642f3ee,16,17,1,1,1957894,13,False,11,104875,10,2,1,2,1,0.0,1.0,0,8,0,0,2,0,0,0,1,0,0
