comparison,left_policy,right_policy,delta_ap,delta_top5_recall,delta_top5_precision,delta_top5_lift,delta_top5_work,delta_first_positive_work,delta_groups,delta_groups_to_50pct,delta_work_to_50pct
learned_boundary_vs_semantic_width,learned_boundary_width,semantic_width,0.0181,0.1111,0.0089,0.0414,0.0813,0.1581,-34.0,-3.0,-0.1369
learned_boundary_vs_visible_rank,learned_boundary_width,semantic_visible_rank,0.033,0.3251,0.0391,0.1821,0.2315,0.1581,-34.0,-59.0,-0.2447
learned_boundary_vs_fixed_session,learned_boundary_width,fixed_session_width,0.0191,0.2552,-0.0013,-0.0061,0.2385,0.083,-22.0,-8.0,-0.0627
learned_boundary_rank_vs_width,learned_boundary_rank,learned_boundary_width,-0.0224,-0.2716,-0.0539,-0.2512,-0.1325,0.0,0.0,5.0,0.1316
semantic_visible_rank_vs_width,semantic_visible_rank,semantic_width,-0.0149,-0.214,-0.0302,-0.1407,-0.1502,0.0,0.0,56.0,0.1078
