policy,hidden,groups,operations,positives,ap,ap_at_20,top5_work,top5_precision,top5_recall,top5_lift,first_positive_work,groups_to_50pct_positive_recall,work_to_50pct_positive_recall,profile_spec,rust_json,description
flat_width,False,1,1132,243,0.2147,0.2147,1.0,0.2147,1.0,1.0,1.0,1,1.0,docs/visexp/out/operation-boundary-profile-patch-r358/flat_width-profile-spec.json,docs/visexp/out/operation-boundary-profile-patch-r358/flat_width.json,Flat task summary baseline.
fixed_session_width,False,96,1132,243,0.2392,0.1554,0.4055,0.2331,0.4403,1.086,0.2253,10,0.4885,docs/visexp/out/operation-boundary-profile-patch-r358/fixed_session_width-profile-spec.json,docs/visexp/out/operation-boundary-profile-patch-r358/fixed_session_width.json,Fixed-session/span-tree proxy baseline.
semantic_width,False,108,1132,243,0.2402,0.1985,0.5627,0.2229,0.5844,1.0385,0.1502,5,0.5627,docs/visexp/out/operation-boundary-profile-patch-r358/semantic_width-profile-spec.json,docs/visexp/out/operation-boundary-profile-patch-r358/semantic_width.json,R354 default OSWorld-Human semantic stack ranked by width.
semantic_visible_rank,False,108,1132,243,0.2253,0.1062,0.4125,0.1927,0.3704,0.8978,0.1502,61,0.6705,docs/visexp/out/operation-boundary-profile-patch-r358/semantic_visible_rank-profile-spec.json,docs/visexp/out/operation-boundary-profile-patch-r358/semantic_visible_rank.json,"R354 visible phase/action rank-feature patch, rerun on R297 held-out operations."
learned_boundary_width,False,74,1132,243,0.2583,0.2328,0.644,0.2318,0.6955,1.0799,0.3083,2,0.4258,docs/visexp/out/operation-boundary-profile-patch-r358/learned_boundary_width-profile-spec.json,docs/visexp/out/operation-boundary-profile-patch-r358/learned_boundary_width.json,Boundary-derived stack using R297 learned_group_pattern and learned_group_position fields.
learned_boundary_rank,False,74,1132,243,0.2359,0.1368,0.5115,0.1779,0.4239,0.8287,0.3083,7,0.5574,docs/visexp/out/operation-boundary-profile-patch-r358/learned_boundary_rank-profile-spec.json,docs/visexp/out/operation-boundary-profile-patch-r358/learned_boundary_rank.json,Same boundary-derived stack plus visible rank rules over learned boundary fields.
oracle_positive_rate_semantic,True,108,1132,243,0.5852,0.3602,0.0053,1.0,0.0247,4.6584,0.0018,17,0.1705,,,Hidden-label positive-rate upper bound on the semantic stack.
oracle_positive_rate_learned_stack,True,74,1132,243,0.5406,0.3902,0.0062,1.0,0.0288,4.6584,0.0018,14,0.1811,,,Hidden-label positive-rate upper bound on the learned-boundary stack.
