 agent: Total 1492.0s
        1492.0s (  100%): openhands

 call_id: Total 1492.0s
          76.0s ( 5.09%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:0f7ea635798a49219f7af651e23613e8
          74.0s ( 4.96%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:4846ce2671e8462883025a20e1f17ff4
          71.0s ( 4.76%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:d1d66fd5e64742d1ac6591affc3383d0
          70.0s ( 4.69%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:2adf8cedd83242b68133fdc2d4a71ad5
          66.0s ( 4.42%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:06399541fa924cee9d6b8d4e65fe60b7
          66.0s ( 4.42%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:7e679ce311a749ee8cebd80338890bb1
          65.0s ( 4.36%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:6e57375e59ef48a48bc2e5b7aa2f09f9
          48.0s ( 3.22%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:2f84151a5f754c588c1f2d234031e217
          40.0s ( 2.68%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:de73682a88434f96a86786d5d8732f78
          38.0s ( 2.55%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:289a7def66324c8dbc3bf0004603f457
          38.0s ( 2.55%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:3fcbc62effe4489bb3ef2805d1a50a15
          38.0s ( 2.55%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:5bdeba9554a2447383b51834ef2bfee5
          36.0s ( 2.41%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:5ac1aa55bd7f495e968c6c6e5c6bcfd3
          34.0s ( 2.28%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:4fdcf09d07834fe393b66e16b3002b0f
          34.0s ( 2.28%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:8b7af0a7917a4366949e4799c4bbac11
          19.0s ( 1.27%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01nmpjyewsvr4v4q1f5wkydt
          19.0s ( 1.27%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01r4fr5t6kgqmcwqstfwlwml
          19.0s ( 1.27%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:99e8f369e1ff4769b3de04564b22ad4c
          17.0s ( 1.14%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_017oqbs5v4mop2cjslqkhev3
          17.0s ( 1.14%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:c2c97a2a4d914dc5bb1cc5aa3ac1a24c
          16.0s ( 1.07%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_017btbtcsddpjkr9xvwqcmpm
          16.0s ( 1.07%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01gkpxbsdbam3g5ktfbzucyu
          16.0s ( 1.07%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01x5thahztu4odb6v7lsfxjd
          15.0s ( 1.01%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_0111njxfaywtvpz7yphbrpoq
          15.0s ( 1.01%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_014w1jwj5oex3ki1uy8a97ah
          15.0s ( 1.01%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_017p44dsonqnibr8aadccdrt
          15.0s ( 1.01%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_019s9pbangei2ppeocqj2uot
          15.0s ( 1.01%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01ql9xpbmerhesk7vpp5mhp1
          15.0s ( 1.01%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01sfkyod8m6max9bacxpkwqd
          15.0s ( 1.01%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01tcudoheycf3gwjvdcv6puy
          15.0s ( 1.01%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:ea61352615724097a738f4c66adca22c
          14.0s ( 0.94%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01kbuxntvxc2ybcejsm55fn4
          14.0s ( 0.94%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01qjumerkckqx6sf6osm6pam
          14.0s ( 0.94%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01r2ev6spcyazup4ke6cctvd
          14.0s ( 0.94%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01smjhx4podd8effpbv9wcb3
          14.0s ( 0.94%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01wymzmnz15nmxsnyahu71tx
          14.0s ( 0.94%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:5430042eb80d455aa29523a4b6567205
          14.0s ( 0.94%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:71d8e67aaeb547f08263ffc81e110a4a
          13.0s ( 0.87%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01hmupawwakzet82bvdmakd2
          12.0s (  0.8%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:260a2645ac6c4865982fa4e71296d7e5
          10.0s ( 0.67%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:0737d255d0094e63b7bfc985ad3937a4
          10.0s ( 0.67%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:169623c081c549389aa89758c852bef6
          10.0s ( 0.67%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:d511badbd25b48848a311405c33a2af3
          10.0s ( 0.67%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:e3703e4590e14a0a8429138e25b8c0fb
           9.0s (  0.6%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01drdhrzmuyjnxjdngz9jpm9
           9.0s (  0.6%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:8fabb5254aae4bf8bac22ad4725b0b8f
           9.0s (  0.6%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:befbf3df695340f5b989672087e79f2f
           8.0s ( 0.54%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:a55ed76ebc1d496f8e7f86df8e3b4c02
           7.0s ( 0.47%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01acrfply3ztjbekhhkesbhp
           7.0s ( 0.47%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:0a5b92b4e6134b11aab4b0257f453975
           7.0s ( 0.47%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:7a1d06509f7545739ecb4f8a116e7d6d
           7.0s ( 0.47%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:7cc48639706a4ce0935e05d2c0efe5c0
           7.0s ( 0.47%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:aa35ffd967e64b709a8841699dcb25ea
           6.0s (  0.4%): openhands-anthropic__claude-sonnet-4-20250514-thinking-git-multibranch-75c1745e:openhands:msg_vrtx_01c1ip9vnshvbed1d2yaim61
           6.0s (  0.4%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:139aa0a67777485d844e31a736626b50
           6.0s (  0.4%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:3fb19b10d15f4975b21927bf3f5eb62f
           6.0s (  0.4%): openhands-deepseek__deepseek-v3.2-git-multibranch-0bbc5d81:openhands:5b9fefe65e894817ba00e3aef36e9fce
