Type: operations
Showing nodes accounting for 39, 100% of 39 total
      flat  flat%   sum%        cum   cum%
        16 41.03% 41.03%         16 41.03%  target:usr/bin
        11 28.21% 69.23%         11 28.21%  target:exit_code_0_0ms
         3  7.69% 76.92%          3  7.69%  target:exit_code_0_6ms
         3  7.69% 84.62%          3  7.69%  target:home/user
         2  5.13% 89.74%          2  5.13%  target:exit_code_0_7ms
         1  2.56% 92.31%          1  2.56%  target:bin/true
         1  2.56% 94.87%          1  2.56%  target:exit_code_0_1393ms
         1  2.56% 97.44%          1  2.56%  target:exit_code_0_5ms
         1  2.56%   100%          1  2.56%  target:exit_code_0_6237ms
         0     0%   100%          2  5.13%  effect:file.write
         0     0%   100%         18 46.15%  effect:process.exec
         0     0%   100%         19 48.72%  effect:process.exit
         0     0%   100%          2  5.13%  process:bwrap
         0     0%   100%          3  7.69%  process:codex
         0     0%   100%          2  5.13%  process:codex-code-mode
         0     0%   100%         10 25.64%  process:getconf
         0     0%   100%         10 25.64%  process:getopt
         0     0%   100%         10 25.64%  process:lsb_release
         0     0%   100%          2  5.13%  process:true
         0     0%   100%         39   100%  session:r114-failure-retry
         0     0%   100%         39   100%  task:failure
         0     0%   100%         39   100%  tool_evidence:record:bash:845810:1784035169411:agent-run
