kind,semantics,row_tag,event_prompt_tag,weight
tool,field,review,test,304
tool,position,review,test,304
llm,position,docs,refactor,303
tool,position,docs,refactor,261
tool,position,perfreview,docs,246
llm,position,deployed,commit,198
tool,position,refactor,workspace,180
tool,position,review,metrics,168
tool,position,review,deployed,165
tool,position,deployed,commit,165
llm,position,review,metrics,145
llm,field,review,test,89
llm,position,review,test,89
llm,position,refactor,workspace,88
tool,position,metrics,review,71
tool,position,review,design,65
tool,position,explain,refactor,53
llm,position,metrics,review,48
llm,position,review,design,44
tool,position,review,docs,44
tool,position,block,refactor,41
tool,field,parse,block,40
tool,position,parse,block,40
tool,position,website,review,38
llm,position,block,refactor,34
tool,position,design,refactor,33
llm,position,design,refactor,33
tool,position,refactor,website,31
tool,position,refactor,workshop,31
tool,position,review,refactor,30
llm,position,perfreview,docs,27
tool,position,build,perfreview,26
tool,position,refactor,design,25
llm,position,refactor,review,24
tool,position,refactor,review,23
llm,position,refactor,design,23
llm,position,refactor,website,23
llm,position,refactor,workshop,13
llm,position,review,refactor,12
llm,position,website,review,9
