cohort,winner,rate_delta_per_1k,codex_rate_per_1k,claude_rate_per_1k,codex,claude,total,one_sided,stack
all,codex,9.983,9.983,0.0,6,0,6,True,project:agentsight;session:auditdoc;prompt:auditdoc;tool:shell;cmd:nl;effect:read;path:docs/visexp/out;status:ok
all,codex,9.983,9.983,0.0,6,0,6,True,project:agentsight;session:countlines;prompt:readline;tool:shell;cmd:rg;effect:read;path:docs/visexp/experiment_plan.md;status:ok
all,codex,9.983,9.983,0.0,6,0,6,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:awk;effect:process;path:docs/visexp/out;status:ok
all,codex,9.983,9.983,0.0,6,0,6,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:nl;effect:read;path:docs/visexp/semantic_tag_flamegraph.py;status:ok
subagent,codex,8.711,8.711,0.0,5,0,5,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:nl;effect:read;path:collector/src/sinks;status:ok
all,codex,8.319,8.319,0.0,5,0,5,True,project:agentsight;session:documentqa;prompt:readcheck;tool:shell;cmd:rg;effect:read;path:docs/visexp/paper;status:ok
all,codex,8.319,8.319,0.0,5,0,5,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:nl;effect:read;path:collector/src/sinks;status:ok
all,codex,8.319,8.319,0.0,5,0,5,True,project:agentsight;session:ruling;prompt:readmd;tool:shell;cmd:sed;effect:read;path:docs/visexp/out;status:ok
all,codex,8.319,8.319,0.0,5,0,5,True,project:agentsight;session:verdict;prompt:readfile;tool:shell;cmd:rg;effect:read;path:docs/visexp/claim_verdict.md;status:ok
subagent,codex,6.969,6.969,0.0,4,0,4,True,project:agentsight;session:auditdoc;prompt:auditdoc;tool:shell;cmd:rg;effect:read;path:docs/visexp/out;status:ok
subagent,codex,6.969,6.969,0.0,4,0,4,True,project:agentsight;session:reviewcode;prompt:reviewcode;tool:shell;cmd:jq;effect:read;path:.agentsight/agentflame;status:ok
subagent,codex,6.969,6.969,0.0,4,0,4,True,project:agentsight;session:reviewcode;prompt:reviewcode;tool:shell;cmd:pdftotext;effect:process;path:docs/visexp/paper;status:ok
subagent,codex,6.969,6.969,0.0,4,0,4,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:nl;effect:read;path:collector/src/cli_db.rs;status:ok
subagent,codex,6.969,6.969,0.0,4,0,4,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:nl;effect:read;path:docs/visexp/effect_lineage_smoke.py;status:ok
subagent,codex,6.969,6.969,0.0,4,0,4,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:nl;effect:read;path:docs/visexp/paper;status:ok
subagent,codex,6.969,6.969,0.0,4,0,4,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:jq;effect:read;path:docs/visexp/out;status:ok
subagent,codex,6.969,6.969,0.0,4,0,4,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:python3;effect:process;status:ok
all,codex,6.656,6.656,0.0,4,0,4,True,project:agentsight;session:auditdoc;prompt:auditdoc;tool:shell;cmd:rg;effect:read;path:docs/visexp/out;status:ok
all,codex,6.656,6.656,0.0,4,0,4,True,project:agentsight;session:reviewcode;prompt:reviewcode;tool:shell;cmd:jq;effect:read;path:.agentsight/agentflame;status:ok
all,codex,6.656,6.656,0.0,4,0,4,True,project:agentsight;session:reviewcode;prompt:reviewcode;tool:shell;cmd:pdftotext;effect:process;path:docs/visexp/paper;status:ok
all,codex,6.656,6.656,0.0,4,0,4,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:nl;effect:read;path:collector/src/cli_db.rs;status:ok
all,codex,6.656,6.656,0.0,4,0,4,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:nl;effect:read;path:docs/visexp/effect_lineage_smoke.py;status:ok
all,codex,6.656,6.656,0.0,4,0,4,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:nl;effect:read;path:docs/visexp/paper;status:ok
all,codex,6.656,6.656,0.0,4,0,4,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:jq;effect:read;path:docs/visexp/out;status:ok
all,codex,6.656,6.656,0.0,4,0,4,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:python3;effect:process;status:ok
all,codex,6.656,6.656,0.0,4,0,4,True,project:agentsight;session:updatedocs;prompt:reviewdoc;tool:shell;cmd:sed;effect:read;path:docs/visexp/state.md;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:auditdoc;prompt:auditdoc;tool:shell;cmd:for;effect:process;path:agentsight-r113-live/codex-count-r113;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:auditdoc;prompt:auditdoc;tool:shell;cmd:nl;effect:read;path:docs/visexp/evaluate_artifacts.py;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:auditdoc;prompt:auditdoc;tool:shell;cmd:nl;effect:read;path:docs/visexp/r113_live_record_harness.py;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:auditdoc;prompt:auditdoc;tool:shell;cmd:rg;effect:read;path:docs/visexp/r113_live_record_harness.py;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:osdi;prompt:prompt;tool:shell;cmd:rg;effect:read;path:docs/visexp/out;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:reviewcode;prompt:reviewcode;tool:shell;cmd:nl;effect:read;path:docs/visexp/out;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:reviewcode;prompt:reviewcode;tool:shell;cmd:nl;effect:read;path:docs/visexp/paper;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:reviewcode;prompt:reviewcode;tool:shell;cmd:rg;effect:read;path:docs/visexp/paper;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:plan;cmd:update;effect:process;path:aggregation/folded-stack;status:observed
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:plan;cmd:update;effect:process;path:docs/visexp;status:observed
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:reviewdoc;prompt:reviewdoc;tool:shell;cmd:jq;effect:read;path:docs/visexp/out;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:git;effect:read;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:rg;effect:read;path:collector/src/sources;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:rg;effect:read;path:collector/src;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:reviewdoc;prompt:reviewreq;tool:shell;cmd:sed;effect:read;path:osdi-experiment-design/references;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:reviewing;prompt:prompt;tool:shell;cmd:rg;effect:read;path:docs/visexp;status:ok
subagent,codex,5.226,5.226,0.0,3,0,3,True,project:agentsight;session:reviewing;prompt:review;tool:shell;cmd:git;effect:read;status:ok
all,codex,4.992,4.992,0.0,3,0,3,True,project:agentsight;session:auditdoc;prompt:auditdoc;tool:shell;cmd:for;effect:process;path:agentsight-r113-live/codex-count-r113;status:ok
all,codex,4.992,4.992,0.0,3,0,3,True,project:agentsight;session:auditdoc;prompt:auditdoc;tool:shell;cmd:nl;effect:read;path:docs/visexp/evaluate_artifacts.py;status:ok
