variant,rank,behavior_key,total_weight,distinct_prompt_tags,top_prompt,top_prompt_weight,top_prompt_share_pct,ambiguous_weight,ambiguous_share_pct,distinct_prompt_delta_vs_raw,ambiguous_share_delta_vs_raw_pct_points,top_prompt_splits
raw,1,process:git;effect:read;status:ok,17028,146,refactor,5625,33.034,11403,66.966,0,0.0,refactor=5625; review=3879; design=868; test=781; analyze=685; research=571; docs=365; explain=291
alias_only,1,process:git;effect:read;status:ok,17028,133,refactor,5625,33.034,11403,66.966,-13,0.0,refactor=5625; review=3879; design=884; test=805; analyze=685; research=571; docs=567; explain=291
profile_guarded_candidate_applied,1,process:git;effect:read;status:ok,17028,116,refactor,5630,33.063,11398,66.937,-30,-0.029,refactor=5630; review=3911; test=1074; design=984; analyze=702; research=571; docs=569; explain=291
r209_conservative_display,1,process:git;effect:read;status:ok,17028,133,refactor,5625,33.034,11403,66.966,-13,0.0,refactor=5625; review=3879; design=884; test=805; analyze=685; research=571; docs=567; explain=291
raw,2,process:cargo;effect:test;status:ok,3716,62,refactor,1346,36.222,2370,63.778,0,0.0,refactor=1346; review=644; research=250; design=188; commitlog=174; designcodex=141; explain=131; analyze=124
alias_only,2,process:cargo;effect:test;status:ok,3716,57,refactor,1346,36.222,2370,63.778,-5,0.0,refactor=1346; review=644; research=250; design=213; commitlog=174; designcodex=141; test=137; explain=131
profile_guarded_candidate_applied,2,process:cargo;effect:test;status:ok,3716,52,refactor,1346,36.222,2370,63.778,-10,0.0,refactor=1346; review=644; design=354; research=250; commitlog=174; test=149; explain=131; analyze=124
r209_conservative_display,2,process:cargo;effect:test;status:ok,3716,57,refactor,1346,36.222,2370,63.778,-5,0.0,refactor=1346; review=644; research=250; design=213; commitlog=174; designcodex=141; test=137; explain=131
raw,3,process:rg;effect:read;status:ok,32084,175,refactor,13890,43.293,18194,56.707,0,0.0,refactor=13890; review=6811; design=2922; analyze=981; test=911; benchmark=783; research=674; docs=530
alias_only,3,process:rg;effect:read;status:ok,32084,161,refactor,13890,43.293,18194,56.707,-14,0.0,refactor=13890; review=6811; design=3100; analyze=981; test=916; benchmark=783; docs=741; research=674
profile_guarded_candidate_applied,3,process:rg;effect:read;status:ok,32084,142,refactor,13907,43.346,18177,56.654,-33,-0.053,refactor=13907; review=6919; design=3492; test=1064; analyze=1013; benchmark=783; docs=755; research=678
r209_conservative_display,3,process:rg;effect:read;status:ok,32084,161,refactor,13890,43.293,18194,56.707,-14,0.0,refactor=13890; review=6811; design=3100; analyze=981; test=916; benchmark=783; docs=741; research=674
raw,4,process:sed;effect:read;status:ok,30606,180,refactor,13514,44.155,17092,55.845,0,0.0,refactor=13514; review=5006; design=2918; test=1213; analyze=1153; benchmark=1001; research=930; docs=494
alias_only,4,process:sed;effect:read;status:ok,30606,165,refactor,13514,44.155,17092,55.845,-15,0.0,refactor=13514; review=5006; design=2920; test=1218; analyze=1153; benchmark=1005; research=930; docs=727
profile_guarded_candidate_applied,4,process:sed;effect:read;status:ok,30606,146,refactor,13527,44.197,17079,55.803,-34,-0.042,refactor=13527; review=5018; design=3151; test=1472; analyze=1180; benchmark=1005; research=932; docs=727
r209_conservative_display,4,process:sed;effect:read;status:ok,30606,165,refactor,13514,44.155,17092,55.845,-15,0.0,refactor=13514; review=5006; design=2920; test=1218; analyze=1153; benchmark=1005; research=930; docs=727
raw,5,process:tool:tool;effect:process;status:ok,13242,97,refactor,6338,47.863,6904,52.137,0,0.0,refactor=6338; review=1869; design=1448; analyze=797; test=601; benchmark=251; ignored=206; debug=185
