variant,description,total_weight,stack_count,stack_reduction_vs_raw,stack_reduction_vs_raw_pct,unique_session_tags,unique_prompt_tags,active_session_merges,active_prompt_merges,affected_stack_rows,affected_weight,affected_weight_pct,unreviewed_profile_merge_rows_active,unreviewed_profile_merge_weight_active,unreviewed_profile_merge_weight_pct
raw,original one-word tags,183714,26829,0,0.0,53,263,0,0,0,0,0.0,0,0,0.0
alias_only,deterministic aliases active; profile merges inactive,183714,26612,217,0.809,48,241,8,24,661,2183,1.188,0,0,0.0
profile_guarded_candidate_applied,hypothetical: apply R189 alias plus lexical/profile merge candidates,183714,26067,762,2.84,45,216,11,49,1841,6835,3.72,1180,4652,2.532
r209_conservative_display,"R209 active display map: alias active, profile/regeneration pending",183714,26612,217,0.809,48,241,8,24,661,2183,1.188,0,0,0.0
