source,model,dimension,unit,total,unique_tags,effective_tags,top1_tag,top1_count,top1_share_pct,top2_share_pct,top5_share_pct,refactor_share_pct,review_refactor_share_pct,exact_stability_pct,valid_run_pct,watched_word_counts,top_tags
legacy_python_no_prefer_artifact,sample36,prompt,prompt_rows,37,10,8.568,reviewdoc,7,18.919,32.432,72.973,0.0,5.405,,,review=2,reviewdoc=7; readcheck=5; readline=5; readfile=5; readmd=5; prompt=4; reviewreq=2; review=2; auditdoc=1; reviewcode=1
r170_tag_counts,r170_prefer_list,session_tag_by_sessions,sessions,325,60,19.492,review,82,25.231,42.462,59.385,17.231,42.462,,,refactor=56; review=82; debug=3; test=9; design=16; analyze=15; docs=24,review=82; refactor=56; docs=24; design=16; analyze=15; countlines=11; test=9; research=8; agentsightsm=8; coda=7; rootpidrefsc=5; docsupdate=5
r170_tag_counts,r170_prefer_list,prompt_tag_by_prompt_rows,prompt_rows,2859,328,25.463,refactor,899,31.445,47.114,62.749,31.445,47.114,,,refactor=899; review=448; debug=20; test=122; design=124; analyze=200; docs=123,refactor=899; review=448; analyze=200; design=124; docs=123; test=122; research=82; trace=53; testcodex=28; evaluate=26; validate=22; docsupdate=21
r170_tag_counts,r170_prefer_list,llm_tag_by_llm_events,llm_events,114837,1423,11.652,refactor,41263,35.932,52.226,75.022,35.932,40.502,,,refactor=41263; review=5248; debug=1816; test=9184; design=9592; analyze=18712; docs=3335,refactor=41263; analyze=18712; design=9592; test=9184; tokenize=7402; report=6494; review=5248; docs=3335; debug=1816; build=1432; research=1068; trace=566
r170_tag_counts,r170_prefer_list,prompt_tag_by_system_effect_weight,system_effect_weight,183714,263,11.881,refactor,73162,39.824,57.932,77.078,39.824,57.932,,,refactor=73162; review=33267; debug=1587; test=8012; design=15705; analyze=11457; docs=3477,refactor=73162; review=33267; design=15705; analyze=11457; test=8012; research=4736; benchmark=4033; docs=3477; debug=1587; explain=1463; trace=1401; commitlog=1361
r170_tag_counts,r170_prefer_list,llm_tag_by_estimated_tokens,estimated_tokens,31805830937139,1423,1.957,refactor,26581785501743,83.575,91.096,99.322,83.575,83.659,,,refactor=26581785501743; review=26623264835; debug=1138969674; test=63155433342; design=687595970247; analyze=2392003375156; docs=64181339368,refactor=26581785501743; analyze=2392003375156; report=1575116380919; design=687595970247; tokenize=353773329489; docs=64181339368; test=63155433342; updateplan=42403496860; review=26623264835; research=12077660372; uxdesign=4071308666; debug=1138969674
r180_model_runs,0.6b,all_fragments,tag_runs,900,48,8.744,debug,472,52.444,61.111,77.111,0.333,6.333,99.667,100.0,refactor=3; review=54; debug=472; test=6; design=6; docs=78,debug=472; docs=78; review=54; render=51; build=39; research=24; root=12; trace=12; repo=9; run=9; paper=6; baseline=6
r180_model_runs,1.1b,all_fragments,tag_runs,900,5,2.079,localization,642,71.333,96.667,100.0,0.0,0.0,93.0,100.0,localization=642; localized=228,localization=642; localized=228; localsession=18; fragmentkind=9; localizedai=3
r180_model_runs,3b,all_fragments,tag_runs,900,105,28.329,review,229,25.444,44.111,56.111,18.667,44.111,95.0,100.0,refactor=168; review=229; debug=3; test=57; design=34; analyze=12; docs=17,review=229; refactor=168; test=57; design=34; docs=17; verify=15; trace=15; readdocs=12; analyze=12; build=11; cmt=9; claimid=9
r122_candidate_modal_tags,3b_modal_candidate,all,fragments,300,98,27.399,review,76,25.333,44.333,56.333,19.0,44.333,,,refactor=57; review=76; debug=1; test=19; design=11; analyze=4; docs=6,review=76; refactor=57; test=19; design=11; docs=6; verify=5; trace=5; rootpidcount=4; readdocs=4; analyze=4; build=4; cmt=3
r122_candidate_modal_tags,3b_modal_candidate,session,fragments,100,34,17.65,review,26,26.0,43.0,54.0,17.0,43.0,,,refactor=17; review=26; test=3; design=3; docs=2,review=26; refactor=17; rootpidcount=4; readdocs=4; cmt=3; claimid=3; benchmarks=3; design=3; test=3; verify=3; paperagentfl=2; nextaction=2
r122_candidate_modal_tags,3b_modal_candidate,prompt,fragments,100,44,21.163,refactor,22,22.0,41.0,55.0,22.0,41.0,,,refactor=22; review=19; test=5; design=5; analyze=4; docs=2,refactor=22; review=19; test=5; design=5; analyze=4; trace=4; audit=2; output=2; docs=2; bench=1; count=1; tag=1
r122_candidate_modal_tags,3b_modal_candidate,llm,fragments,100,36,14.141,review,31,31.0,49.0,66.0,18.0,49.0,,,refactor=18; review=31; debug=1; test=11; design=3; docs=2,review=31; refactor=18; test=11; design=3; build=3; check=2; docs=2; format=2; diff=1; verify=1; call=1; update=1
