selected_policy,selected_view,selected_ranker,decisions,exact_best,within_tolerance
flat:query_aware,flat,query_aware,44,24,42
dataset_native:query_aware,dataset_native,query_aware,15,0,4
raw_action_stack:width,raw_action_stack,width,11,0,5
operation_stack:visible_risk,operation_stack,visible_risk,9,2,6
operation_stack:query_aware,operation_stack,query_aware,7,5,5
fixed_session:width,fixed_session,width,4,0,0
fixed_session:query_aware,fixed_session,query_aware,3,0,0
raw_action_stack:visible_risk,raw_action_stack,visible_risk,2,0,0
raw_action_stack:query_aware,raw_action_stack,query_aware,1,0,0
