protocol,task,dataset,query_family,objective,metric,direction,train_tasks,selected_policy,selected_train_mean,selected_target_value,selected_target_rank,best_visible_policy,best_visible_value,default_value,width_value,fixed_value,flat_value,selected_exact_best,selected_within_tolerance,selected_delta_vs_best,selected_delta_vs_default,selected_delta_vs_width,selected_delta_vs_fixed,selected_delta_vs_flat,selected_beats_default,selected_beats_width,selected_beats_fixed,selected_beats_flat,default_within_tolerance
leave_task,agentreward_looping,agent-reward-bench,failure-looping,ranking_fidelity_ap,average_precision,higher,5,dataset_native:query_aware,0.3262,0.7989,5,operation_stack:query_aware,0.8808,0.8808,0.7653,0.8672,0.6914,False,False,-0.0819,-0.0819,0.0336,-0.0683,0.1075,False,True,False,True,True
leave_task,agentreward_looping,agent-reward-bench,failure-looping,top5_localization_f1,top5_f1,higher,5,flat:query_aware,0.251,0.8175,4,dataset_native:query_aware,0.8175,0.7593,0.6819,0.367,0.8175,False,True,0.0,0.0582,0.1356,0.4505,0.0,True,True,True,False,False
leave_task,agentreward_looping,agent-reward-bench,failure-looping,budget30_operation_recall,budget30_recall,higher,5,operation_stack:query_aware,0.4615,0.3988,1,operation_stack:query_aware,0.3988,0.3988,0.3532,0.3611,0.0,True,True,0.0,0.0,0.0456,0.0377,0.3988,False,True,True,True,True
leave_task,agentreward_looping,agent-reward-bench,failure-looping,first_positive_work,work_to_first_positive,lower,5,operation_stack:visible_risk,0.0312,0.0645,5,raw_action_stack:visible_risk,0.0014,0.2058,0.2058,0.0412,1.0,False,False,-0.0631,0.1413,0.1413,-0.0233,0.9355,True,True,False,True,False
leave_task,agentreward_looping,agent-reward-bench,failure-looping,groups_to_50pct,groups_to_50pct_recall,lower,5,flat:query_aware,1.0,1.0,1,flat:query_aware,1.0,3.0,4.0,10.0,1.0,True,True,0.0,2.0,3.0,9.0,0.0,True,True,True,False,True
leave_task,agentreward_looping,agent-reward-bench,failure-looping,sequence_top5_session_recall,top5_positive_session_recall,higher,5,flat:query_aware,1.0,1.0,4,dataset_native:query_aware,1.0,0.9412,0.8824,0.2353,1.0,False,True,0.0,0.0588,0.1176,0.7647,0.0,True,True,True,False,False
leave_task,agentreward_looping,agent-reward-bench,failure-looping,sequence_budget30_session_recall,budget30_positive_session_recall,higher,5,raw_action_stack:query_aware,0.6396,0.5294,5,operation_stack:visible_risk,0.8824,0.5294,0.4118,0.4118,0.0,False,False,-0.353,0.0,0.1176,0.1176,0.5294,False,True,True,True,False
leave_task,agentreward_looping,agent-reward-bench,failure-looping,sequence_budget30_session_work,budget30_session_work,lower,5,flat:query_aware,0.0,0.0,1,flat:query_aware,0.0,0.3448,0.3448,0.3448,0.0,True,True,0.0,0.3448,0.3448,0.3448,0.0,True,True,True,False,False
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,ranking_fidelity_ap,average_precision,higher,5,dataset_native:query_aware,0.3827,0.5166,2,fixed_session:width,1.0,0.3979,0.3661,0.4606,0.2771,False,False,-0.4834,0.1187,0.1505,0.056,0.2395,True,True,True,True,False
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,top5_localization_f1,top5_f1,higher,5,flat:query_aware,0.3278,0.4339,6,fixed_session:width,0.8129,0.1494,0.4061,0.0,0.4339,False,False,-0.379,0.2845,0.0278,0.4339,0.0,True,True,True,False,False
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,budget30_operation_recall,budget30_recall,higher,5,dataset_native:query_aware,0.4714,0.0,8,fixed_session:width,1.0,0.3812,0.3069,0.0,0.0,False,False,-1.0,-0.3812,-0.3069,0.0,0.0,False,False,False,False,False
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,first_positive_work,work_to_first_positive,lower,5,fixed_session:query_aware,0.0106,0.3471,7,operation_stack:query_aware,0.0645,0.0645,0.2058,0.3471,1.0,False,False,-0.2826,-0.2826,-0.1413,0.0,0.6529,False,False,False,True,True
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,groups_to_50pct,groups_to_50pct_recall,lower,5,flat:query_aware,1.0,1.0,4,dataset_native:query_aware,1.0,17.0,2.0,7.0,1.0,False,True,0.0,16.0,1.0,6.0,0.0,True,True,True,False,False
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_top5_session_recall,top5_positive_session_recall,higher,5,flat:query_aware,1.0,1.0,5,dataset_native:query_aware,1.0,1.0,1.0,0.0,1.0,False,True,0.0,0.0,0.0,1.0,0.0,False,False,True,False,True
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_budget30_session_recall,budget30_positive_session_recall,higher,5,raw_action_stack:width,0.5961,1.0,7,fixed_session:width,1.0,1.0,1.0,0.0,0.0,False,True,0.0,0.0,0.0,1.0,1.0,False,False,True,True,True
leave_task,agentreward_side_effect,agent-reward-bench,failure-side-effect,sequence_budget30_session_work,budget30_session_work,lower,5,flat:query_aware,0.0,0.0,1,flat:query_aware,0.0,0.8966,0.3103,0.4828,0.0,True,True,0.0,0.8966,0.3103,0.4828,0.0,True,True,True,False,False
leave_task,satraj_unsafe,satraj-os-safety,safety,ranking_fidelity_ap,average_precision,higher,5,fixed_session:width,0.3988,0.0797,15,dataset_native:query_aware,0.7598,0.4875,0.1003,0.5059,0.1452,False,False,-0.6801,-0.4078,-0.0206,-0.4262,-0.0655,False,False,False,False,False
leave_task,satraj_unsafe,satraj-os-safety,safety,top5_localization_f1,top5_f1,higher,5,raw_action_stack:width,0.3682,0.2195,9,operation_stack:query_aware,0.4065,0.4065,0.0,0.1047,0.2535,False,False,-0.187,-0.187,0.2195,0.1148,-0.034,False,True,True,False,True
leave_task,satraj_unsafe,satraj-os-safety,safety,budget30_operation_recall,budget30_recall,higher,5,fixed_session:width,0.4073,0.0,12,dataset_native:query_aware,1.0,0.8376,0.1125,0.865,0.0,False,False,-1.0,-0.8376,-0.1125,-0.865,0.0,False,False,False,False,False
