process,total_weight,top_prompt,top_prompt_weight,top_prompt_share_pct,distinct_prompt_tags,top_prompt_splits
rg,33959,refactor,14677,43.22,176,refactor=14677; review=7176; design=3077; analyze=1068; test=975; benchmark=829; research=716; docs=585; designcodex=376; debug=354; trace=274; explain=218
sed,30810,refactor,13638,44.265,180,refactor=13638; review=5012; design=2942; test=1225; analyze=1154; benchmark=1008; research=937; docs=496; debug=295; trace=286; commitlog=265; ignored=254
tool:tool,22996,refactor,11579,50.352,102,refactor=11579; design=2572; review=2176; analyze=1683; test=1189; benchmark=994; debug=314; research=246; docs=228; ignored=206; validate=137; compare=121
git,18592,refactor,5966,32.089,147,refactor=5966; review=4067; design=999; test=892; analyze=834; research=703; docs=432; explain=373; commit=280; testcodex=248; trace=207; ignored=202
find,7818,refactor,2863,36.621,131,refactor=2863; review=1347; design=794; analyze=636; test=361; research=209; benchmark=159; designcodex=118; docs=99; build=60; explore=48; explain=44
nl,7439,review,2959,39.777,75,review=2959; refactor=2517; design=326; docs=208; test=138; research=120; benchmark=112; reviewbu=110; designfix=98; analyze=78; codex=78; debug=49
python3,6419,refactor,2564,39.944,88,refactor=2564; analyze=1175; review=554; test=310; research=252; design=248; docs=138; ignored=109; commitlog=94; debug=80; eval=60; benchmark=53
cargo,5297,refactor,1818,34.321,68,refactor=1818; review=860; research=366; design=306; commitlog=258; test=198; analyze=194; explain=188; designcodex=162; benchmark=105; trace=68; commit=44
tool:plan,3779,refactor,1698,44.933,77,refactor=1698; review=606; design=322; research=166; analyze=146; test=124; benchmark=95; explain=82; commitlog=52; docs=49; trace=41; debug=34
tool:read,3208,refactor,1726,53.803,30,refactor=1726; review=579; test=207; design=124; docs=106; listfiles=52; workspace=48; build=43; lint=42; explore=40; cli=40; setup=38
make,2714,refactor,1007,37.104,32,refactor=1007; review=881; design=432; benchmark=93; test=47; research=41; ignored=29; debug=28; explain=20; validate=17; docs=16; maintain=13
grep,2411,refactor,1474,61.136,30,refactor=1474; review=477; test=104; docs=62; design=46; workspace=33; explore=32; verify=30; build=28; readcmd=22; cli=20; query=16
wc,2352,refactor,1096,46.599,54,refactor=1096; review=596; design=70; docx=64; test=56; codexcheck=54; research=48; docs=42; codexinteg=36; designcodex=34; benchmark=32; analyze=21
tail,2298,analyze,997,43.386,32,analyze=997; refactor=414; design=348; test=213; docs=78; review=76; benchmark=58; compare=30; capture=15; research=11; explain=10; trace=7
ls,2057,refactor,805,39.135,95,refactor=805; review=267; design=213; test=128; analyze=108; docs=74; benchmark=57; research=43; debug=18; trace=17; testcodex=15; listsrc=14
jq,2042,refactor,707,34.623,30,refactor=707; review=526; analyze=252; test=193; design=89; research=53; benchmark=43; compare=39; backup=20; docs=19; evaluate=16; debug=13
tool:subagent,1917,review,690,35.994,20,review=690; refactor=425; design=160; analyze=155; research=150; commitlog=121; costanalysis=38; refactorrepo=38; setup=30; designcodex=20; test=16; designfix=16
cd,1778,refactor,422,23.735,25,refactor=422; review=377; setup=224; test=168; lint=132; docs=124; build=92; serveevents=90; explain=28; design=20; metrics=19; meta=17
docker,1672,analyze,1294,77.392,23,analyze=1294; cleanup=83; refactor=54; review=50; test=50; cleanups=20; branding=18; cachecontrol=16; debug=12; diskfull=12; research=12; configyaml=10
for,1625,refactor,784,48.246,52,refactor=784; review=250; design=142; research=77; test=67; analyze=61; commitlog=29; ignored=22; build=21; diagram=14; branding=13; debug=13
gh,1306,review,393,30.092,27,review=393; test=210; deployed=161; commit=153; refactor=109; branding=73; metrics=47; design=40; docs=31; merge=29; install=13; setup=8
rm,1110,refactor,248,22.342,46,refactor=248; review=217; design=151; test=96; analyze=54; research=40; explain=29; summary=24; trace=21; cleanse=16; commit=14; feedback=14
tool:edit,1094,refactor,607,55.484,20,refactor=607; build=78; review=75; docs=70; test=61; lint=52; setup=50; serveevents=38; workspace=19; design=11; workshop=8; implementbtr=6
ps,1002,refactor,225,22.455,45,refactor=225; analyze=225; review=138; design=134; test=103; trace=17; debug=16; serve=14; testcodexrun=12; benchmark=11; testcodex=11; compare=8
cat,965,refactor,391,40.518,39,refactor=391; review=186; design=96; test=33; docs=33; analyze=27; research=23; eval=20; issue=18; branding=14; benchmark=13; merge=11
agentsight,725,review,276,38.069,27,review=276; test=124; refactor=81; report=64; docs=35; metrics=20; merge=18; design=15; trace=15; analyze=10; debug=10; perfstrace=7
du,724,analyze,141,19.475,30,analyze=141; review=111; refactor=102; diskfull=86; design=45; cleanup=43; cleanups=38; serve=28; cleanse=24; testcodex=16; eval=14; docs=10
set,704,refactor,233,33.097,31,refactor=233; review=98; test=70; research=57; compare=37; trace=24; design=24; branding=19; docs=17; docsfix=16; setup=14; codex=14
df,660,design,211,31.97,20,design=211; analyze=161; refactor=145; review=49; debug=26; cleanup=19; diskfull=10; cleanups=6; test=5; cleanse=4; eval=4; upgrade=4
rustfmt,640,refactor,323,50.469,18,refactor=323; review=97; codex=48; test=42; analyze=32; commit=26; merge=16; docs=12; research=10; design=9; summary=4; tokenadapt=4
llvm-objdump,479,refactor,250,52.192,15,refactor=250; design=76; ignored=37; benchmark=33; debug=30; review=26; test=5; commitlog=5; analyze=4; flags=4; research=4; compare=2
samples_1,442,refactor,346,78.281,12,refactor=346; benchmark=80; test=5; trace=3; docrefactor=1; docs=1; explain=1; log=1; refactorperf=1; survey=1; verify=1; warn=1
llvm-objdump-18,396,design,192,48.485,6,design=192; refactor=114; review=54; benchmark=30; proofing=4; test=2
perl,392,refactor,196,50.0,12,refactor=196; design=53; review=53; designcodex=28; research=16; debug=16; designfix=12; loganalyze=10; trace=4; benchmark=2; analyze=1; restart=1
native-link,308,design,178,57.792,4,design=178; refactor=111; review=18; test=1
printf,305,analyze,152,49.836,26,analyze=152; review=42; refactor=30; test=15; output=8; todo=6; commitlog=5; agentsightr=4; runbash=4; design=4; serve=4; doc=3
mkdir,296,refactor,112,37.838,27,refactor=112; review=37; docs=29; design=23; research=15; docszh=14; test=10; analyze=8; capture=8; debug=7; docgen=6; foldersetup=4
curl,292,refactor,58,19.863,23,refactor=58; review=53; marketdoc=26; test=22; deployed=18; docs=14; merge=14; network=13; push=13; analyze=12; testcodex=12; metrics=10
python,281,analyze,43,15.302,22,analyze=43; docs=38; refactor=36; review=36; docsanalyze=28; testcodex=26; namecheck=11; profile=11; docszh=8; test=7; design=7; jsonokno=6
pgrep,275,refactor,100,36.364,23,refactor=100; analyze=80; test=35; review=26; benchmark=7; design=4; ignored=3; feedback=3; mapinline=2; trace=2; workspace=1; evaluate=1
nvidia-smi,270,analyze,264,97.778,4,analyze=264; score=2; serve=2; upgrade=2
tmp_mktemp,249,refactor,53,21.285,21,refactor=53; review=52; docupdate=32; test=16; docs=14; perfstrace=14; generate=12; feedback=11; design=10; validate=10; testcodex=5; syncsync=4
objdump,243,refactor,170,69.959,9,refactor=170; review=32; benchmark=14; debug=7; design=6; test=6; kinsn=5; ignored=2; compare=1
test,229,refactor,77,33.624,32,refactor=77; review=35; analyze=29; design=14; docs=13; build=6; research=6; eval=6; test=5; diagram=4; refineui=4; cleanup=3
latest_ls,200,design,170,85.0,6,design=170; refactor=18; test=6; review=3; analyze=2; benchmark=1
kill,197,refactor,58,29.442,20,refactor=58; analyze=41; review=35; test=18; trace=10; benchmark=9; design=6; feedback=3; docs=2; deployed=2; explain=2; todo=2
llvm-nm-18,194,design,118,60.825,6,design=118; refactor=52; review=12; benchmark=7; test=3; trace=2
npm,181,refactor,86,47.514,16,refactor=86; review=52; branding=13; test=8; storageanayl=4; deployed=4; design=2; setup=2; merge=2; trace=2; metrics=1; tag=1
stat,179,refactor,65,36.313,19,refactor=65; analyze=21; review=15; test=14; todo=12; benchmark=10; docsreview=9; report=8; design=4; trace=4; docs=3; ignored=3
head,176,review,47,26.705,22,review=47; refactor=41; design=24; analyze=24; docgen=6; benchmark=4; improve=4; evaluate=3; commit=3; test=3; workspace=2; analyzesess=2
ninja,170,refactor,112,65.882,8,refactor=112; ignored=25; debug=14; review=12; flags=3; readme=2; analyze=1; cost=1
if,164,review,137,83.537,10,review=137; test=5; design=5; research=5; refactor=3; trace=3; build=2; release=2; explain=1; feedback=1
llc,162,refactor,87,53.704,7,refactor=87; review=30; ignored=21; debug=19; constraints=2; research=2; flags=1
bpfrejit_shim_native_loader_post,160,refactor,76,47.5,3,refactor=76; review=64; test=20
sha256sum,154,review,80,51.948,12,review=80; refactor=18; report=18; design=13; bin=4; doc=4; test=4; testcase=4; build=3; research=3; audit=2; linksetup=1
actplane,148,testcodex,43,29.054,17,testcodex=43; todo=28; refactor=21; review=12; test=12; setup=7; feedback=6; build=4; design=2; docs=2; eval=2; generate=2
sleep,147,review,34,23.129,16,review=34; design=34; test=17; refactor=11; trace=11; branding=9; docupdate=6; merge=6; docs=5; network=4; push=4; analyze=2
bpfix,146,research,61,41.781,5,research=61; refactor=34; commitlog=29; explain=16; capture=6
llvm-readelf-18,144,refactor,60,41.667,5,refactor=60; design=56; review=15; benchmark=11; proofing=2
llvm-readelf,133,design,68,51.128,7,design=68; refactor=40; review=9; ignored=6; benchmark=4; commitlog=4; test=2
cmake,132,refactor,81,61.364,3,refactor=81; benchmark=50; ignore=1
clang-18,130,design,116,89.231,3,design=116; refactor=12; benchmark=2
pwd,124,refactor,24,19.355,29,refactor=24; review=19; testcodex=10; analysis=8; design=6; research=6; test=4; marketdoc=4; docs=4; analyze=3; doc=3; docgen=3
check-release.sh,124,research,48,38.71,4,research=48; refactor=32; commitlog=25; explain=19
tool:network,123,architect,26,21.138,13,architect=26; refactor=26; coverpage=18; compare=14; review=9; issue=8; commit=4; deployed=4; setup=4; test=4; design=3; website=2
podman,112,docs,81,72.321,6,docs=81; research=16; review=7; refactor=3; test=3; plan=2
awk,98,review,56,57.143,6,review=56; refactor=25; design=12; designfix=2; explain=2; benchmark=1
tmpdir_mktemp,98,refactor,47,47.959,9,refactor=47; question=17; review=11; design=7; explain=7; blog=6; meta=1; compare=1; debug=1
echo,97,refactor,40,41.237,8,refactor=40; review=19; build=18; test=7; research=6; setup=3; docs=2; hint=2
clang,95,refactor,88,92.632,3,refactor=88; research=4; constraints=3
bpftool,94,refactor,35,37.234,8,refactor=35; research=22; debug=20; review=11; design=2; configyaml=2; ignored=1; docupdate=1
codex,92,refactor,19,20.652,14,refactor=19; docupdate=14; test=13; linksetup=10; feedback=7; review=6; commit=4; setup=4; testcodex=4; docs=3; perfstrace=3; analyze=2
agent,92,design,80,86.957,5,design=80; refactor=4; test=4; review=3; analyze=1
mv,84,refactor,44,52.381,8,refactor=44; analyze=14; design=10; maintain=6; summary=4; review=3; docs=2; foldersetup=1
bash,82,review,30,36.585,10,review=30; refactor=17; test=14; research=6; testcase=6; design=4; foldersetup=2; docupdate=1; explain=1; feedback=1
which,81,refactor,17,20.988,14,refactor=17; test=13; review=13; docs=6; analyzesess=6; analyze=5; research=5; merge=4; trace=3; metrics=2; report=2; docupdate=2
tmux,80,review,48,60.0,8,review=48; merge=11; refactor=11; test=3; cli=2; check=2; preview=2; agentsight=1
tar,74,refactor,34,45.946,8,refactor=34; unittest=14; review=9; test=6; backup=4; research=3; build=2; configyaml=2
claude,66,docs,14,21.212,13,docs=14; test=13; refactor=11; review=9; research=6; perfstrace=4; analysis=2; docupdate=2; metrics=1; debug=1; merge=1; procfs=1
current_rg,66,refactor,24,36.364,3,refactor=24; review=24; designcodex=18
uvx,64,docs,42,65.625,3,docs=42; cli=14; analyze=8
x86_kvm_corpus_20260514_045949_477265,64,refactor,64,100.0,1,refactor=64
krel_uname,62,design,62,100.0,1,design=62
readelf,60,review,24,40.0,4,review=24; refactor=21; design=12; benchmark=3
