rank,weight,share_pct,session,prompt,process,effect,stack,short_stack
1,6004,3.268,refactor,refactor,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/tool;effect:process;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/tool;effect:process;status:ok
2,4115,2.24,refactor,refactor,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/tool;effect:process;status:observed,agent:codex;session:refactor;prompt:refactor;call:tool/tool;effect:process;status:observed
3,1648,0.897,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:module/x86;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:module/x86;status:ok
4,1349,0.734,refactor,design,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:design;call:tool/tool;effect:process;status:ok,agent:codex;session:refactor;prompt:design;call:tool/tool;effect:process;status:ok
5,1349,0.734,refactor,review,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:review;call:tool/tool;effect:process;status:ok,agent:codex;session:refactor;prompt:review;call:tool/tool;effect:process;status:ok
6,1212,0.66,analyze,analyze,docker,process,project:agentsight;agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:docker;effect:process;status:ok,agent:codex;session:analyze;prompt:analyze;call:tool/shell;process:docker;effect:process;status:ok
7,1042,0.567,refactor,refactor,rg,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:micro/programs;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:rg;effect:read;path:micro/programs;status:ok
8,926,0.504,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:native-sim/libnativeloader;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:native-sim/libnativeloader;status:ok
9,907,0.494,refactor,refactor,tool:tool,process,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/tool;effect:process;status:fail,agent:codex;session:refactor;prompt:refactor;call:tool/tool;effect:process;status:fail
10,896,0.488,refactor,refactor,sed,read,project:agentsight;agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:micro/programs;status:ok,agent:codex;session:refactor;prompt:refactor;call:tool/shell;process:sed;effect:read;path:micro/programs;status:ok
