policy,view,ranker,metric,tasks,best_tasks,median_regret,mean_regret,max_regret
dataset_native:query_aware,dataset_native,query_aware,average_precision,6,1,0.0235,0.1036,0.4834
dataset_native:query_aware,dataset_native,query_aware,top5_f1,6,1,0.0969,0.1225,0.379
dataset_native:query_aware,dataset_native,query_aware,budget30_recall,6,1,0.0383,0.2095,1.0
dataset_native:query_aware,dataset_native,query_aware,work_to_first_positive,6,0,0.0544,0.1278,0.4719
dataset_native:visible_risk,dataset_native,visible_risk,average_precision,6,0,0.0687,0.2362,0.6473
dataset_native:visible_risk,dataset_native,visible_risk,top5_f1,6,1,0.0681,0.113,0.379
dataset_native:visible_risk,dataset_native,visible_risk,budget30_recall,6,0,0.1079,0.3769,1.0
dataset_native:visible_risk,dataset_native,visible_risk,work_to_first_positive,6,0,0.3914,0.3911,0.9069
dataset_native:width,dataset_native,width,average_precision,6,0,0.1398,0.2439,0.6473
dataset_native:width,dataset_native,width,top5_f1,6,1,0.0355,0.1017,0.379
dataset_native:width,dataset_native,width,budget30_recall,6,0,0.1866,0.43,1.0
dataset_native:width,dataset_native,width,work_to_first_positive,6,0,0.5034,0.4469,0.9069
fixed_session:query_aware,fixed_session,query_aware,average_precision,6,1,0.0112,0.1374,0.5394
fixed_session:query_aware,fixed_session,query_aware,top5_f1,6,0,0.2797,0.3387,0.8129
fixed_session:query_aware,fixed_session,query_aware,budget30_recall,6,0,0.0555,0.2168,1.0
fixed_session:query_aware,fixed_session,query_aware,work_to_first_positive,6,1,0.001,0.0541,0.2826
fixed_session:visible_risk,fixed_session,visible_risk,average_precision,6,0,0.0284,0.2487,0.7491
fixed_session:visible_risk,fixed_session,visible_risk,top5_f1,6,0,0.332,0.3587,0.8129
fixed_session:visible_risk,fixed_session,visible_risk,budget30_recall,6,0,0.0676,0.362,1.0
fixed_session:visible_risk,fixed_session,visible_risk,work_to_first_positive,6,1,0.0209,0.1268,0.6433
fixed_session:width,fixed_session,width,average_precision,6,1,0.0338,0.1629,0.6801
fixed_session:width,fixed_session,width,top5_f1,6,1,0.1097,0.1799,0.4065
fixed_session:width,fixed_session,width,budget30_recall,6,1,0.1394,0.263,1.0
fixed_session:width,fixed_session,width,work_to_first_positive,6,0,0.0675,0.1252,0.4684
flat:query_aware,flat,query_aware,average_precision,6,0,0.1167,0.2691,0.7229
flat:query_aware,flat,query_aware,top5_f1,6,2,0.0032,0.0897,0.379
flat:query_aware,flat,query_aware,budget30_recall,6,0,0.4311,0.6024,1.0
flat:query_aware,flat,query_aware,work_to_first_positive,6,0,0.9974,0.9874,0.9993
flat:visible_risk,flat,visible_risk,average_precision,6,0,0.1167,0.2691,0.7229
flat:visible_risk,flat,visible_risk,top5_f1,6,2,0.0032,0.0897,0.379
flat:visible_risk,flat,visible_risk,budget30_recall,6,0,0.4311,0.6024,1.0
flat:visible_risk,flat,visible_risk,work_to_first_positive,6,0,0.9974,0.9874,0.9993
flat:width,flat,width,average_precision,6,0,0.1167,0.2691,0.7229
flat:width,flat,width,top5_f1,6,2,0.0032,0.0897,0.379
flat:width,flat,width,budget30_recall,6,0,0.4311,0.6024,1.0
flat:width,flat,width,work_to_first_positive,6,0,0.9974,0.9874,0.9993
operation_stack:query_aware,operation_stack,query_aware,average_precision,6,3,0.0045,0.1473,0.6021
operation_stack:query_aware,operation_stack,query_aware,top5_f1,6,1,0.0893,0.1684,0.6635
operation_stack:query_aware,operation_stack,query_aware,budget30_recall,6,3,0.0635,0.1514,0.6188
operation_stack:query_aware,operation_stack,query_aware,work_to_first_positive,6,2,0.0057,0.0572,0.2044
operation_stack:visible_risk,operation_stack,visible_risk,average_precision,6,0,0.0263,0.2355,0.6893
operation_stack:visible_risk,operation_stack,visible_risk,top5_f1,6,0,0.2689,0.3373,0.7229
operation_stack:visible_risk,operation_stack,visible_risk,budget30_recall,6,0,0.0823,0.3079,0.9196
operation_stack:visible_risk,operation_stack,visible_risk,work_to_first_positive,6,3,0.0002,0.0242,0.0815
operation_stack:width,operation_stack,width,average_precision,6,0,0.0677,0.2405,0.6595
operation_stack:width,operation_stack,width,top5_f1,6,0,0.0793,0.164,0.4068
operation_stack:width,operation_stack,width,budget30_recall,6,1,0.0765,0.2905,0.8875
operation_stack:width,operation_stack,width,work_to_first_positive,6,0,0.1352,0.2138,0.6329
raw_action_stack:query_aware,raw_action_stack,query_aware,average_precision,6,0,0.0761,0.1675,0.6727
raw_action_stack:query_aware,raw_action_stack,query_aware,top5_f1,6,0,0.0804,0.214,0.6313
raw_action_stack:query_aware,raw_action_stack,query_aware,budget30_recall,6,0,0.1754,0.2582,0.6188
raw_action_stack:query_aware,raw_action_stack,query_aware,work_to_first_positive,6,0,0.0361,0.061,0.1807
raw_action_stack:visible_risk,raw_action_stack,visible_risk,average_precision,6,0,0.1074,0.2664,0.6933
raw_action_stack:visible_risk,raw_action_stack,visible_risk,top5_f1,6,0,0.245,0.2418,0.4279
raw_action_stack:visible_risk,raw_action_stack,visible_risk,budget30_recall,6,0,0.1505,0.2668,0.6188
raw_action_stack:visible_risk,raw_action_stack,visible_risk,work_to_first_positive,6,1,0.029,0.051,0.1581
raw_action_stack:width,raw_action_stack,width,average_precision,6,0,0.0928,0.2616,0.7248
raw_action_stack:width,raw_action_stack,width,top5_f1,6,2,0.0083,0.0917,0.347
raw_action_stack:width,raw_action_stack,width,budget30_recall,6,0,0.1518,0.211,0.6188
raw_action_stack:width,raw_action_stack,width,work_to_first_positive,6,0,0.578,0.5479,0.6247
