task,dataset,query_family,metric,selected_policy,selected_value,best_policy,best_value,selected_regret,default_policy,default_value,default_regret,selected_beats_default,selected_equals_best
agentnet_incorrect_step,agentnet,step-quality,average_precision,dataset_native:query_aware,0.0797,operation_stack:query_aware,0.0886,0.0089,operation_stack:query_aware,0.0886,0.0,False,False
agentnet_incorrect_step,agentnet,step-quality,top5_f1,flat:query_aware,0.1121,raw_action_stack:width,0.1123,0.0002,operation_stack:query_aware,0.0067,0.1056,True,False
agentnet_incorrect_step,agentnet,step-quality,budget30_recall,operation_stack:query_aware,0.4382,operation_stack:query_aware,0.4382,0.0,operation_stack:query_aware,0.4382,0.0,False,True
agentnet_incorrect_step,agentnet,step-quality,work_to_first_positive,operation_stack:visible_risk,0.0007,operation_stack:query_aware,0.0007,0.0,operation_stack:query_aware,0.0007,0.0,False,False
agentnet_redundant_step,agentnet,step-quality,average_precision,dataset_native:query_aware,0.0772,operation_stack:query_aware,0.0875,0.0103,operation_stack:query_aware,0.0875,0.0,False,False
agentnet_redundant_step,agentnet,step-quality,top5_f1,flat:query_aware,0.1357,raw_action_stack:width,0.1419,0.0062,operation_stack:query_aware,0.0316,0.1103,True,False
agentnet_redundant_step,agentnet,step-quality,budget30_recall,operation_stack:query_aware,0.3533,operation_stack:query_aware,0.3533,0.0,operation_stack:query_aware,0.3533,0.0,False,True
agentnet_redundant_step,agentnet,step-quality,work_to_first_positive,operation_stack:visible_risk,0.0011,operation_stack:visible_risk,0.0011,0.0,operation_stack:query_aware,0.0051,0.004,True,True
agentreward_looping,agent-reward-bench,failure-looping,average_precision,dataset_native:query_aware,0.7989,operation_stack:query_aware,0.8808,0.0819,operation_stack:query_aware,0.8808,0.0,False,False
agentreward_looping,agent-reward-bench,failure-looping,top5_f1,flat:query_aware,0.8175,dataset_native:query_aware,0.8175,0.0,operation_stack:query_aware,0.7593,0.0582,True,False
agentreward_looping,agent-reward-bench,failure-looping,budget30_recall,operation_stack:query_aware,0.3988,operation_stack:query_aware,0.3988,0.0,operation_stack:query_aware,0.3988,0.0,False,True
agentreward_looping,agent-reward-bench,failure-looping,work_to_first_positive,operation_stack:visible_risk,0.0645,raw_action_stack:visible_risk,0.0014,0.0631,operation_stack:query_aware,0.2058,0.2044,True,False
agentreward_side_effect,agent-reward-bench,failure-side-effect,average_precision,dataset_native:query_aware,0.5166,fixed_session:width,1.0,0.4834,operation_stack:query_aware,0.3979,0.6021,True,False
agentreward_side_effect,agent-reward-bench,failure-side-effect,top5_f1,flat:query_aware,0.4339,fixed_session:width,0.8129,0.379,operation_stack:query_aware,0.1494,0.6635,True,False
agentreward_side_effect,agent-reward-bench,failure-side-effect,budget30_recall,dataset_native:query_aware,0.0,fixed_session:width,1.0,1.0,operation_stack:query_aware,0.3812,0.6188,False,False
agentreward_side_effect,agent-reward-bench,failure-side-effect,work_to_first_positive,fixed_session:query_aware,0.3471,operation_stack:query_aware,0.0645,0.2826,operation_stack:query_aware,0.0645,0.0,False,False
osworld_group_start,osworld-human,human-boundary,average_precision,dataset_native:query_aware,0.1977,fixed_session:query_aware,0.2345,0.0368,operation_stack:query_aware,0.2254,0.0091,False,False
osworld_group_start,osworld-human,human-boundary,top5_f1,raw_action_stack:width,0.305,flat:width,0.32,0.015,operation_stack:query_aware,0.2469,0.0731,True,False
osworld_group_start,osworld-human,human-boundary,budget30_recall,operation_stack:query_aware,0.2971,operation_stack:width,0.4241,0.127,operation_stack:query_aware,0.2971,0.127,False,False
osworld_group_start,osworld-human,human-boundary,work_to_first_positive,operation_stack:visible_risk,0.0045,fixed_session:visible_risk,0.004,0.0005,operation_stack:query_aware,0.1311,0.1271,True,False
satraj_unsafe,satraj-os-safety,safety,average_precision,fixed_session:width,0.0797,dataset_native:query_aware,0.7598,0.6801,operation_stack:query_aware,0.4875,0.2723,False,False
satraj_unsafe,satraj-os-safety,safety,top5_f1,raw_action_stack:width,0.2195,operation_stack:query_aware,0.4065,0.187,operation_stack:query_aware,0.4065,0.0,False,False
satraj_unsafe,satraj-os-safety,safety,budget30_recall,fixed_session:width,0.0,dataset_native:query_aware,1.0,1.0,operation_stack:query_aware,0.8376,0.1624,False,False
satraj_unsafe,satraj-os-safety,safety,work_to_first_positive,operation_stack:visible_risk,0.0852,fixed_session:query_aware,0.0037,0.0815,operation_stack:query_aware,0.0112,0.0075,False,False
