task,dataset,stack_kind,policy,policy_kind,source_task,source_dataset,groups,ap,delta_ap_vs_width,top5_lift,delta_top5_lift_vs_width,first_positive_work,delta_first_positive_work_vs_width
agentreward_looping,agent-reward-bench,semantic,width,baseline,,,40,0.7653,0.0,1.0359,0.0,0.2058,0.0
agentreward_looping,agent-reward-bench,semantic,global_equal,global_equal_weight,,global-visible-feature-bank,40,0.8647,0.0994,1.2751,0.2392,0.2058,0.0
agentreward_looping,agent-reward-bench,semantic,source_equal_agentreward_looping,source_task_equal_weight,agentreward_looping,agent-reward-bench,40,0.8509,0.0856,1.3179,0.282,0.2058,0.0
agentreward_looping,agent-reward-bench,semantic,source_equal_agentreward_side_effect,source_task_equal_weight,agentreward_side_effect,agent-reward-bench,40,0.7491,-0.0162,1.078,0.0421,0.0645,-0.1413
agentreward_looping,agent-reward-bench,semantic,source_equal_satraj_unsafe,source_task_equal_weight,satraj_unsafe,satraj-os-safety,40,0.8302,0.0649,1.197,0.1611,0.0645,-0.1413
agentreward_looping,agent-reward-bench,semantic,source_equal_agentnet_incorrect_step,source_task_equal_weight,agentnet_incorrect_step,agentnet,40,0.8566,0.0913,1.197,0.1611,0.0645,-0.1413
agentreward_looping,agent-reward-bench,semantic,source_equal_agentnet_redundant_step,source_task_equal_weight,agentnet_redundant_step,agentnet,40,0.8509,0.0856,1.3179,0.282,0.2058,0.0
agentreward_looping,agent-reward-bench,semantic,source_equal_osworld_group_start,source_task_equal_weight,osworld_group_start,osworld-human,40,0.7659,0.0006,1.0359,0.0,0.2058,0.0
agentreward_looping,agent-reward-bench,coarse,width,baseline,,,16,0.6633,0.0,1.0075,0.0,0.3539,0.0
agentreward_looping,agent-reward-bench,coarse,global_equal,global_equal_weight,,global-visible-feature-bank,16,0.8151,0.1518,1.1801,0.1726,0.1399,-0.214
agentreward_looping,agent-reward-bench,coarse,source_equal_agentreward_looping,source_task_equal_weight,agentreward_looping,agent-reward-bench,16,0.7864,0.1231,1.0412,0.0337,0.1399,-0.214
agentreward_looping,agent-reward-bench,coarse,source_equal_agentreward_side_effect,source_task_equal_weight,agentreward_side_effect,agent-reward-bench,16,0.6848,0.0215,0.9394,-0.0681,0.0933,-0.2606
agentreward_looping,agent-reward-bench,coarse,source_equal_satraj_unsafe,source_task_equal_weight,satraj_unsafe,satraj-os-safety,16,0.7521,0.0888,1.059,0.0515,0.0398,-0.3141
agentreward_looping,agent-reward-bench,coarse,source_equal_agentnet_incorrect_step,source_task_equal_weight,agentnet_incorrect_step,agentnet,16,0.7852,0.1219,1.2417,0.2342,0.0398,-0.3141
agentreward_looping,agent-reward-bench,coarse,source_equal_agentnet_redundant_step,source_task_equal_weight,agentnet_redundant_step,agentnet,16,0.7864,0.1231,1.0412,0.0337,0.1399,-0.214
agentreward_looping,agent-reward-bench,coarse,source_equal_osworld_group_start,source_task_equal_weight,osworld_group_start,osworld-human,16,0.6638,0.0005,1.0075,0.0,0.3539,0.0
agentreward_side_effect,agent-reward-bench,semantic,width,baseline,,,40,0.3661,0.0,1.0559,0.0,0.2058,0.0
agentreward_side_effect,agent-reward-bench,semantic,global_equal,global_equal_weight,,global-visible-feature-bank,40,0.239,-0.1271,0.4939,-0.562,0.2058,0.0
agentreward_side_effect,agent-reward-bench,semantic,source_equal_agentreward_looping,source_task_equal_weight,agentreward_looping,agent-reward-bench,40,0.2554,-0.1107,0.391,-0.6649,0.2058,0.0
agentreward_side_effect,agent-reward-bench,semantic,source_equal_agentreward_side_effect,source_task_equal_weight,agentreward_side_effect,agent-reward-bench,40,0.3141,-0.052,0.7831,-0.2728,0.0645,-0.1413
agentreward_side_effect,agent-reward-bench,semantic,source_equal_satraj_unsafe,source_task_equal_weight,satraj_unsafe,satraj-os-safety,40,0.3075,-0.0586,0.5393,-0.5166,0.0645,-0.1413
agentreward_side_effect,agent-reward-bench,semantic,source_equal_agentnet_incorrect_step,source_task_equal_weight,agentnet_incorrect_step,agentnet,40,0.2439,-0.1222,0.5393,-0.5166,0.0645,-0.1413
agentreward_side_effect,agent-reward-bench,semantic,source_equal_agentnet_redundant_step,source_task_equal_weight,agentnet_redundant_step,agentnet,40,0.2554,-0.1107,0.391,-0.6649,0.2058,0.0
agentreward_side_effect,agent-reward-bench,semantic,source_equal_osworld_group_start,source_task_equal_weight,osworld_group_start,osworld-human,40,0.3626,-0.0035,1.0559,0.0,0.2058,0.0
agentreward_side_effect,agent-reward-bench,coarse,width,baseline,,,16,0.3909,0.0,0.8618,0.0,0.3539,0.0
agentreward_side_effect,agent-reward-bench,coarse,global_equal,global_equal_weight,,global-visible-feature-bank,16,0.2181,-0.1728,0.0,-0.8618,0.4733,0.1194
agentreward_side_effect,agent-reward-bench,coarse,source_equal_agentreward_looping,source_task_equal_weight,agentreward_looping,agent-reward-bench,16,0.2521,-0.1388,0.7743,-0.0875,0.6763,0.3224
agentreward_side_effect,agent-reward-bench,coarse,source_equal_agentreward_side_effect,source_task_equal_weight,agentreward_side_effect,agent-reward-bench,16,0.3601,-0.0308,1.4122,0.5504,0.0933,-0.2606
agentreward_side_effect,agent-reward-bench,coarse,source_equal_satraj_unsafe,source_task_equal_weight,satraj_unsafe,satraj-os-safety,16,0.3024,-0.0885,0.7411,-0.1207,0.1509,-0.203
agentreward_side_effect,agent-reward-bench,coarse,source_equal_agentnet_incorrect_step,source_task_equal_weight,agentnet_incorrect_step,agentnet,16,0.2455,-0.1454,0.3915,-0.4703,0.1509,-0.203
agentreward_side_effect,agent-reward-bench,coarse,source_equal_agentnet_redundant_step,source_task_equal_weight,agentnet_redundant_step,agentnet,16,0.2521,-0.1388,0.7743,-0.0875,0.6763,0.3224
agentreward_side_effect,agent-reward-bench,coarse,source_equal_osworld_group_start,source_task_equal_weight,osworld_group_start,osworld-human,16,0.3867,-0.0042,0.8618,0.0,0.3539,0.0
satraj_unsafe,satraj-os-safety,semantic,width,baseline,,,142,0.1,0.0,0.0,0.0,0.6366,0.0
satraj_unsafe,satraj-os-safety,semantic,global_equal,global_equal_weight,,global-visible-feature-bank,142,0.1087,0.0087,0.0,0.0,0.4299,-0.2067
satraj_unsafe,satraj-os-safety,semantic,source_equal_agentreward_looping,source_task_equal_weight,agentreward_looping,agent-reward-bench,142,0.0884,-0.0116,0.0,0.0,0.3358,-0.3008
satraj_unsafe,satraj-os-safety,semantic,source_equal_agentreward_side_effect,source_task_equal_weight,agentreward_side_effect,agent-reward-bench,142,0.0932,-0.0068,0.0,0.0,0.109,-0.5276
satraj_unsafe,satraj-os-safety,semantic,source_equal_satraj_unsafe,source_task_equal_weight,satraj_unsafe,satraj-os-safety,142,0.4897,0.3897,6.2384,6.2384,0.0112,-0.6254
satraj_unsafe,satraj-os-safety,semantic,source_equal_agentnet_incorrect_step,source_task_equal_weight,agentnet_incorrect_step,agentnet,142,0.0877,-0.0123,0.0456,0.0456,0.0705,-0.5661
satraj_unsafe,satraj-os-safety,semantic,source_equal_agentnet_redundant_step,source_task_equal_weight,agentnet_redundant_step,agentnet,142,0.0878,-0.0122,0.0,0.0,0.3442,-0.2924
satraj_unsafe,satraj-os-safety,semantic,source_equal_osworld_group_start,source_task_equal_weight,osworld_group_start,osworld-human,142,0.1001,0.0001,0.0,0.0,0.6366,0.0
satraj_unsafe,satraj-os-safety,coarse,width,baseline,,,22,0.0995,0.0,0.3386,0.0,0.8261,0.0
satraj_unsafe,satraj-os-safety,coarse,global_equal,global_equal_weight,,global-visible-feature-bank,22,0.1338,0.0343,1.1909,0.8523,0.3277,-0.4984
satraj_unsafe,satraj-os-safety,coarse,source_equal_agentreward_looping,source_task_equal_weight,agentreward_looping,agent-reward-bench,22,0.0972,-0.0023,0.0,-0.3386,0.8313,0.0052
